,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
5046,,,2.Bezirk,02,,2.Bezirk,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5047,,,3.Bezirk,02,,3.Bezirk,873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5048,,,4.Bezirk,02,,4.Bezirk,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4769,,,Abfaltersbach,07,,Abfaltersbach,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4768,,,Absam,07,,Absam,7112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5078,,,Absdorf,03,,Absdorf,2087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4767,,,Abtenau,05,,Abtenau,1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4766,,,Abtissendorf,06,,Abtissendorf,1433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4765,,,Abwinden,04,,Abwinden,1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4764,,,Achau,03,,Achau,1415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4763,,,Achenkirch,07,,Achenkirch,2185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4762,,,Aderklaa,03,,Aderklaa,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4761,,,Adlwang,04,,Adlwang,1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4760,,,Admont,06,,Admont,2136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4759,,,Adnet,05,,Adnet,1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4929,,,Affental,06,,Affental,783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4853,,,Afiesl,04,,Afiesl,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4758,,,Aflenz Kurort,06,,Aflenz Kurort,1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4757,,,Aggsbach,03,,Aggsbach,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4756,,,Ahorn,04,,Ahorn,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4755,,,Ahorn,04,,Ahorn,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4754,,,Aibl,06,,Aibl,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4753,,,Aich,06,,Aich,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4752,,,Aichkirchen,04,,Aichkirchen,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4750,,,Aigen,05,,Aigen,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749,,,Aigen im Ennstal,06,,Aigen im Ennstal,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4748,,,Aigen im Mühlkreis,04,,Aigen im Mühlkreis,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4747,,,Ainet,07,,Ainet,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4746,,,Aistersheim,04,,Aistersheim,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4745,,,Alberndorf,03,,Alberndorf,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4744,,,Alberndorf in der Riedmark,04,,Alberndorf in der Riedmark,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4874,,,Alberschwende,08,,Alberschwende,3247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4743,,,Albersdorf,06,,Albersdorf,1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4742,,,Aldrans,07,,Aldrans,2684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4741,,,Alkoven,04,,Alkoven,1385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4740,,,Alland,03,,Alland,1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4739,,,Allentsteig,03,,Allentsteig,1383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5009,,,Allerheiligen,04,,Allerheiligen,887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4738,,,Allerheiligen bei Wildon,06,,Allerheiligen bei Wildon,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4737,,,Allerheiligen im Mühlkreis,04,,Allerheiligen im Mühlkreis,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4736,,,Allerheiligen im Mürztal,06,,Allerheiligen im Mürztal,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4735,,,Allhaming,04,,Allhaming,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4734,,,Allhartsberg,03,,Allhartsberg,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4821,,,Alpbach,07,,Alpbach,2561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4733,,,Alpl,06,,Alpl,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4973,,,Alt Lenzing,04,,Alt Lenzing,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4963,,,Alt-Dietmanns,03,,Alt-Dietmanns,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4732,,,Altach,08,,Altach,6624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4731,,,Altaussee,06,,Altaussee,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4730,,,Altenberg,03,,Altenberg,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4729,,,Altenberg bei Linz,04,,Altenberg bei Linz,1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4728,,,Altenburg,03,,Altenburg,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4727,,,Altendorf,03,,Altendorf,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4726,,,Altenfelden,04,,Altenfelden,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4725,,,Altenhof am Hausruck,04,,Altenhof am Hausruck,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4724,,,Altenmarkt an der Triesting,03,,Altenmarkt an der Triesting,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4723,,,Altenmarkt bei Fürstenfeld,06,,Altenmarkt bei Fürstenfeld,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4722,,,Altenmarkt bei Sankt Gallen,06,,Altenmarkt bei Sankt Gallen,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4721,,,Altenmarkt bei Wies,06,,Altenmarkt bei Wies,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720,,,Altenmarkt im Pongau,05,,Altenmarkt im Pongau,4218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4719,,,Altheim,04,,Altheim,4195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4718,,,Althofen,02,,Althofen,3531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4717,,,Altlengbach,03,,Altlengbach,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4716,,,Altlichtenberg,04,,Altlichtenberg,1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4715,,,Altlichtenwarth,03,,Altlichtenwarth,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4714,,,Altmelon,03,,Altmelon,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4713,,,Altmünster,04,,Altmünster,4496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712,,,Altnagelberg,03,,Altnagelberg,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4936,,,Altneudörfl,06,,Altneudörfl,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4710,,,Am Feuersang,05,,Am Feuersang,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4711,,,Amaliendorf,03,,Amaliendorf,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709,,,Amlach,07,,Amlach,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4708,,,Ampass,07,,Ampass,1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4707,,,Ampflwang,04,,Ampflwang,1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4706,,,Amras,07,,Amras,5771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4705,,,Amstetten,03,,Amstetten,15559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4704,,,Andau,01,,Andau,2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4703,,,Andelsbuch,08,,Andelsbuch,2565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4702,,,Andlersdorf,03,,Andlersdorf,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4701,,,Andorf,04,,Andorf,2851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5092,,,Andritz,06,,Andritz,19020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700,,,Angath,07,,Angath,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,,,Anger,06,,Anger,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,,,Anger,05,,Anger,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4966,,,Anger,05,,Anger,1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
