,USPS,ST,NAME,ZCTA5,LAT,LON
0,Burgenland,1,Eisenstadt,7000,47.8457,16.5233
1,Burgenland,1,Sankt Georgen am Leithagebirge,7000,47.85,16.55
2,Burgenland,1,Kleinhöflein im Burgenland,7000,47.8415,16.5041
3,Burgenland,1,Rust,7071,47.8012,16.6716
4,Burgenland,1,Stotzing,2443,47.9,16.55
5,Burgenland,1,Leithaprodersdorf,2443,47.9335,16.4791
6,Burgenland,1,Loretto,2443,47.9156,16.5179
7,Burgenland,1,Wimpassing an der Leitha,2485,47.9167,16.4333
8,Burgenland,1,Neufeld an der Leitha,2491,47.8656,16.3786
9,Burgenland,1,Hornstein / Vorištan,2491,47.8805,16.4445
10,Burgenland,1,Steinbrunn / Štikapron,2491,47.8333,16.4167
11,Burgenland,1,Siegendorf / Cindrof,7011,47.781,16.5423
12,Burgenland,1,Zagersdorf / Cogrštof,7012,47.7647,16.5138
13,Burgenland,1,Klingenbach / Klimpuh,7013,47.7728,16.5281
14,Burgenland,1,Zillingtal / Celindof,7033,47.7997,16.3994
15,Burgenland,1,Zillingtal / Celindof,7034,47.7997,16.3994
16,Burgenland,1,Steinbrunn / Štikapron,7035,47.8333,16.4167
17,Burgenland,1,Zillingtal / Celindof,7035,47.7997,16.3994
18,Burgenland,1,Wulkaprodersdorf / Vulkaprodrštof,7041,47.7975,16.5045
19,Burgenland,1,Großhöflein,7051,47.8359,16.4804
20,Burgenland,1,Müllendorf,7052,47.8394,16.4626
21,Burgenland,1,Hornstein / Vorištan,7053,47.8805,16.4445
22,Burgenland,1,Trausdorf an der Wulka / Trajštof,7061,47.8219,16.6317
23,Burgenland,1,Sankt Margarethen im Burgenland,7062,47.8034,16.6088
24,Burgenland,1,Oggau am Neusiedler See,7063,47.8333,16.6667
25,Burgenland,1,Oslip / Uzlop,7064,47.8291,16.6196
26,Burgenland,1,Mörbisch am See,7072,47.75,16.6667
27,Burgenland,1,Schützen am Gebirge,7081,47.8523,16.6233
28,Burgenland,1,Donnerskirchen,7082,47.8942,16.6463
29,Burgenland,1,Purbach am Neusiedler See,7083,47.9129,16.6956
30,Burgenland,1,Breitenbrunn,7091,47.9445,16.7315
31,Burgenland,1,Gaas,7521,47.0824,16.463
32,Burgenland,1,Oberbildein,7521,47.1333,16.4667
33,Burgenland,1,Unterbildein,7521,47.1284,16.4679
34,Burgenland,1,Winten,7521,47.1171,16.4445
35,Burgenland,1,Eberau,7521,47.1076,16.4604
36,Burgenland,1,Kulm im Burgenland,7521,47.104,16.4524
