,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
0,,,Aalst,VLG,,Aalst,77534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,Aalter,VLG,,Aalter,18802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Aarschot,VLG,,Aarschot,27656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,Aartselaar,VLG,,Aartselaar,14193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,Aiseau,WAL,,Aiseau,10906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,Alken,VLG,,Alken,10933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,Alveringem,VLG,,Alveringem,4910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,Amay,WAL,,Amay,13307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,Amblève,WAL,,Amblève,5221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,Andenne,WAL,,Andenne,24055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,Anderlues,WAL,,Anderlues,11597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,Anhée,WAL,,Anhée,7125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,Ans,WAL,,Ans,27297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,Anthisnes,WAL,,Anthisnes,4116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,Antoing,WAL,,Antoing,7507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,Antwerpen,VLG,,Antwerpen,459805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,Anzegem,VLG,,Anzegem,13920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,Ardooie,VLG,,Ardooie,9161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,Arendonk,VLG,,Arendonk,12247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,Arlon,WAL,,Arlon,26179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,As,VLG,,As,7250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,Asse,VLG,,Asse,28985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,Assenede,VLG,,Assenede,13495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,Assesse,WAL,,Assesse,6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,Ath,WAL,,Ath,26681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,Attert,WAL,,Attert,4491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,Aubange,WAL,,Aubange,14932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,Aubel,WAL,,Aubel,4119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,Avelgem,VLG,,Avelgem,9106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,Awans,WAL,,Awans,8612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,Aywaille,WAL,,Aywaille,10636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,Baarle-Hertog,VLG,,Baarle-Hertog,2305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,Baelen,WAL,,Baelen,3928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,Balen,VLG,,Balen,19978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,Basse Lasne,WAL,,Basse Lasne,13861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,Bassenge,WAL,,Bassenge,8151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,Bastogne,WAL,,Bastogne,14395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,Beaumont,WAL,,Beaumont,6645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,Beauraing,WAL,,Beauraing,8242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,Beauvechain,WAL,,Beauvechain,6334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,Beernem,VLG,,Beernem,14512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,Beerse,VLG,,Beerse,16208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,Beersel,VLG,,Beersel,23228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,Begijnendijk,VLG,,Begijnendijk,9178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,Bekkevoort,VLG,,Bekkevoort,5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,Beloeil,WAL,,Beloeil,13405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,Beringen,VLG,,Beringen,40930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,Berlaar,VLG,,Berlaar,10370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,Berlare,VLG,,Berlare,13853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,Berloz,WAL,,Berloz,2770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,Bernissart,WAL,,Bernissart,11588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,Bertem,VLG,,Bertem,9215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,Bertogne,WAL,,Bertogne,2852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,Bertrix,WAL,,Bertrix,8063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,Bever,VLG,,Bever,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,Beveren,VLG,,Beveren,45179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,Beyne-Heusay,WAL,,Beyne-Heusay,11608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,Bierbeek,VLG,,Bierbeek,8994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,Bilzen,VLG,,Bilzen,29622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
