,USPS,ST,NAME,ZCTA5,LAT,LON
0,Bruxelles-Capitale,,Bruxelles,1000,50.8504,4.3488
1,Bruxelles-Capitale,,Laeken,1020,50.8759,4.3484
2,Bruxelles-Capitale,,Schaerbeek,1030,50.8694,4.3774
3,Bruxelles-Capitale,,Etterbeek,1040,50.8327,4.3884
4,Bruxelles-Capitale,,Ixelles,1050,50.8333,4.3667
5,Bruxelles-Capitale,,Saint-Gilles,1060,50.8276,4.3439
6,Bruxelles-Capitale,,Anderlecht,1070,50.8362,4.3145
7,Bruxelles-Capitale,,Molenbeek-Saint-Jean,1080,50.8499,4.3125
8,Bruxelles-Capitale,,Koekelberg,1081,50.8612,4.3314
9,Bruxelles-Capitale,,Berchem-Sainte-Agathe,1082,50.8657,4.2956
10,Bruxelles-Capitale,,Ganshoren,1083,50.8707,4.3153
11,Bruxelles-Capitale,,Jette,1090,50.8731,4.3342
12,Bruxelles-Capitale,,Neder-Over-Heembeek,1120,50.9057,4.3922
13,Bruxelles-Capitale,,Haren,1130,50.8956,4.417
14,Bruxelles-Capitale,,Evere,1140,50.8744,4.399
15,Bruxelles-Capitale,,Woluwe-Saint-Pierre,1150,50.8551,4.3707
16,Bruxelles-Capitale,,Auderghem,1160,50.8167,4.4333
17,Bruxelles-Capitale,,Watermael-Boitsfort,1170,50.8015,4.4144
18,Bruxelles-Capitale,,Uccle,1180,50.8022,4.3394
19,Bruxelles-Capitale,,Forest,1190,50.8168,4.3278
20,Bruxelles-Capitale,,Woluwe-Saint-Lambert,1200,50.8439,4.4291
21,Bruxelles-Capitale,,Saint-Josse-Ten-Noode,1210,50.8538,4.3728
22,Vlaanderen,,Antwerpen,2000,51.2199,4.4035
23,Vlaanderen,,Antwerpen,2018,51.2199,4.4035
24,Vlaanderen,,Antwerpen,2020,51.2199,4.4035
25,Vlaanderen,,Antwerpen,2030,51.2199,4.4035
26,Vlaanderen,,Berendrecht,2040,51.3425,4.3142
27,Vlaanderen,,Antwerpen,2040,51.2199,4.4035
28,Vlaanderen,,Lillo,2040,51.2807,4.506
29,Vlaanderen,,Zandvliet,2040,51.3593,4.31
30,Vlaanderen,,Antwerpen,2050,51.2199,4.4035
31,Vlaanderen,,Antwerpen,2060,51.2199,4.4035
32,Vlaanderen,,Burcht,2070,51.2039,4.3429
33,Vlaanderen,,Zwijndrecht,2070,51.2198,4.3266
34,Vlaanderen,,Deurne,2100,51.2213,4.4659
35,Vlaanderen,,Wijnegem,2110,51.2279,4.5189
36,Vlaanderen,,Borgerhout,2140,51.2096,4.4354
37,Vlaanderen,,Borsbeek,2150,51.1966,4.4854
38,Vlaanderen,,Wommelgem,2160,51.2045,4.5225
39,Vlaanderen,,Merksem,2170,51.2462,4.449
40,Vlaanderen,,Ekeren,2180,51.2809,4.4181
41,Vlaanderen,,Morkhoven,2200,51.1189,4.8188
42,Vlaanderen,,Herentals,2200,51.1766,4.8325
43,Vlaanderen,,Noorderwijk,2200,51.1412,4.8406
44,Vlaanderen,,Hallaar,2220,51.0842,4.7292
45,Vlaanderen,,Heist-Op-Den-Berg,2220,51.0754,4.7283
46,Vlaanderen,,Booischot,2221,51.0522,4.7751
47,Vlaanderen,,Itegem,2222,51.1033,4.7286
48,Vlaanderen,,Wiekevorst,2222,51.108,4.7924
49,Vlaanderen,,Schriek,2223,51.0284,4.6936
50,Vlaanderen,,Ramsel,2230,51.0324,4.8324
51,Vlaanderen,,Herselt,2230,51.0516,4.8823
52,Vlaanderen,,Houtvenne,2235,51.0418,4.8086
53,Vlaanderen,,Hulshout,2235,51.0745,4.7908
54,Vlaanderen,,Westmeerbeek,2235,51.0613,4.8383
55,Vlaanderen,,Zandhoven,2240,51.2149,4.6616
