,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,A.Z. Jan Portaels,Vaartstraat,,,,,,,,yes,,50.927407200000005,4.4190545
1,10001,A.Z. Jan Portaels,,,,,,,,,yes,,50.9275154,4.4190125
2,10002,A.Z. Jan Portaels,Gendarmeriestraat,,,,,,,,yes,,50.9274896,4.418969000000001
3,10003,A.Z. Sint-Lucas campus Sint-Lucas,Groenebriel,,,,,,,,yes,,51.064075,3.7198578999999996
4,10004,A.Z. Sint-Lucas campus Volkskliniek,Tichelrei,,,,,,,,,,51.060621399999995,3.7212563999999997
5,10005,ASZ Campus Geraardsbergen,,,,,,,,,,,50.7705536,3.8771583
6,10006,ASZ Wetteren,,,,,,,,,yes,,51.011728000000005,3.8977137
7,10007,AZ Alma- campus Ringlaan,Ringlaan,,,,,,,,,,51.1916682,3.5358218
8,10008,AZ Damiaan,,,,,,,,,,,51.217848700000005,2.9352914
9,10009,AZ Delta Menen,,,,,,,,,yes,,50.792392799999995,3.1226568
10,10010,AZ Delta campus Brugsesteenweg,Brugsesteenweg,,,,,+32 51 23 61 11,,,,,50.9547734,3.1219107000000004
11,10011,AZ Delta campus Wilgenstraat,Wilgenstraat,,,,,,,,yes,,50.9389763,3.1216664
12,10012,AZ Diest Campus Hasseltsestraat,,,,,,,,,,,50.9804781,5.0518246
13,10013,AZ Diest Campus Statiestraat,,,,,,+32 13 35 40 11,,,,,50.986332,5.051646900000001
14,10014,AZ Glorieux,,,,,,,,,,,50.75482589999999,3.6051066
15,10015,AZ Groeninge - campus Reepkaai - revalidatie,,,,,,,,,no,,50.8298986,3.2599253
16,10016,AZ Jan Palfijn site Watersportbaan,Henri Dunantlaan,,,,,,,,yes,,51.0478855,3.7004803999999996
17,10017,AZ Klina,Augustijnslei,,,,,,,,,,51.2989382,4.488828599999999
18,10018,AZ Maria Middelares,Kortrijksesteenweg,,,,,,,,yes,,51.023850700000004,3.7024462999999996
19,10019,AZ Maria Middelares campus Sint-Jozef,Kliniekstraat,,,,,+32 9 236 50 00,,,yes,,51.043600899999994,3.7570078000000002
20,10020,AZ Monica,,,,,,,,,yes,,51.207311100000005,4.470649099999999
21,10021,AZ Monica Antwerpen,,,,,,,,,,,51.201567600000004,4.408577999999999
22,10022,AZ Nikolaas (Meesterstraat),,,,,,,,,,,51.163135100000005,4.1511064
23,10023,AZ Nikolaas (Moerland),Moerlandstraat,,,,,,,,,,51.1609406,4.1509993
24,10024,AZ Nikolaas Campus Beveren,,,,,,,,,,,51.210490899999996,4.2508722
25,10025,AZ Oudenaarde,Minderbroedersstraat,,,,,+32 55 33 61 11,,,,,50.843010799999995,3.601752
26,10026,AZ Sint-Blasius Dagkliniek,Koevliet,,,,,,,,no,,51.0665191,4.0266977
27,10027,AZ Sint-Dimpna,,,,,,,,,,,51.1583474,5.0015767
28,10028,AZ Sint-Dimpna (enkel personeel),,,,,,,,,,,51.1583373,5.0021894
29,10029,AZ Sint-Jan,Ruddershove,,,,,,,,yes,,51.2213677,3.1977402
30,10030,AZ Sint-Jan Brugge-Oostende - Campus Hendrik Serruys,,,,,,,,,,,51.2239481,2.9144457999999998
31,10031,AZ Sint-Jozef,,,,,,,,,yes,,51.27554620000001,4.6428568
32,10032,AZ Sint-Lucas,,,,,,+32 50 36 91 11,,,,,51.18500170000001,3.2466793
33,10033,AZ Sint-Lucas,,,,,,,,,,,51.195723799999996,3.8227428
34,10034,AZ Sint-Maarten,,,,,,,,,,,51.0522222,4.4733557
35,10035,AZ St-Dimpna,,,,,,,,,,,51.1606838,4.9999523
36,10036,AZ St-Dimpna,,,,,,,,,,,51.159594399999996,5.000799400000001
37,10037,AZ St-Dimpna,,,,,,,,,,,51.160392,5.0001508
38,10038,AZ Turnhout Campus Sint Elizabeth,,,,,,,,,,,51.3127219,4.9432027000000005
39,10039,AZ Turnhout Campus Sint Jozef,,,,,,,,,,,51.3342037,4.9185066
40,10040,AZ West,,,,,,,,,,,51.0613313,2.6715605
41,10041,AZ Zeno campus Blankenberge,Dr. Frans Verhaegestraat,,,,,+32 50 43 41 11,,,yes,,51.3080095,3.1251157000000003
42,10042,AZ Zeno campus Knokke-Heist,Kalvekeetdijk,,,,,+32 50 53 50 00,,,yes,,51.3250828,3.2902951000000003
43,10043,AZ-Nikolaas,,,,,,,,,,,51.223704,4.1245788999999995
44,10044,Algemeen Stedelijk Ziekenhuis Aalst,,,,,,,,,yes,,50.9363633,4.0161419
45,10045,Algemeen Ziekenhuis Sint-Blasius,,,,,,,,,,,51.0262041,4.1133228
46,10046,Asster Psychiatrisch Ziekenhuis Campus Melveren,,,,,,,,,,,50.838881,5.190948000000001
