,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,20000,A.Z. Jan Portaels,Vaartstraat,,,,,,,,yes,,50.927407200000005,4.4190545
1,20001,A.Z. Jan Portaels,,,,,,,,,yes,,50.9275154,4.4190125
2,20002,A.Z. Jan Portaels,Gendarmeriestraat,,,,,,,,yes,,50.9274896,4.418969000000001
3,20003,A.Z. Sint-Lucas campus Sint-Lucas,Groenebriel,,,,,,,,yes,,51.064075,3.7198578999999996
6,20006,ASZ Wetteren,,,,,,,,,yes,,51.011728000000005,3.8977137
9,20009,AZ Delta Menen,,,,,,,,,yes,,50.792392799999995,3.1226568
11,20011,AZ Delta campus Wilgenstraat,Wilgenstraat,,,,,,,,yes,,50.9389763,3.1216664
16,20016,AZ Jan Palfijn site Watersportbaan,Henri Dunantlaan,,,,,,,,yes,,51.0478855,3.7004803999999996
18,20018,AZ Maria Middelares,Kortrijksesteenweg,,,,,,,,yes,,51.023850700000004,3.7024462999999996
19,20019,AZ Maria Middelares campus Sint-Jozef,Kliniekstraat,,,,,+32 9 236 50 00,,,yes,,51.043600899999994,3.7570078000000002
20,20020,AZ Monica,,,,,,,,,yes,,51.207311100000005,4.470649099999999
29,20029,AZ Sint-Jan,Ruddershove,,,,,,,,yes,,51.2213677,3.1977402
31,20031,AZ Sint-Jozef,,,,,,,,,yes,,51.27554620000001,4.6428568
41,20041,AZ Zeno campus Blankenberge,Dr. Frans Verhaegestraat,,,,,+32 50 43 41 11,,,yes,,51.3080095,3.1251157000000003
42,20042,AZ Zeno campus Knokke-Heist,Kalvekeetdijk,,,,,+32 50 53 50 00,,,yes,,51.3250828,3.2902951000000003
44,20044,Algemeen Stedelijk Ziekenhuis Aalst,,,,,,,,,yes,,50.9363633,4.0161419
48,20048,C.H.U. Notre-dame des Bruyères,Rue de Gaillarmont,,,,,,,,yes,,50.6243239,5.6352129
49,20049,CHM,,,,,,,,,yes,,50.7489336,3.2205068
50,20050,CHR Mons-Hainaut Site Saint-Joseph,Avenue Baudouin de Constantinople,,,,,,,,yes,,50.454749299999996,3.9607193
51,20051,CHR Mons-Hainaut Site Warquignies,Rue des Chaufours,,,,,,,,yes,,50.4187734,3.8040233999999997
52,20052,CHR Verviers | La Tourelle,Rue du Parc,,,,,,,,yes,,50.5819777,5.8572288
53,20053,CHU Ambroise Paré,,,,,,,,,yes,,50.4581915,3.9606928999999997
54,20054,CHU Brugmann - UVC Brugmann,Place Arthur Van Gehuchten - Arthur Van Gehuchtenplein,,,,,,,,yes,,50.885107899999994,4.3300592
55,20055,CHU Charleroi - Marie Curie (Lodelinsart),Chaussée de Bruxelles,,,,,+32 71 92 07 01,,,yes,,50.4304463,4.4401943
58,20058,CHU Saint-Pierre - UMC Sint-Pieter,Rue Haute - Hoogstraat,,,,,,,,yes,,50.8344015,4.345740599999999
61,20061,Centre Hospitalier Reine Astrid Malmedy,Rue Devant les Religieuses,,,,,,,,yes,,50.426357,6.0230262
62,20062,Centre Hospitalier Régional de Huy,Rue des Trois Ponts,,,,,+32 85 27 21 11,,,yes,,50.5134521,5.2395055
66,20066,Centre Hospitalier Tubize-Nivelles site de Nivelles,,,,,,,,,yes,,50.5942888,4.316806400000001
67,20067,Centre Hospitalier Universitaire Tivoli,,,,,,,,,yes,,50.4781266,4.205433900000001
70,20070,Centre Hospitalier de l'Ardenne,,,,,,,,,yes,,49.925496200000005,5.378114900000001
76,20076,Centre hospitalier Etterbeek-Ixelles - Ziekenhuizencentrum Etterbeek-Elsene,Rue Jean Paquot - Jean Paquotstraat,,,,,+32 2 641 41 11,,,yes,,50.8256318,4.377707900000001
78,20078,Centre hospitalier Paul Brien - Verplegingscentrum Paul Brien,Rue du Foyer Schaerbeekois - Schaarbeekse Haardstraat,,,,,,,,yes,,50.870700299999996,4.3850323
82,20082,Chirec - Hôpital de Braine-Waterloo,Rue Wayez,,,,,+32 2 434 91 11,,,yes,,50.6856278,4.3672156
87,20087,Clinique Notre-Dame,Rue Edmond de Sélys-Longchamps,,,,,,,,yes,,50.691638899999994,5.2435165
89,20089,Clinique Notre-Dame de Grâce,chaussée de Nivelles,,,,,,,,yes,,50.473803600000004,4.428674
92,20092,Clinique Saint-Jean - Kliniek Sint-Jan,Boulevard du Jardin Botanique - Kruidtuinlaan,,,,,,,,yes,,50.8534822,4.3603011
93,20093,Clinique Saint-Joseph,Rue des Déportés,,,,,,,,yes,,49.6782121,5.821149500000001
94,20094,Clinique Saint-Joseph,Rue des Déportés,,,,,,,,yes,,49.6781912,5.8205352
95,20095,Clinique Saint-Joseph,Rue des Déportés,,,,,,,,yes,,49.6778806,5.8212053
96,20096,Clinique Saint-Luc,Rue Saint-Luc,,,,,,,,yes,,50.476781700000004,4.8800495
97,20097,Clinique Saint-Michel - Sint-Michiels Ziekenhuis,Rue de Linthout - Linthoutstraat,,,,,,,,yes,,50.842952200000006,4.4003712
98,20098,Clinique Saint-Pierre,Avenue Reine Fabiola,,,,,,,,yes,,50.6684386,4.5592373
100,20100,Clinique Sainte-Anne Saint-Remi - Sint-Anna Sint-Remi Kliniek,Boulevard Jules Graindor - Jules Graindorlaan,,,,,,,,yes,,50.8446487,4.3166137
103,20103,Clinique Sainte-Élisabeth,,,,,,,,,yes,,50.460799200000004,4.845496400000001
104,20104,Clinique Sainte-Élisabeth - Sint-Elisabeth Ziekenhuis,Avenue De Fré - De Frélaan,,,,,+32 2 614 20 00,,,yes,,50.805138799999995,4.367407900000001
110,20110,Clinique universitaire de Mont-Godinne,Avenue Docteur Gaston Thérasse,,,,,,,,yes,,50.3585352,4.878431099999999
113,20113,Epicura Ath,Rue Maria Thomée,,,,,,,,yes,,50.6353691,3.7756854
114,20114,Epicura Baudour,Rue Louis Caty,,,,,,,,yes,,50.4689714,3.8426736000000004
115,20115,Epicura Hornu,Rue de Mons,,,,,+32 65 71 31 11,,,yes,,50.4368298,3.8286038000000002
125,20125,Hôpital Delta - Delta Ziekenhuis,Boulevard du Triomphe - Triomflaan,,,,,,,,yes,,50.81742379999999,4.4018218000000005
128,20128,Hôpital Princesse Paola,,,,,,,,,yes,,50.2280235,5.3216363
134,20134,Hôpital de Lobbes,Rue de la Station,,,,,,,,yes,,50.3454014,4.2607702000000005
136,20136,Hôpital Érasme - Erasmusziekenhuis,Route de Lennik - Lennikse Baan,,,,,,,,yes,,50.813395899999996,4.2634539
