STATE,ST,TIMEZONE,TZ
Burgas,BGS,Eastern European Time,EET
Blagoevgrad,BLG,Eastern European Time,EET
Dobrich,DOB,Eastern European Time,EET
Gabrovo,GAB,Eastern European Time,EET
Khaskovo,HKV,Eastern European Time,EET
Jambol,JAM,Eastern European Time,EET
Kjustendil,KNL,Eastern European Time,EET
Kurdzhali,KRZ,Eastern European Time,EET
Lovech,LOV,Eastern European Time,EET
Montana,MON,Eastern European Time,EET
Pazardzhik,PAZ,Eastern European Time,EET
Plovdiv,PDV,Eastern European Time,EET
Pernik,PER,Eastern European Time,EET
Pleven,PVN,Eastern European Time,EET
Razgrad,RAZ,Eastern European Time,EET
Ruse,RSE,Eastern European Time,EET
Sofija,SFO,Eastern European Time,EET
Shumen,SHU,Eastern European Time,EET
Silistra,SLS,Eastern European Time,EET
Sliven,SLV,Eastern European Time,EET
Smoljan,SML,Eastern European Time,EET
Sofija (stolica),SOF,Eastern European Time,EET
Stara Zagora,SZR,Eastern European Time,EET
Smoljan,SZR,Eastern European Time,EET
Turgovishhe,TGV,Eastern European Time,EET
Varna,VAR,Eastern European Time,EET
Vidin,VID,Eastern European Time,EET
Vraca,VRC,Eastern European Time,EET
Veliko Turnovo,VTR,Eastern European Time,EET
