,USPS,ST,NAME,ZCTA5,LAT,LON
0,Burgas,BGS,Айтос / Ajtos,8500,42.7,27.25
1,Burgas,BGS,Зетьово / Zet'ovo,8517,42.75,27.2333
2,Burgas,BGS,Лясково / Ljaskovo,8518,42.7333,27.3
3,Burgas,BGS,Малка поляна / Malka poljana,8519,42.6333,27.2333
4,Burgas,BGS,Съдиево / Sudievo,8522,42.6667,27.3167
5,Burgas,BGS,Мъглен / Muglen,8523,42.7333,27.3667
6,Burgas,BGS,Дрянковец / Drjankovec,8524,42.6833,27.3667
7,Burgas,BGS,Пещерско / Peshhersko,8525,42.75,27.3333
8,Burgas,BGS,Черна могила / Cherna mogila,8527,42.75,27.4
9,Burgas,BGS,Пирне / Pirne,8528,42.6833,27.2
10,Burgas,BGS,Чукарка / Chukarka,8529,42.65,27.1167
11,Burgas,BGS,Караново / Karanovo,8532,42.65,27.2
12,Burgas,BGS,Карагеоргиево / Karageorgievo,8543,42.7333,27.1833
13,Burgas,BGS,Поляново / Poljanovo,8544,42.7167,27.1833
14,Burgas,BGS,Черноград / Chernograd,8545,42.7167,27.1
15,Burgas,BGS,Раклиново / Raklinovo,8547,42.7667,27.05
16,Burgas,BGS,Тополица / Topolica,8549,42.7333,27.1167
17,Burgas,BGS,Бургас / Burgas,8000,42.5,27.4667
18,Burgas,BGS,Братово / Bratovo,8111,42.5,27.3
19,Burgas,BGS,Рудник / Rudnik,8112,42.6167,27.4833
20,Burgas,BGS,Брястовец / Brjastovec,8113,42.6667,27.4667
21,Burgas,BGS,Драганово / Draganovo,8114,42.7,27.4333
22,Burgas,BGS,Черно море / Cherno more,8115,42.6333,27.4833
23,Burgas,BGS,Изворище / Izvorishhe,8116,42.65,27.45
24,Burgas,BGS,Равнец / Ravnec,8117,42.5167,27.25
25,Burgas,BGS,Банево / Banevo,8125,42.6333,27.4
26,Burgas,BGS,Ветрен / Vetren,8127,42.6,27.3833
27,Burgas,BGS,Маринка / Marinka,8154,42.4,27.4833
28,Burgas,BGS,Твърдица / Tvurdica,8155,42.4,27.45
29,Burgas,BGS,Димчево / Dimchevo,8159,42.4,27.4167
30,Burgas,BGS,Българово / Bulgarovo,8520,42.6167,27.3
31,Burgas,BGS,Миролюбово / Miroljubovo,8521,42.6917,27.3
32,Burgas,BGS,Средец / Sredec,8300,42.3489,27.1942
33,Burgas,BGS,Пънчево / Punchevo,8311,42.2833,27.15
34,Burgas,BGS,Зорница / Zornica,8313,42.3833,26.9333
35,Burgas,BGS,Дебелт / Debelt,8314,42.4,27.2667
36,Burgas,BGS,Белила / Belila,8316,42.3333,27.1
37,Burgas,BGS,Росеново / Rosenovo,8318,42.3,27.2333
38,Burgas,BGS,Драчево / Drachevo,8319,42.3333,27.25
39,Burgas,BGS,Момина църква / Momina curkva,8320,42.375,27.0583
40,Burgas,BGS,Загорци / Zagorci,8321,42.4,27.0667
41,Burgas,BGS,Светлина / Svetlina,8322,42.3667,27.1
42,Burgas,BGS,Радойново / Radojnovo,8323,42.3833,26.9833
43,Burgas,BGS,Драка / Draka,8324,42.3667,27.0167
44,Burgas,BGS,Орлинци / Orlinci,8325,42.4333,27.0333
45,Burgas,BGS,Малина / Malina,8327,42.4167,27
46,Burgas,BGS,Суходол / Sukhodol,8328,42.4333,27.0833
47,Burgas,BGS,Голямо Буково / Goljamo Bukovo,8329,42.2,27.1833
48,Burgas,BGS,Дюлево / Djulevo,8330,42.4,27.1667
49,Burgas,BGS,Сливово / Slivovo,8331,42.2333,27.0167
50,Burgas,BGS,Синьо камене / Sin'o kamene,8332,42.25,26.9833
51,Burgas,BGS,Гранитец / Granitec,8333,42.25,26.9667
52,Burgas,BGS,Бистрец / Bistrec,8334,42.3167,27.0167
53,Burgas,BGS,Кубадин / Kubadin,8335,42.3,26.95
54,Burgas,BGS,Проход / Prokhod,8336,42.3333,27.0667
55,Burgas,BGS,Богданово / Bogdanovo,8337,42.2333,27.2667
56,Burgas,BGS,Варовник / Varovnik,8338,42.2167,27.2333
57,Burgas,BGS,Тракийци / Trakijci,8339,42.1667,27.25
58,Burgas,BGS,Факия / Fakija,8340,42.1833,27.0833
59,Burgas,BGS,Вълчаново / Vulchanovo,8341,42.2667,27.0667
60,Burgas,BGS,Долно Ябълково / Dolno Jabulkovo,8342,42.1333,27.1167
61,Burgas,BGS,Горно Ябълково / Gorno Jabulkovo,8343,42.1167,27.1
62,Burgas,BGS,Кирово / Kirovo,8344,42.15,27.1833
63,Burgas,BGS,Белеврен / Belevren,8345,42.1,27.1833
64,Burgas,BGS,Граничар / Granichar,8347,42.1333,27.25
65,Burgas,BGS,Свобода / Svoboda,8103,42.5667,27.3167
66,Burgas,BGS,Русокастро / Rusokastro,8105,42.4667,27.1833
67,Burgas,BGS,Желязово / Zheljazovo,8106,42.4833,27.15
68,Burgas,BGS,Ливада / Livada,8107,42.45,27.2167
69,Burgas,BGS,Трояново / Trojanovo,8108,42.55,27.15
70,Burgas,BGS,Вратица / Vratica,8109,42.5833,27.1667
71,Burgas,BGS,Камено / Kameno,8120,42.5667,27.3
72,Burgas,BGS,Кръстина / Krustina,8121,42.5833,27.2333
73,Burgas,BGS,Черни връх / Cherni vrukh,8122,42.45,27.3333
74,Burgas,BGS,Полски извор / Polski izvor,8123,42.45,27.3
75,Burgas,BGS,Константиново / Konstantinovo,8129,42.4167,27.3167
