,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
1,20001,16 ДКЦ,,,,,,,,,yes,,42.7378805,23.5080853
18,20018,Trakia,,,,,,,,,yes,,42.435609899999996,25.6114744
23,20023,Аджибадем Сити Клиник МБАЛ Токуда,бул. Никола Й. Вапцаров,,,,,,,,yes,,42.6655256,23.3238888
34,20034,Болница Кубрат,,,,,,,,,yes,,43.7914042,26.500679499999997
36,20036,Болница Рахила Ангелова,,,,,,,,,yes,,42.6124109,23.0362656
46,20046,Военно-морска болница,,,,,,,,,yes,,43.2271136,27.924712
78,20078,Здравна служба,,,,,,,,,yes,,43.2531438,27.7081766
97,20097,"МБАЛ ""Д-р Иван Селимински"" Сливен",,,,,,,,,yes,,42.67540579999999,26.324433199999998
101,20101,"МБАЛ ""СВ. ИВАН РИЛСКИ"" - РАЗГРАД АД",,,,,,,,,yes,,43.5293766,26.535444000000002
114,20114,МБАЛ Бургасмед,,,,,,,,,yes,,42.4635694,27.420153000000003
115,20115,МБАЛ Бяла Слатина,,,,,,,,,yes,,43.47849420000001,23.9286685
130,20130,МБАЛ Рокфелер,,,,,,,,,yes,,41.398182500000004,23.206922600000002
132,20132,МБАЛ Св. Пантелеймон,Панйот Хитов,,,,,,,,yes,,42.487528499999996,26.514780699999996
144,20144,МБАЛ-Шумен,Васил Априлов,,,,,054 855 755,,,yes,,43.2777016,26.9166915
146,20146,"МОБАЛ ""д-р Стефан Черкезов"" (база №1)",,,,,,,,,yes,,43.074712899999994,25.6151125
179,20179,Национална кардиологична болница,Коньовица,,,,,,,,yes,,42.706401899999996,23.2858018
187,20187,"Окръжна болница ""Проф. Стоян Киркович""",,,,,,,,,yes,,42.4259093,25.6135716
191,20191,Пета МБАЛ София,бул. ген. Николай Г. Столетов,,,,,,,,yes,,42.7130855,23.3109504
224,20224,Св. Иван Рилски,,,,,,,,,yes,,42.1679799,24.748004199999997
231,20231,Софиямед,бул. Д-р Г. М. Димитров,,,,,+359 2 465 0000,,,yes,,42.6669745,23.364720600000002
242,20242,Спешен медицински център,Васил Левски,,,,,,,,yes,,42.150127000000005,26.8114369
254,20254,"УМБАЛ ""КАНЕВ""-Русе",,,,,,,,,yes,,43.8567889,25.961451999999998
257,20257,УМБАЛ Св. Анна,,,,,,,,,yes,,42.6618231,23.370883600000003
258,20258,УМБАЛ „Св. Георги“,бул. Пещерско шосе,,,,,,,,yes,,42.138967799999996,24.709508800000002
260,20260,"Университетска многопрофилна болница за активно лечение и спешна медицина ""Н. И. Пирогов""",,,,,,+359 2 9154 411,,,yes,,42.6913578,23.3090829
