STATE,ST,TIMEZONE,TZ
Hlavní MěSto Praha,52,Central European Time,CET
Jihomoravský Kraj,78,Central European Time,CET
JihočEský Kraj,79,Central European Time,CET
Kraj VysočIna,80,Central European Time,CET
Karlovarský Kraj,81,Central European Time,CET
KráLovéHradecký Kraj,82,Central European Time,CET
Liberecký Kraj,83,Central European Time,CET
Olomoucký Kraj,84,Central European Time,CET
Moravskoslezský Kraj,85,Central European Time,CET
Pardubický Kraj,86,Central European Time,CET
PlzeňSký Kraj,87,Central European Time,CET
StřEdočEský Kraj,88,Central European Time,CET
ÚStecký Kraj,89,Central European Time,CET
ZlíNský Kraj,90,Central European Time,CET
