,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
47905,,,Aach,01,,Aach,2248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47904,,,Aach,08,,Aach,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48118,,,Aachen,07,,Aachen,265208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47903,,,Aalen,01,,Aalen,67085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47902,,,Aasbüttel,10,,Aasbüttel,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47901,,,Abbenrode,14,,Abbenrode,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47900,,,Abbesbüttel,06,,Abbesbüttel,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47899,,,Abenberg,02,,Abenberg,5484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47898,,,Abensberg,02,,Abensberg,12570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47897,,,Abentheuer,08,,Abentheuer,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47896,,,Absberg,02,,Absberg,1336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47895,,,Abstatt,01,,Abstatt,4456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47893,,,Abtsbessingen,15,,Abtsbessingen,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47892,,,Abtsdorf,14,,Abtsdorf,1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47891,,,Abtsgmünd,01,,Abtsgmünd,7381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47890,,,Abtswind,02,,Abtswind,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47889,,,Abtweiler,08,,Abtweiler,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47888,,,Achern,01,,Achern,24478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47887,,,Achim,06,,Achim,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47886,,,Achim,06,,Achim,30013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47885,,,Achslach,02,,Achslach,1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47884,,,Achstetten,01,,Achstetten,3978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47883,,,Acht,08,,Acht,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47882,,,Achtelsbach,08,,Achtelsbach,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47881,,,Achterwehr,10,,Achterwehr,931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,,,Achtrup,10,,Achtrup,1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47879,,,Adelberg,01,,Adelberg,2065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47878,,,Adelebsen,06,,Adelebsen,6541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47877,,,Adelheidsdorf,06,,Adelheidsdorf,2489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47876,,,Adelmannsfelden,01,,Adelmannsfelden,1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47875,,,Adelschlag,02,,Adelschlag,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47873,,,Adelsdorf,02,,Adelsdorf,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47874,,,Adelsdorf,02,,Adelsdorf,7245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47872,,,Adelsheim,01,,Adelsheim,5536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47871,,,Adelshofen,02,,Adelshofen,1568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
