,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,13 - LFI-Gebäude,,,,,,,,,,,50.924487899999995,6.9166819
1,10001,ACURA Kliniken Albstadt GmbH,Robert-Koch-Straße,,,,,,,,,,48.2374484,9.0335627
2,10002,AGAPLESION Bethesda Klinik Ulm,,,,,,,,,,,48.4019156,10.007245300000001
3,10003,AHG Klinik,Ferndorfstraße,,,,,,,,,,50.998698299999994,8.1151191
4,10004,AHG Klinik Hardberg,,,,,,,,,no,,49.831461499999996,9.015281199999999
5,10005,AHG Klinik Römhild,,,,,,,,,,,50.3897749,10.564237199999999
6,10006,AHG Klinik und Moorbad,Gesundbrunnenstraße,,,,,,,,no,,52.77375260000001,14.0211734
7,10007,AMEOS Innere Kliniken,Am Gradierwerk,,,,,,,,,,51.996433700000004,11.7158944
8,10008,AMEOS Klinikum,Tiroler Ring,,,,,+49 431 780530,,,no,,54.2966377,10.185087199999998
9,10009,AMEOS Klinikum,,,,,,,,,,,52.14247460000001,9.9802635
10,10010,AMEOS Klinikum Alfeld,Landrat-Beushausen-Straße,,,,,,,,yes,,51.994148700000004,9.833699800000002
11,10011,AMEOS Klinikum Heiligenhafen,Friedrich-Ebert-Straße,,,,,,,,,,54.372924600000005,10.963550999999999
12,10012,AMEOS Klinikum Inntal,Jakob-Weindler-Straße,,,,,,,,,,48.262761,13.014605099999999
13,10013,AMEOS Klinikum Kaiserstuhl,Brunngasse,,,,,,,,no,,48.1049675,7.6309154999999995
14,10014,AMEOS Klinikum Mitte Bremerhaven,Wiener Straße,,,,,+49 471 4805 0,,,,,53.5521666,8.576482
15,10015,AMEOS Klinikum Neustadt,Wiesenhof,,,,,+49 4561 6110,,,,,54.107513100000006,10.7927989
16,10016,AMEOS Klinikum Preetz,Am Krankenhaus,,,,,,,,,,54.238988600000006,10.276117300000001
17,10017,AMEOS Klinikum Schönebeck,,,,,,,,,,,52.0130586,11.7400112
18,10018,AMEOS Klinikum Seepark Geestland,Langener Straße,,,,,+49 4743 893 0,,,,,53.6166664,8.6279875
19,10019,AMEOS Klinikum St. Salvator Halberstadt,Gleimstraße,,,,,,,,yes,,51.9009511,11.0533717
20,10020,AMEOS Klinikum ehem. Sana-Klinkum,Kiefholzstraße,,,,,,,,,,52.286198799999994,11.3784845
21,10021,ASB Rettungshundestaffel Hattingen,,,,,,,,,no,,51.4134547,7.2003187
22,10022,ASKLEPIOS Klinik Schaufling,Hausstein,,,,,+49 9904 770,,,,,48.8623668,13.0649632
23,10023,ATOS Klinik,Bismarckstraße,,,,,+49 6221 983-0,,,,,49.410169700000004,8.6917653
24,10024,ATOS-Klinik,Effnerstraße,,,,,,,,no,,48.1545022,11.6165521
25,10025,AWO Krankenhaus Calbe,,,,,,,,,,,51.903460100000004,11.767240199999998
26,10026,AWO Psychiatriezentrum,Vor dem Kaiserdom,,,,,,,,,,52.2468005,10.810831199999999
27,10027,Aatalklinik,,,,,,,,,no,,51.51778839999999,8.7005009
28,10028,Abtseeklinik,,,,,,,,,,,47.9145093,12.907351
29,10029,Achenbach Krankenhaus,Köpenicker Straße,,,,,,,,,,52.30200870000001,13.6266279
30,10030,Achertalklinik für Psychiatrie und Psychotherapie,Markgraf-Bernhard-Straße,,,,,,,,,,48.565932000000004,8.1551233
31,10031,Agaplesion Allgemeines Krankenhaus Hagen,,,,,,+49 2331 201 0,,,,,51.3547053,7.4654817
32,10032,Agaplesion Diakonieklinikum Rotenburg,Elise-Averdieck-Straße,,,,,,,,yes,,53.10575970000001,9.4115161
33,10033,Agaplesion Evangelisches Klinikum Schaumburg gGmbH,Zum Schaumburger Klinikum,,,,,+49 5724 95800,,,yes,,52.2657349,9.1030571
34,10034,Agaplesion Neu-Bethlehem,Humboldtallee,,,,,,,,,,51.5403849,9.9427453
