,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
10,20010,AMEOS Klinikum Alfeld,Landrat-Beushausen-Straße,,,,,,,,yes,,51.994148700000004,9.833699800000002
19,20019,AMEOS Klinikum St. Salvator Halberstadt,Gleimstraße,,,,,,,,yes,,51.9009511,11.0533717
32,20032,Agaplesion Diakonieklinikum Rotenburg,Elise-Averdieck-Straße,,,,,,,,yes,,53.10575970000001,9.4115161
33,20033,Agaplesion Evangelisches Klinikum Schaumburg gGmbH,Zum Schaumburger Klinikum,,,,,+49 5724 95800,,,yes,,52.2657349,9.1030571
35,20035,Agaplesion evangelisches Krankenhaus Holzminden,Forster Weg,,,,,+49 5531 7050,,,yes,,51.835003799999996,9.455443699999998
39,20039,Albklinik Münsingen,,,,,,,,,yes,,48.404206,9.4903384
43,20043,Alexianer St. Joseph Krankenhaus Berlin-Weißensee,,,,,,,,,yes,,52.5515022,13.4681057
56,20056,Altonaer Kinderkrankenhaus,,,,,,+49 40 88908-0,,,yes,,53.551203,9.9127621
57,20057,Amalie-Sieveking-Krankenhaus,Haselkamp,,,,,,,,yes,,53.641079000000005,10.1523153
59,20059,Ameos Klinikum Anklam,Hospitalstraße,,,,,+49 3971 834 0,,,yes,,53.848582900000004,13.6994424
68,20068,Asklepios Burgseekliniken (Parkklinik),Burgseestraße,,,,,,,,yes,,50.807826399999996,10.2387531
80,20080,Asklepios Klinik Altona,,,,,,,,,yes,,53.55399370000001,9.9038601
83,20083,Asklepios Klinik Harburg,,,,,,,,,yes,,53.458801199999996,9.951374900000001
84,20084,Asklepios Klinik Langen,,,,,,,,,yes,,49.9995557,8.683425199999999
86,20086,Asklepios Klinik Melsungen,Kasseler Straße,,,,,,,,yes,,51.137657700000005,9.5399847
87,20087,Asklepios Klinik Nord Heidberg,,,,,,+49 40 1818870,,,yes,,53.677347499999996,10.030166
89,20089,Asklepios Klinik Pasewalk,Prenzlauer Chaussee,,,,,+49 3973 230,,,yes,,53.490373399999996,13.983274599999998
91,20091,Asklepios Klinik Seligenstadt,,,,,,,,,yes,,50.042035299999995,8.9630013
92,20092,Asklepios Klinik St. Georg,,,,,,+49 40 181885 0,,,yes,,53.560936700000006,10.0179546
94,20094,Asklepios Klinik Wandsbek,,,,,,+49 40 181883-0,,,yes,,53.570977799999994,10.0901034
98,20098,Asklepios Nordseeklinik,Norderstraße,,,,,+49 4651 84 0,,,yes,,54.9259941,8.3161293
