,USPS,ST,NAME,ZCTA5,LAT,LON
0,Region Midtjylland,,Endelave,8789,55.7573,10.271
1,Region Midtjylland,,Tunø,8799,55.9528,10.432
2,Region Sjælland,,Orø,4305,55.7718,11.8163
3,Region Sjælland,,Agersø,4244,55.2149,11.1854
4,Region Sjælland,,Omø,4245,55.162,11.159
5,Region Sjælland,,Askø og Lilleø,4942,54.8969,11.495
6,Region Sjælland,,Femø,4945,54.9758,11.5352
7,Region Syddanmark,,Lyø,5601,55.0439,10.1473
8,Region Syddanmark,,Avernakø,5602,55.0187,10.2845
9,Region Syddanmark,,Bjørnø,5603,55.0633,10.2482
10,Region Syddanmark,,Strynø,5943,54.9008,10.6118
11,Region Syddanmark,,Birkholm,5965,54.931,10.503
12,Region Syddanmark,,Barsø,6210,55.1216,9.5578
13,Region Nordjylland,,Nykøbing M,7900,56.7619,8.6836
14,Region Nordjylland,,Erslev,7950,56.8298,8.7501
15,Region Nordjylland,,Karby,7960,56.7536,8.5613
16,Region Nordjylland,,Redsted M,7970,56.7619,8.6836
17,Region Nordjylland,,Vils,7980,56.7631,8.7286
18,Region Nordjylland,,Øster Assels,7990,56.7011,8.6946
19,Region Nordjylland,,Thisted,7700,56.9552,8.6949
20,Region Nordjylland,,Hanstholm,7730,57.1167,8.6167
21,Region Nordjylland,,Frøstrup,7741,57.0867,8.9958
22,Region Nordjylland,,Vesløs,7742,57.0383,8.9746
23,Region Nordjylland,,Snedsted,7752,56.8924,8.5244
24,Region Nordjylland,,Bedsted Thy,7755,56.8924,8.5244
25,Region Nordjylland,,Hurup Thy,7760,56.7494,8.4195
26,Region Nordjylland,,Vestervig,7770,56.7628,8.3194
27,Region Nordjylland,,Hjallerup,9320,57.1647,10.1457
28,Region Nordjylland,,Dronninglund,9330,57.1604,10.2929
29,Region Nordjylland,,Asaa,9340,57.1487,10.4037
30,Region Nordjylland,,Dybvad,9352,57.272,10.3595
31,Region Nordjylland,,Hals,9370,56.9961,10.3081
32,Region Nordjylland,,Tylstrup,9382,57.1947,9.9531
33,Region Nordjylland,,Aabybro,9440,57.1584,9.7367
34,Region Nordjylland,,Løkken,9480,57.3705,9.7147
35,Region Nordjylland,,Brønderslev,9700,57.2702,9.941
36,Region Nordjylland,,Jerslev J,9740,57.323,10.0722
37,Region Nordjylland,,Østervrå,9750,57.3417,10.2401
38,Region Nordjylland,,Vrå,9760,57.3476,9.9515
39,Region Nordjylland,,Sæby,9300,57.3319,10.5225
40,Region Nordjylland,,Dronninglund,9330,57.1604,10.2929
41,Region Nordjylland,,Asaa,9340,57.1487,10.4037
42,Region Nordjylland,,Dybvad,9352,57.272,10.3595
43,Region Nordjylland,,Østervrå,9750,57.3417,10.2401
44,Region Nordjylland,,Tårs,9830,57.3833,10.1167
45,Region Nordjylland,,Sindal,9870,57.4712,10.2031
46,Region Nordjylland,,Bindslev,9881,57.5521,10.2036
47,Region Nordjylland,,Frederikshavn,9900,57.4407,10.5366
48,Region Nordjylland,,Strandby,9970,57.4915,10.4961
49,Region Nordjylland,,Jerup,9981,57.5343,10.4166
50,Region Nordjylland,,Ålbæk,9982,57.5925,10.4046
51,Region Nordjylland,,Skagen,9990,57.7209,10.5839
52,Region Nordjylland,,Nibe,9240,56.9815,9.6392
53,Region Nordjylland,,Suldrup,9541,56.8488,9.7006
54,Region Nordjylland,,Aars,9600,56.804,9.5144
55,Region Nordjylland,,Nørager,9610,56.7262,9.5971
56,Region Nordjylland,,Aalestrup,9620,56.6947,9.4934
57,Region Nordjylland,,Gedsted,9631,56.6892,9.3367
58,Region Nordjylland,,Farsø,9640,56.7728,9.3393
59,Region Nordjylland,,Løgstør,9670,56.9625,9.2583
60,Region Nordjylland,,Ranum,9681,56.8973,9.2287
61,Region Nordjylland,,Læsø,9940,57.5448,10.4827
62,Region Nordjylland,,Svenstrup J,9230,56.9733,9.9233
63,Region Nordjylland,,Nibe,9240,56.9815,9.6392
64,Region Nordjylland,,Gistrup,9260,56.9943,9.9909
65,Region Nordjylland,,Kongerslev,9293,56.9056,10.1267
66,Region Nordjylland,,Hobro,9500,56.6431,9.7903
67,Region Nordjylland,,Arden,9510,56.769,9.8618
68,Region Nordjylland,,Skørping,9520,56.8363,9.8925
69,Region Nordjylland,,Støvring,9530,56.8854,9.8384
70,Region Nordjylland,,Suldrup,9541,56.8488,9.7006
71,Region Nordjylland,,Hadsund,9560,56.7148,10.1168
72,Region Nordjylland,,Bælum,9574,56.83,10.1198
73,Region Nordjylland,,Terndrup,9575,56.8139,10.0615
74,Region Nordjylland,,Aars,9600,56.804,9.5144
75,Region Nordjylland,,Nørager,9610,56.7262,9.5971
76,Region Nordjylland,,Aalestrup,9620,56.6947,9.4934
77,Region Nordjylland,,Havndal,8970,56.6525,10.1967
78,Region Nordjylland,,Fårup,8990,56.3667,10.2494
79,Region Nordjylland,,Hobro,9500,56.6431,9.7903
80,Region Nordjylland,,Arden,9510,56.769,9.8618
81,Region Nordjylland,,Mariager,9550,56.6499,9.9751
82,Region Nordjylland,,Hadsund,9560,56.7148,10.1168
83,Region Nordjylland,,Aalestrup,9620,56.6947,9.4934
84,Region Nordjylland,,Møldrup,9632,56.6167,9.5011
85,Region Nordjylland,,Sulsted,9381,57.1634,9.9567
86,Region Nordjylland,,Tylstrup,9382,57.1947,9.9531
87,Region Nordjylland,,Vadum,9430,57.1179,9.857
88,Region Nordjylland,,Aabybro,9440,57.1584,9.7367
89,Region Nordjylland,,Brovst,9460,57.0956,9.528
90,Region Nordjylland,,Løkken,9480,57.3705,9.7147
91,Region Nordjylland,,Pandrup,9490,57.2215,9.6757
92,Region Nordjylland,,Blokhus,9492,57.248,9.5897
93,Region Nordjylland,,Saltum,9493,57.2719,9.698
94,Region Nordjylland,,Løgstør,9670,56.9625,9.2583
95,Region Nordjylland,,Fjerritslev,9690,57.0813,9.2664
96,Region Nordjylland,,Brønderslev,9700,57.2702,9.941
97,Region Nordjylland,,Aalborg,9000,57.048,9.9187
98,Region Nordjylland,,Aalborg,9100,57.048,9.9187
99,Region Nordjylland,,Aalborg SV,9200,56.9733,9.9233
100,Region Nordjylland,,Aalborg SØ,9210,56.9733,9.9233
101,Region Nordjylland,,Aalborg Øst,9220,56.9733,9.9233
102,Region Nordjylland,,Svenstrup J,9230,56.9733,9.9233
103,Region Nordjylland,,Nibe,9240,56.9815,9.6392
104,Region Nordjylland,,Gistrup,9260,56.9943,9.9909
105,Region Nordjylland,,Klarup,9270,57.0119,10.0562
106,Region Nordjylland,,Storvorde,9280,57.0039,10.1013
107,Region Nordjylland,,Kongerslev,9293,56.9056,10.1267
108,Region Nordjylland,,Vodskov,9310,57.1085,10.0222
109,Region Nordjylland,,Hjallerup,9320,57.1647,10.1457
110,Region Nordjylland,,Gandrup,9362,57.0574,10.1814
111,Region Nordjylland,,Hals,9370,56.9961,10.3081
112,Region Nordjylland,,Vestbjerg,9380,57.1317,9.9594
113,Region Nordjylland,,Sulsted,9381,57.1634,9.9567
114,Region Nordjylland,,Tylstrup,9382,57.1947,9.9531
115,Region Nordjylland,,Nørresundby,9400,57.0483,9.9352
116,Region Nordjylland,,Vadum,9430,57.1179,9.857
117,Region Nordjylland,,Aabybro,9440,57.1584,9.7367
118,Region Nordjylland,,Støvring,9530,56.8854,9.8384
119,Region Nordjylland,,Løkken,9480,57.3705,9.7147
120,Region Nordjylland,,Jerslev J,9740,57.323,10.0722
121,Region Nordjylland,,Østervrå,9750,57.3417,10.2401
122,Region Nordjylland,,Vrå,9760,57.3476,9.9515
123,Region Nordjylland,,Hjørring,9800,57.4642,9.9823
124,Region Nordjylland,,Tårs,9830,57.3833,10.1167
125,Region Nordjylland,,Hirtshals,9850,57.5881,9.9592
126,Region Nordjylland,,Sindal,9870,57.4712,10.2031
127,Region Nordjylland,,Bindslev,9881,57.5521,10.2036
128,Region Nordjylland,,Frederikshavn,9900,57.4407,10.5366
129,Region Nordjylland,,Ålbæk,9982,57.5925,10.4046
130,Region Midtjylland,,Bryrup,8654,56.0228,9.5183
131,Region Midtjylland,,Skanderborg,8660,56.0399,9.9272
132,Region Midtjylland,,Ry,8680,56.0904,9.7651
133,Region Midtjylland,,Horsens,8700,55.8607,9.8503
134,Region Midtjylland,,Hovedgård,8732,55.9417,9.955
135,Region Midtjylland,,Brædstrup,8740,55.9715,9.6113
136,Region Midtjylland,,Gedved,8751,55.9308,9.846
137,Region Midtjylland,,Østbirk,8752,55.9648,9.7556
138,Region Midtjylland,,Flemming,8762,55.8687,9.6675
139,Region Midtjylland,,Klovborg,8765,55.9319,9.491
140,Region Midtjylland,,Stenderup,8781,55.7921,9.8097
141,Region Midtjylland,,Hornsyld,8783,55.7526,9.8512
142,Region Midtjylland,,Kibæk,6933,56.0317,8.857
143,Region Midtjylland,,Ørnhøj,6973,56.1987,8.5645
144,Region Midtjylland,,Ulfborg,6990,56.2673,8.3217
145,Region Midtjylland,,Sønder Omme,7260,55.8398,8.8972
146,Region Midtjylland,,Stakroge,7270,55.8901,8.8473
147,Region Midtjylland,,Sønder Felding,7280,55.9376,8.7794
148,Region Midtjylland,,Brande,7330,55.9381,9.1218
149,Region Midtjylland,,Herning,7400,56.1393,8.9738
150,Region Midtjylland,,Sunds,7451,56.2042,9.0127
151,Region Midtjylland,,Karup J,7470,56.1757,9.0321
152,Region Midtjylland,,Vildbjerg,7480,56.2,8.7667
153,Region Midtjylland,,Aulum,7490,56.2654,8.7926
154,Region Midtjylland,,Holstebro,7500,56.3601,8.6161
155,Region Midtjylland,,Haderup,7540,56.3896,8.9943
156,Region Midtjylland,,Sørvad,7550,56.2629,8.6563
157,Region Midtjylland,,Vinderup,7830,56.4751,8.7908
