,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,20000,Aalborg Universitetshospital,,,,,,,,,yes,,57.0360687,9.9091295
3,20003,"Aalborg Universitetshospital, Farsø",,,,,,,,,yes,,56.7772698,9.3350686
4,20004,"Aalborg Universitetshospital, Hobro",,,,,,+4597652000,,,yes,,56.633789,9.796335899999999
6,20006,Aarhus Universitetshospital,,,,,,,,,yes,,56.185932799999996,10.170346400000001
11,20011,Bispebjerg Hospital,,,,,,,,,yes,,55.7153074,12.5369548
12,20012,Bornholms Hospital,,,,,,,,,yes,,55.08969870000001,14.707703099999998
14,20014,Frederiksberg Hospital,,,,,,,,,yes,,55.68847339999999,12.5243674
15,20015,Gentofte Hospital,,,,,,,,,yes,,55.737950899999994,12.5444273
17,20017,Herlev Hospital,,,,,,,,,yes,,55.7339037,12.4396485
18,20018,Herning Centralsygehus,,,,,,,,,yes,,56.141234600000004,8.972304600000001
25,20025,Nordsjællands Hospital – Frederikssund,,,,,,,,,yes,,55.846981299999996,12.0827222
26,20026,Nordsjællands Hospital – Hillerød,,,,,,,,,yes,,55.9311993,12.3230106
29,20029,Odense Universitetshospital,,,,,,,,,yes,,55.3891189,10.3622345
35,20035,Psykiatrisk Center Glostrup (afdeling Hvidovre),,,,,,,,,yes,,55.6504542,12.4441544
39,20039,Regionshospitalet Holstebro,,,,,,,,,yes,,56.3625856,8.628455800000001
40,20040,Regionshospitalet Horsens,,,,,,,,,yes,,55.864291,9.8713133
41,20041,Regionshospitalet Randers,,,,,,,,,yes,,56.4694205,10.0462763
42,20042,Regionshospitalet Silkeborg,,,,,,,,,yes,,56.1710665,9.5580562
44,20044,Rigshospitalet,,,,,,,,,yes,,55.699596400000004,12.5646201
46,20046,Roskilde Sygehus,,,,,,,,,yes,,55.635836499999996,12.09477
47,20047,Samsø Sundheds- og Akuthus,,,,,,,,,yes,,55.830726299999995,10.5903912
57,20057,"Sydvestjydsk Sygehus, Esbjerg",,,,,,,,,yes,,55.4734797,8.455534
60,20060,Ærø Sygehus,,,,,,,,,yes,,54.892402100000005,10.4062921
