STATE,ST,TIMEZONE,TZ
Harju Maakond,01,Eastern European Time,EET
Hiiu Maakond,02,Eastern European Time,EET
Ida-Viru Maakond,03,Eastern European Time,EET
JäRva Maakond,04,Eastern European Time,EET
JõGeva Maakond,05,Eastern European Time,EET
LääNe Maakond,07,Eastern European Time,EET
LääNe-Viru Maakond,08,Eastern European Time,EET
PäRnu Maakond,11,Eastern European Time,EET
PõLva Maakond,12,Eastern European Time,EET
Rapla Maakond,13,Eastern European Time,EET
Saare Maakond,14,Eastern European Time,EET
Tartu Maakond,18,Eastern European Time,EET
Valga Maakond,19,Eastern European Time,EET
Viljandi Maakond,20,Eastern European Time,EET
VõRu Maakond,21,Eastern European Time,EET
