STATE,ST,TIMEZONE,TZ
Alicante / Alacant,A,Central European Time,CET
Albacete,AB,Central European Time,CET
Almería,AL,Central European Time,CET
Ávila,AV,Central European Time,CET
Barcelona  [Barcelona],B,Central European Time,CET
Badajoz,BA,Central European Time,CET
Biskaia,BI,Central European Time,CET
Burgos,BU,Central European Time,CET
A Coruña  [La Coruña],C,Central European Time,CET
Cádiz,CA,Central European Time,CET
Cáceres,CC,Central European Time,CET
Ceuta,CE,Central European Time,CET
Córdoba,CO,Central European Time,CET
Ciudad Real,CR,Central European Time,CET
Castellón / Castelló,CS,Central European Time,CET
Cuenca,CU,Central European Time,CET
Las Palmas,GC,Central European Time,CET
Girona  [Gerona],GI,Central European Time,CET
Granada,GR,Central European Time,CET
Guadalajara,GU,Central European Time,CET
Huelva,H,Central European Time,CET
Huesca,HU,Central European Time,CET
Jaén,J,Central European Time,CET
Lleida  [Lérida],L,Central European Time,CET
León,LE,Central European Time,CET
La Rioja,LO,Central European Time,CET
Lugo  [Lugo],LU,Central European Time,CET
Madrid,M,Central European Time,CET
Málaga,MA,Central European Time,CET
Melilla,ML,Central European Time,CET
Murcia,MU,Central European Time,CET
Navarra / Nafarroa,,Central European Time,CET
Asturias,O,Central European Time,CET
Ourense  [Orense],OR,Central European Time,CET
Palencia,P,Central European Time,CET
Balears  [Baleares],PM,Central European Time,CET
Pontevedra  [Pontevedra],PO,Central European Time,CET
Cantabria,S,Central European Time,CET
Salamanca,SA,Central European Time,CET
Sevilla,SE,Central European Time,CET
Segovia,SG,Central European Time,CET
Soria,SO,Central European Time,CET
Gipuzkoa,SS,Central European Time,CET
Tarragona  [Tarragona],T,Central European Time,CET
Teruel,TE,Central European Time,CET
Santa Cruz de Tenerife,TF,Central European Time,CET
Toledo,TO,Central European Time,CET
Valencia / València,V,Central European Time,CET
Valladolid,VA,Central European Time,CET
Álava / Araba,VI,Central European Time,CET
Zaragoza,Z,Central European Time,CET
Zamora,ZA,Central European Time,CET
