,USPS,ST,NAME,ZCTA5,LAT,LON
0,Andalucia,,Almeria,04001,36.8381,-2.4597
1,Andalucia,,El Palmer,04002,36.8381,-2.4597
2,Andalucia,,Almeria,04002,36.8381,-2.4597
3,Andalucia,,Almeria,04003,36.8381,-2.4597
4,Andalucia,,Almeria,04004,36.8381,-2.4597
5,Andalucia,,Almeria,04005,36.8381,-2.4597
6,Andalucia,,Almeria,04006,36.8381,-2.4597
7,Andalucia,,Almeria,04007,36.8381,-2.4597
8,Andalucia,,Almeria,04008,36.8381,-2.4597
9,Andalucia,,Almeria,04009,36.8381,-2.4597
10,Andalucia,,Almeria,04070,36.8381,-2.4597
11,Andalucia,,Almeria,04071,36.8381,-2.4597
12,Andalucia,,Almeria,04080,36.8381,-2.4597
13,Andalucia,,Nijar,04100,36.9665,-2.2059
14,Andalucia,,Campohermoso,04110,36.9362,-2.1319
15,Andalucia,,El Viso,04113,36.8825,-2.1058
16,Andalucia,,Atochares,04113,36.8825,-2.1058
17,Andalucia,,Saladar Y Leche,04114,36.9625,-2.0953
18,Andalucia,,Polopos,04114,37.0266,-2.0803
19,Andalucia,,Tristanes,04114,36.974,-2.1469
20,Andalucia,,Torre Del Campo,04114,36.9877,-2.1075
21,Andalucia,,Los Cortijillos,04114,36.9877,-2.1075
22,Andalucia,,Venta Del Pobre,04114,36.9877,-2.1075
23,Andalucia,,Rodalquilar,04115,36.8487,-2.0443
24,Andalucia,,Las Negras,04116,36.8802,-2.0047
25,Andalucia,,Albaricoques,04116,36.8802,-2.0047
26,Andalucia,,Fernanperez,04116,36.8802,-2.0047
27,Andalucia,,Hortichuelas,04116,36.8802,-2.0047
28,Andalucia,,Hornillos,04116,36.8802,-2.0047
29,Andalucia,,Pozo De Los Frailes,04117,36.7892,-2.1095
30,Andalucia,,Boca De Los Frailes,04117,36.8054,-2.1325
31,Andalucia,,Los Nietos,04117,36.8844,-2.183
32,Andalucia,,El Barranquete,04117,36.8263,-2.1416
33,Andalucia,,San Isidro De Nijar,04117,36.8263,-2.1416
34,Andalucia,,Cuevas Del Lino,04117,36.8263,-2.1416
35,Andalucia,,Presillas Bajas,04117,36.8263,-2.1416
36,Andalucia,,Los Grillos,04117,36.8263,-2.1416
37,Andalucia,,Pueblo Blanco,04117,36.8263,-2.1416
38,Andalucia,,Los Escullos,04118,36.8036,-2.0634
39,Andalucia,,La Isleta,04118,36.8137,-2.052
