,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
2,20002,Ambulatorio Vallobin,,,,,,,,,yes,,43.368742600000004,-5.8660012
23,20023,CAP ARENYS DE MUNT,Carrer Verge del Remei,,,,,+34 93 795 02 41,,,yes,,41.6100409,2.5386195
25,20025,CHARE,,,,,,,,,yes,,37.3987301,-4.751975700000001
39,20039,Centro Materno Infantil Nosa Sra. de Belén,Rúa Filantropía,,,,,,,,yes,,43.365637799999995,-8.4148806
51,20051,Centro de Alta Resolución,Plaza del Molinillo,,,,,,,,yes,,39.454629100000005,-5.8826599
58,20058,Centro de Especialidades Zaídin,,,,,,,,,yes,,37.1610753,-3.5997961000000003
68,20068,Centro de Salud,Calle Plaza de Abajo,,,,,+34 949350676,,,yes,,40.4824495,-2.7325146
72,20072,Centro de Salud Adeje,,,,,,,,,yes,,28.118382399999998,-16.7271976
76,20076,Centro de Salud Barrio de la Salud,,,,,,,,,yes,,28.4668162,-16.2699171
83,20083,Centro de Salud La Isleta,,,,,,,,,yes,,28.1487683,-15.423967300000001
85,20085,Centro de Salud Las Ciudades,,,,,,,,,yes,,40.314801700000004,-3.7143714
107,20107,Centro de Salud de Guanarteme,,,,,,,,,yes,,28.127090600000002,-15.4410807
117,20117,Centro de especialidades,Severo Ochoa,,,,,,,,yes,,39.0645715,-3.6155717000000003
118,20118,Centro de salud,Avenida del Barco,,,,,,,,yes,,38.0428518,-4.1730251
121,20121,Centro de salud Playa de Arinaga,,,,,,,,,yes,,27.8595131,-15.393569199999998
127,20127,Ciudad Sanitaria La Paz.,,,,,,,,,yes,,40.4824744,-3.6885105000000005
133,20133,Clínica Asepeyo,,,,,,,,,yes,,40.4367453,-3.5320201
137,20137,Clínica Diagonal,,,,,,,,,yes,,41.3786157,2.0970560000000003
140,20140,Clínica La Inmaculada,,,,,,,,,yes,,37.1639549,-3.6075349
157,20157,Clínica Santa Elena,,,,,,,,,yes,,36.6462076,-4.4882498
159,20159,Clínica Teknon,,,,,,,,,yes,,41.405116299999996,2.1276667999999996
160,20160,Clínica Universidad de Navarra,Avenida Pío XII,,,,,,,,yes,,42.804951700000004,-1.6634949
167,20167,Complejo Asistencial Universitario de León,,,,,,,,,yes,,42.61998010000001,-5.574308900000001
168,20168,Complejo Asistencial de Segovia,,,,,,,,,yes,,40.9424948,-4.1305351
169,20169,Complejo Hopitaliario Provincial de Toledo,,,,,,,,,yes,,39.8612803,-4.0144969
174,20174,Complejo Hospitalario de Navarra,Calle Irunlarrea,,,,,+34 848422222,,,yes,,42.8052635,-1.6728990000000001
176,20176,Complexo Hospitalario Universitario da Coruña,As Xubias de Arriba,,,,,+34 981 178000,,,yes,,43.3428908,-8.388964300000001
177,20177,Complexo Hospitalario Universitario de Ourense,Rúa Ramón Puga Noguerol,,,,,+34988385500,,,yes,,42.324697,-7.8595439
