,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
72627,,,Abancourt,32,,Abancourt,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72626,,,Abbaretz,52,,Abbaretz,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72625,,,Abbeville,32,,Abbeville,26461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72623,,,Abbeville-Saint-Lucien,32,,Abbeville-Saint-Lucien,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72624,,,Abbévillers,27,,Abbévillers,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72622,,,Abeilhan,76,,Abeilhan,1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72621,,,Abergement-la-Ronce,27,,Abergement-la-Ronce,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72620,,,Abilly,24,,Abilly,1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72619,,,Abjat-sur-Bandiat,75,,Abjat-sur-Bandiat,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72618,,,Ablain-Saint-Nazaire,32,,Ablain-Saint-Nazaire,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72617,,,Ableiges,11,,Ableiges,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72616,,,Ablis,11,,Ablis,2845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72615,,,Ablon,28,,Ablon,1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72614,,,Ablon-sur-Seine,11,,Ablon-sur-Seine,5174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72613,,,Abondance,84,,Abondance,1498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72612,,,Abondant,24,,Abondant,1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72611,,,Abos,75,,Abos,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72610,,,Abreschviller,44,,Abreschviller,1332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72609,,,Abrest,84,,Abrest,2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72608,,,Abscon,32,,Abscon,4204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72607,,,Abzac,75,,Abzac,1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72606,,,Achen,44,,Achen,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72605,,,Achenheim,44,,Achenheim,2303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72602,,,Achery,32,,Achery,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72601,,,Acheux-en-Amiénois,32,,Acheux-en-Amiénois,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72600,,,Acheux-en-Vimeu,32,,Acheux-en-Vimeu,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72599,,,Acheville,32,,Acheville,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72598,,,Achicourt,32,,Achicourt,7683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72597,,,Achiet-le-Grand,32,,Achiet-le-Grand,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72604,,,Achères,11,,Achères,22555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72603,,,Achères-la-Forêt,11,,Achères-la-Forêt,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
