STATE,ST,TIMEZONE,TZ
ÎLe-De-France,11,Central European Time,CET
Centre-Val De Loire,24,Central European Time,CET
Bourgogne-Franche-Comté,27,Central European Time,CET
Normandie,28,Central European Time,CET
Hauts-De-France,32,Central European Time,CET
Grand Est,44,Central European Time,CET
Pays De La Loire,52,Central European Time,CET
Bretagne,53,Central European Time,CET
Nouvelle-Aquitaine,75,Central European Time,CET
Occitanie,76,Central European Time,CET
Auvergne-RhôNe-Alpes,84,Central European Time,CET
Provence-Alpes-CôTe D'Azur,93,Central European Time,CET
Corse,94,Central European Time,CET
