,USPS,ST,NAME,ZCTA5,LAT,LON
0,Île-de-France,11,Paris,75000,48.8534,2.3488
1,Île-de-France,11,Paris 01,75001,48.8592,2.3417
2,Île-de-France,11,Paris,75001,48.8534,2.3488
3,Île-de-France,11,Paris 02,75002,48.8655,2.3426
4,Île-de-France,11,Paris,75002,48.8534,2.3488
5,Île-de-France,11,Paris 03,75003,48.8637,2.3615
6,Île-de-France,11,Paris,75003,48.8534,2.3488
7,Île-de-France,11,Paris 04,75004,48.8601,2.3507
8,Île-de-France,11,Paris,75004,48.8534,2.3488
9,Île-de-France,11,Paris 05,75005,48.8448,2.3471
10,Île-de-France,11,Paris,75005,48.8534,2.3488
11,Île-de-France,11,Paris,75006,48.8534,2.3488
12,Île-de-France,11,Paris 06,75006,48.8493,2.33
13,Île-de-France,11,Paris 07,75007,48.8565,2.321
14,Île-de-France,11,Paris,75007,48.8534,2.3488
15,Île-de-France,11,Paris 08,75008,48.8763,2.3183
16,Île-de-France,11,Paris,75008,48.8534,2.3488
17,Île-de-France,11,Paris 09,75009,48.8718,2.3399
18,Île-de-France,11,Paris,75009,48.8534,2.3488
19,Île-de-France,11,Paris 10,75010,48.8709,2.3561
20,Île-de-France,11,Paris,75010,48.8534,2.3488
21,Île-de-France,11,Paris 11,75011,48.8574,2.3795
22,Île-de-France,11,Paris,75011,48.8534,2.3488
23,Île-de-France,11,Paris 12,75012,48.8412,2.3876
24,Île-de-France,11,Paris,75012,48.8534,2.3488
25,Île-de-France,11,Paris 13,75013,48.8322,2.3561
26,Île-de-France,11,Paris,75013,48.8534,2.3488
27,Île-de-France,11,Paris 14,75014,48.8331,2.3264
28,Île-de-France,11,Paris,75014,48.8534,2.3488
29,Île-de-France,11,Paris 15,75015,48.8412,2.3003
30,Île-de-France,11,Paris,75015,48.8534,2.3488
31,Île-de-France,11,Paris 16,75016,48.8637,2.2769
32,Île-de-France,11,Paris,75016,48.8534,2.3488
33,Île-de-France,11,Paris 17,75017,48.8835,2.3219
34,Île-de-France,11,Paris,75017,48.8534,2.3488
35,Île-de-France,11,Paris 18,75018,48.8925,2.3444
36,Île-de-France,11,Paris,75018,48.8534,2.3488
37,Île-de-France,11,Paris 19,75019,48.8817,2.3822
38,Île-de-France,11,Paris,75019,48.8534,2.3488
39,Île-de-France,11,Paris 20,75020,48.8646,2.3984
40,Île-de-France,11,Paris,75020,48.8534,2.3488
41,Île-de-France,11,Paris 01,75021 CEDEX 01,48.8592,2.3417
42,Île-de-France,11,Paris 01,75023 CEDEX 01,48.8592,2.3417
43,Île-de-France,11,Paris 01,75024 CEDEX 01,48.8592,2.3417
44,Île-de-France,11,Paris 01,75026 CEDEX 01,48.8592,2.3417
45,Île-de-France,11,Paris 01,75028 CEDEX 01,48.8592,2.3417
46,Île-de-France,11,Paris 01,75029 CEDEX 01,48.8592,2.3417
47,Île-de-France,11,Paris 01,75030 CEDEX 01,48.8592,2.3417
48,Île-de-France,11,Paris 01,75031 CEDEX 01,48.8592,2.3417
49,Île-de-France,11,Paris 01,75032 CEDEX 01,48.8592,2.3417
50,Île-de-France,11,Paris 01,75033 CEDEX 01,48.8592,2.3417
51,Île-de-France,11,Paris 01,75034 CEDEX 01,48.8592,2.3417
52,Île-de-France,11,Paris 01,75035 CEDEX 01,48.8592,2.3417
53,Île-de-France,11,Paris 01,75036 CEDEX 01,48.8592,2.3417
54,Île-de-France,11,Paris 01,75038 CEDEX 01,48.8592,2.3417
55,Île-de-France,11,Paris 01,75039 CEDEX 01,48.8592,2.3417
56,Île-de-France,11,Paris 01,75040 CEDEX 01,48.8592,2.3417
57,Île-de-France,11,Paris 01,75041 CEDEX 01,48.8592,2.3417
58,Île-de-France,11,Paris 01,75042 CEDEX 01,48.8592,2.3417
59,Île-de-France,11,Paris 01,75043 CEDEX 01,48.8592,2.3417
60,Île-de-France,11,Paris 01,75044 CEDEX 01,48.8592,2.3417
61,Île-de-France,11,Paris 01,75045 CEDEX 01,48.8592,2.3417
62,Île-de-France,11,Paris 01,75046 CEDEX 01,48.8592,2.3417
63,Île-de-France,11,Paris 01,75047 CEDEX 01,48.8592,2.3417
64,Île-de-France,11,Paris 01,75048 CEDEX 01,48.8592,2.3417
65,Île-de-France,11,Paris 01,75049 CEDEX 01,48.8592,2.3417
66,Île-de-France,11,Paris 01,75051 CEDEX 01,48.8592,2.3417
67,Île-de-France,11,Paris 01,75052 CEDEX 01,48.8592,2.3417
68,Île-de-France,11,Paris 01,75053 CEDEX 01,48.8592,2.3417
69,Île-de-France,11,Paris 01,75054 CEDEX 01,48.8592,2.3417
70,Île-de-France,11,Paris 01,75055 CEDEX 01,48.8592,2.3417
71,Île-de-France,11,Paris 01,75056 CEDEX 01,48.8592,2.3417
72,Île-de-France,11,Paris 01,75058 CEDEX 01,48.8592,2.3417
73,Île-de-France,11,Paris 01,75059 CEDEX 01,48.8592,2.3417
74,Île-de-France,11,Paris 02,75060 CEDEX 02,48.8655,2.3426
75,Île-de-France,11,Paris 02,75061 CEDEX 02,48.8655,2.3426
76,Île-de-France,11,Paris 02,75062 CEDEX 02,48.8655,2.3426
77,Île-de-France,11,Paris 02,75063 CEDEX 02,48.8655,2.3426
78,Île-de-France,11,Paris 02,75064 CEDEX 02,48.8655,2.3426
79,Île-de-France,11,Paris 02,75065 CEDEX 02,48.8655,2.3426
80,Île-de-France,11,Paris 02,75066 CEDEX 02,48.8655,2.3426
81,Île-de-France,11,Paris 02,75067 CEDEX 02,48.8655,2.3426
