,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
77650,,,Abberton,ENG,,Abberton,831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77649,,,Abbey Dore,ENG,,Abbey Dore,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77972,,,Abbey Wood,ENG,,Abbey Wood,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77648,,,Abbots Bromley,ENG,,Abbots Bromley,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77646,,,Abbots Langley,ENG,,Abbots Langley,10472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77647,,,Abbotskerswell,ENG,,Abbotskerswell,1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77645,,,Abbotts Ann,ENG,,Abbotts Ann,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77644,,,Aber,WLS,,Aber,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77643,,,Aberaeron,WLS,,Aberaeron,1422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77642,,,Abercanaid,WLS,,Abercanaid,5061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77641,,,Abercarn,WLS,,Abercarn,10118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77640,,,Aberchirder,SCT,,Aberchirder,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77639,,,Abercynon,WLS,,Abercynon,5983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77638,,,Aberdare,WLS,,Aberdare,31135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77637,,,Aberdeen,SCT,,Aberdeen,196670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77636,,,Aberdour,SCT,,Aberdour,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77635,,,Aberdyfi,WLS,,Aberdyfi,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77634,,,Aberfan,WLS,,Aberfan,3547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77633,,,Aberfeldy,SCT,,Aberfeldy,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77632,,,Aberffraw,WLS,,Aberffraw,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77631,,,Aberford,ENG,,Aberford,1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77630,,,Aberfoyle,SCT,,Aberfoyle,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77629,,,Abergavenny,WLS,,Abergavenny,14651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77628,,,Abergele,WLS,,Abergele,17769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77627,,,Abergwili,WLS,,Abergwili,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77626,,,Aberkenfig,WLS,,Aberkenfig,10083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77625,,,Aberlady,SCT,,Aberlady,1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
