,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
10,20010,Airedale General Hospital,Skipton Road,,,,,,,,yes,,53.8960764,-1.9616604
22,20022,Altnagelvin Hospital,Glenshane Road,,,,,028 7134 5171,,,yes,,54.9883505,-7.289858000000001
29,20029,Antrim Area Hospital,,,,,,,,,yes,,54.735666099999996,-6.1879101
52,20052,Ayr & Ailsa Hospitals,,,,,,,,,yes,,55.432633100000004,-4.6052528
69,20069,Balfour Hospital,New Scapa Road,,,,,+44 1856 888000,,,yes,,58.976435200000004,-2.9642087000000004
74,20074,Basildon University Hospital,Nether Mayne,,,,,+44 1268 524900,,,yes,,51.5580635,0.4474004
75,20075,Basingstoke and North Hampshire Hospital,,,,,,,,,yes,,51.2801535,-1.1107708
78,20078,Bassetlaw Hospital,Blyth Road,,,,,+44 1909 500990,,,yes,,53.314557900000004,-1.11172
83,20083,Bedford Hospital South Wing,Kempston Road,,,,,,,,yes,,52.1283178,-0.47506499999999996
86,20086,Belfast City Hospital,,,,,,,,,yes,,54.5880997,-5.9391059
111,20111,Blackpool Victoria Hospital,,,,,,,,,yes,,53.821257499999994,-3.0133145
117,20117,Bodmin Hospital,,,,,,,,,yes,,50.4666436,-4.741487599999999
121,20121,Borders General Hospital,,,,,,,,,yes,,55.593070700000006,-2.7451407000000003
126,20126,Bradford Royal Infirmary,Duckworth Lane,,,,,,,,yes,,53.80811429999999,-1.8016737
132,20132,Brecon War Memorial Hospital,,,,,,,,,yes,,51.9490893,-3.3851714999999998
140,20140,Bristol Royal Infirmary,,,,,,,,,yes,,51.4594058,-2.5984938
152,20152,Broomfield Hospital,Court Road,,,,,+44 1245 443673,,,yes,,51.7777333,0.46007200000000004
158,20158,Burnley General Hospital,Casterton Avenue,,,,,,,,yes,,53.8073299,-2.2301368
162,20162,Calderdale Royal Hospital,,,,,,,,,yes,,53.7036721,-1.8588740000000001
171,20171,Campbeltown Hospital,,,,,,,,,yes,,55.420553399999996,-5.6057015
185,20185,Causeway Hospital,Newbridge Road,,,,,028 7032 7032,,,yes,,55.1223652,-6.6493423
193,20193,Charing Cross Hospital,,,,,,,,,yes,,51.48772329999999,-0.2214698
217,20217,City Hospital,Dudley Road,,,,,,,,yes,,52.490166200000004,-1.9269033
237,20237,Coggeshall Surgery,,,,,,,,,yes,,51.87241220000001,0.6840484
238,20238,Colchester General Hospital,,,,,,,,,yes,,51.9075839,0.8972589
240,20240,Community Paramedic Service,,,,,,,,,yes,,55.306783700000004,-1.9141343000000002
248,20248,Countess of Chester Hospital,Liverpool Road,,,,,,,,yes,,53.213492200000005,-2.8989960999999997
265,20265,Croydon University Hospital,London Road,,,,,,,,yes,,51.3887237,-0.1075482
267,20267,Cumberland Infirmary,,,,,,,,,yes,,54.8943119,-2.9560547
276,20276,Daisy Hill Hospital,Hospital Road,,,,,028 3083 5000 ext 2347,,,yes,,54.17837420000001,-6.3489169
278,20278,Darent Valley Hospital,,,,,,,,,yes,,51.4374945,0.2549568
285,20285,Derriford Hospital,Derriford Road,,,,,+44 1752 202082,,,yes,,50.4181976,-4.1165136
288,20288,Dewsbury & District Hospital,,,,,,,,,yes,,53.703177100000005,-1.648966
291,20291,Dilke Memorial Hospital,Speech House Road,,,,,,,,yes,,51.8104157,-2.5213528999999997
295,20295,Doncaster Royal Infirmary,,,,,,,,,yes,,53.5300033,-1.1145481000000002
299,20299,Downe Hospital,Struell Wells Road,,,,,028 4483 8191,,,yes,,54.3208267,-5.6936323
300,20300,Dr Gray's Hospital,,,,,,,,,yes,,57.644656299999994,-3.3305247000000002
305,20305,Dumfries and Galloway Royal Infirmary,Cargenbridge,,,,,,,,yes,,55.0608846,-3.6617144
316,20316,East Riding Community Hospital,Swinemoor Lane,,,,,,,,yes,,53.8527846,-0.4147281
