ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
,,Acharnés,ESYE31,,Acharnés,99346,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Acharávi,ESYE22,,Acharávi,1013,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Achinós,ESYE12,,Achinós,507,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Achladochóri,ESYE12,,Achladochóri,596,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Achladochóri,ESYE12,,Achladochóri,501,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Adelianós Kámpos,ESYE43,,Adelianós Kámpos,680,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Adámas,ESYE42,,Adámas,1347,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aegina,ESYE31,,Aegina,6867,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aetós,ESYE13,,Aetós,759,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Afidnés,ESYE31,,Afidnés,1908,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Afrátion,ESYE24,,Afrátion,1405,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Afántou,ESYE42,,Afántou,5562,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aghios Panteleímon,ESYE31,,Aghios Panteleímon,1591,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agia Kyriakií Spáton,ESYE31,,Agia Kyriakií Spáton,886,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agios Dimitrios,ESYE31,,Agios Dimitrios,71294,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agios Dimítrios Kropiás,ESYE31,,Agios Dimítrios Kropiás,1011,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agios Georgis,ESYE22,,Agios Georgis,4958,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agios Geórgios Argyrádon,ESYE22,,Agios Geórgios Argyrádon,503,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agios Ioannis Rentis,ESYE31,,Agios Ioannis Rentis,16050,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agios Kirykos,ESYE41,,Agios Kirykos,1908,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agiá,ESYE21,,Agiá,918,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agiá,ESYE14,,Agiá,2827,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agiásos,ESYE41,,Agiásos,2320,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agiófyllo,ESYE14,,Agiófyllo,621,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agkathiá,ESYE12,,Agkathiá,1459,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agnanteró,ESYE14,,Agnanteró,1859,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agnantiá,ESYE14,,Agnantiá,601,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agriá,ESYE14,,Agriá,5519,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agrínio,ESYE23,,Agrínio,46899,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Foteiní,ESYE43,,Agía Foteiní,0,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Galíni,ESYE43,,Agía Galíni,1369,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Kyriakí,ESYE21,,Agía Kyriakí,83,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Marína,ESYE31,,Agía Marína,3765,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Marína,ESYE43,,Agía Marína,2005,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Marína,ESYE12,,Agía Marína,732,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Marína,ESYE42,,Agía Marína,2743,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Paraskeví,ESYE12,,Agía Paraskeví,557,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Paraskeví,ESYE12,,Agía Paraskeví,1501,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Paraskeví,ESYE41,,Agía Paraskeví,2195,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Paraskeví,ESYE21,,Agía Paraskeví,685,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Paraskeví,ESYE31,,Agía Paraskeví,59704,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Paraskeví Lamiéon,ESYE24,,Agía Paraskeví Lamiéon,922,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Triáda,ESYE12,,Agía Triáda,3580,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Triáda,ESYE14,,Agía Triáda,1030,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Triáda,ESYE24,,Agía Triáda,1098,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Triáda,ESYE31,,Agía Triáda,959,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Varvára,ESYE43,,Agía Varvára,2167,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Varvára,ESYE31,,Agía Varvára,26550,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Varvára,ESYE12,,Agía Varvára,896,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agía Ánna,ESYE24,,Agía Ánna,823,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agíasma,ESYE11,,Agíasma,843,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aianí,ESYE13,,Aianí,2119,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aidipsós,ESYE24,,Aidipsós,1249,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aigáleo,ESYE31,,Aigáleo,69946,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aigáni,ESYE14,,Aigáni,694,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aigínio,ESYE12,,Aigínio,4275,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aitolikó,ESYE23,,Aitolikó,4323,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aiánteio,ESYE31,,Aiánteio,4860,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Akhinós,ESYE24,,Akhinós,726,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Akhíllio,ESYE14,,Akhíllio,628,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Akraifnía,ESYE24,,Akraifnía,1195,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Akriní,ESYE13,,Akriní,1113,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Akrolímni,ESYE12,,Akrolímni,1398,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Akropotamiá,ESYE21,,Akropotamiá,637,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Akropótamos,ESYE11,,Akropótamos,675,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Akropótamos,ESYE12,,Akropótamos,635,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Akráta,ESYE23,,Akráta,1393,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aktaío,ESYE23,,Aktaío,1494,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alepoú,ESYE22,,Alepoú,3149,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alexandroupoli,ESYE11,,Alexandroupoli,52979,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alexándreia,ESYE12,,Alexándreia,13665,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alfeioúsa,ESYE23,,Alfeioúsa,1067,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alistráti,ESYE12,,Alistráti,2127,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alivéri,ESYE24,,Alivéri,5184,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Almyrós,ESYE14,,Almyrós,7955,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alíartos,ESYE24,,Alíartos,4275,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alónia,ESYE22,,Alónia,526,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alónia,ESYE12,,Alónia,653,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Amaliapolis,ESYE14,,Amaliapolis,879,.5,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
