,USPS,ST,NAME,ZCTA5,LAT,LON
0,Bjelovarsko-Bilogorska,,Ivanska,43000,45.7789,16.8119
1,Bjelovarsko-Bilogorska,,Stara Plošćica,43000,45.7608,16.8847
2,Bjelovarsko-Bilogorska,,Predavac,43000,45.9358,16.7833
3,Bjelovarsko-Bilogorska,,Kakinac,43000,45.9667,16.7667
4,Bjelovarsko-Bilogorska,,Križ Gornji,43000,46.0472,16.7675
5,Bjelovarsko-Bilogorska,,Kraljevac,43000,45.9667,16.7333
6,Bjelovarsko-Bilogorska,,Malo Korenovo,43000,45.85,16.8333
7,Bjelovarsko-Bilogorska,,Babinac,43000,45.7536,16.8261
8,Bjelovarsko-Bilogorska,,Babotok,43000,46.0167,16.8833
9,Bjelovarsko-Bilogorska,,Veliko Korenovo,43000,45.85,16.8
10,Bjelovarsko-Bilogorska,,Gornje Plavnice,43000,45.9333,16.8667
11,Bjelovarsko-Bilogorska,,Severin,43000,45.835,16.9589
12,Bjelovarsko-Bilogorska,,Ždralovi,43000,45.8764,16.875
13,Bjelovarsko-Bilogorska,,Stare Plavnice,43000,45.9,16.8167
14,Bjelovarsko-Bilogorska,,Potok,43000,45.7333,16.8667
15,Bjelovarsko-Bilogorska,,Utiskani,43000,45.8,16.8167
16,Bjelovarsko-Bilogorska,,Sredice Gornje,43000,46.0372,16.82
17,Bjelovarsko-Bilogorska,,Narta,43000,45.8328,16.7861
18,Bjelovarsko-Bilogorska,,Tuk,43000,45.9167,16.7333
19,Bjelovarsko-Bilogorska,,Dominkovica,43000,45.9667,16.9667
20,Bjelovarsko-Bilogorska,,Jasenik,43000,45.9333,17.05
21,Bjelovarsko-Bilogorska,,Jakopovac,43000,46.0256,16.7883
22,Bjelovarsko-Bilogorska,,Višnjevac,43000,45.9732,16.9222
23,Bjelovarsko-Bilogorska,,Gudovac,43000,45.8803,16.7808
24,Bjelovarsko-Bilogorska,,Orovac,43000,45.8658,16.9764
25,Bjelovarsko-Bilogorska,,Brezovac,43000,45.8675,16.8408
26,Bjelovarsko-Bilogorska,,Ravneš,43000,45.8628,17.0078
27,Bjelovarsko-Bilogorska,,Novi Pavljani,43000,45.85,16.85
28,Bjelovarsko-Bilogorska,,Šimljanica,43000,45.7167,16.8667
29,Bjelovarsko-Bilogorska,,Ciglena,43000,45.8669,16.9367
30,Bjelovarsko-Bilogorska,,Pavlin Kloštar,43000,46.01,16.8039
31,Bjelovarsko-Bilogorska,,Donja Petrička,43000,45.7333,16.8
32,Bjelovarsko-Bilogorska,,Kašljavac,43000,45.8833,17
33,Bjelovarsko-Bilogorska,,Novi Skucani,43000,45.9486,16.8281
34,Bjelovarsko-Bilogorska,,Prgomelje,43000,45.8908,16.7522
35,Bjelovarsko-Bilogorska,,Nova Diklenica,43000,45.9833,16.8833
36,Bjelovarsko-Bilogorska,,Maglenča,43000,45.9167,16.9333
37,Bjelovarsko-Bilogorska,,Lipovčani,43000,45.7718,16.5506
38,Bjelovarsko-Bilogorska,,Patkovac,43000,45.8525,16.9314
39,Bjelovarsko-Bilogorska,,Bjelovar,43000,45.8986,16.8489
40,Bjelovarsko-Bilogorska,,Kapela,43000,45.9883,16.8514
41,Bjelovarsko-Bilogorska,,Klokočevac,43000,45.9167,16.7833
42,Bjelovarsko-Bilogorska,,Galovac,43000,45.8417,16.8558
43,Bjelovarsko-Bilogorska,,Malo Trojstvo,43000,45.9728,16.9486
44,Bjelovarsko-Bilogorska,,Kupinovac,43000,45.9516,16.8918
45,Bjelovarsko-Bilogorska,,Stara Diklenica,43000,45.9667,16.8667
46,Bjelovarsko-Bilogorska,,Gornja Petrička,43000,45.7333,16.7833
47,Bjelovarsko-Bilogorska,,Trojstveni Markovac,43000,45.9167,16.8833
48,Bjelovarsko-Bilogorska,,Paljevine,43000,45.8284,16.811
49,Bjelovarsko-Bilogorska,,Obrovnica,43000,45.8269,16.8769
50,Bjelovarsko-Bilogorska,,Prespa,43000,45.8667,16.9167
51,Bjelovarsko-Bilogorska,,Podgorci,43000,45.9706,16.7986
52,Bjelovarsko-Bilogorska,,Veliko Trojstvo,43000,45.9356,16.9342
53,Bjelovarsko-Bilogorska,,Srednja Diklenica,43000,45.9667,16.8833
54,Bjelovarsko-Bilogorska,,Gornji Mosti,43000,46.0658,16.8456
