,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,20000,400 ágyas klinika,Ifjúság útja,,,,,,,,yes,,46.0750451,18.2070318
13,20013,Budai Gyermekkórház,Bolyai utca,,,,,,,,yes,,47.517915,19.029753
14,20014,Bugát Pál Kórház,,,,,,,,,yes,,47.7877141,19.928650100000002
15,20015,Bugát Pál Kórház,,,,,,,,,yes,,47.7889463,19.9297544
23,20023,Debreceni Egyetem Kenézy Gyula Kórház,,,,,,,,,yes,,47.534108700000004,21.6055168
28,20028,Dorogi Szent Borbála Szakkórház,Kossuth Lajos utca,,,,,,,,yes,,47.71986079999999,18.7335302
29,20029,Dr. Bugyi István Kórház,Sima Ferenc utca,,,,,+36 63 313 244,,,yes,,46.6641205,20.2507897
34,20034,Egészségügyi központ,,,,,,,,,yes,,47.7616914,21.903419399999997
41,20041,Gottsegen György Országos Kardiológiai Intézet,Haller utca,,,,,+3612151220,,,yes,,47.476838,19.084967600000002
56,20056,III. épület,,,,,,,,,yes,,47.6766734,16.598419500000002
68,20068,Jávorszky Ödön Városi Kórház,,,,,,,,,yes,,47.7821158,19.1498361
70,20070,Jósa András Oktatókórház,Szent István utca,,,,,+36 42 599 700;+36 42 506 800,,,yes,,47.952260700000004,21.7298101
71,20071,Kanizsai Dorottya kórház,Szekeres József utca,,,,,+36 93 502 092,,,yes,,46.4505899,16.997363800000002
72,20072,Kaposi Mór Megyei Kórház,,,,,,,,,yes,,46.3603655,17.797431699999997
94,20094,Markhot Ferenc Oktatókórház és Rendelőintézet,,,,,,,,,yes,,47.904914399999996,20.3753925
95,20095,Markusovszky Kórház,,,,,,,,,yes,,47.2361436,16.617952499999998
106,20106,Országos Traumatológiai Intézet,Fiumei út,,,,,,,,yes,,47.496543700000004,19.0803534
126,20126,Semmelweis Kórház,,,,,,,,,yes,,46.4327513,19.4726907
142,20142,Szent Pantaleon kórház,,,,,,,,,yes,,46.9649959,18.9430467
148,20148,Százhalom Egészségügyi Központ,,,,,,,,,yes,,47.322047399999995,18.9093872
159,20159,Vaszary Kolos Kórház,Petőfi Sándor utca,,,,,,,,yes,,47.791445,18.745802899999997
162,20162,Városi Kórház Keszthely,Ady Endre utca,,,,,+36 83 311 060,,,yes,,46.7685453,17.253273800000002
