,USPS,ST,NAME,ZCTA5,LAT,LON
0,County Dublin,,Ballyboughal,A41,53.5195,-6.2667
1,County Dublin,,Garristown,A42,53.5661,-6.3856
2,County Dublin,,Oldtown,A45,53.5253,-6.3156
3,County Wicklow,,Greystones,A63,53.1408,-6.0631
4,County Wicklow,,Wicklow,A67,52.975,-6.0494
5,County Monaghan,,Castleblayney,A75,54.1167,-6.7333
6,County Monaghan,,Carrickmacross,A81,53.9728,-6.7189
7,County Meath,,Kells,A82,53.7264,-6.8792
8,County Meath,,Enfield,A83,53.4142,-6.8323
9,County Meath,,Ashbourne,A84,53.5116,-6.3982
10,County Meath,,Dunshaughlin,A85,53.5125,-6.54
11,County Meath,,Dunboyne,A86,53.4,-6.4667
12,County Louth,,Dundalk,A91,54,-6.4167
13,County Louth,,Drogheda,A92,53.7189,-6.3478
14,County Dublin,,Blackrock,A94,53.3015,-6.1778
15,County Dublin,,Dun Laoghaire,A96,53.294,-6.1359
16,County Wicklow,,Bray,A98,53.2028,-6.0983
17,County Meath,,Trim,C15,53.555,-6.7917
18,County Dublin,,Dublin 1,D01,53.354,-6.2545
19,County Dublin,,Dublin 2,D02,53.34,-6.2543
20,County Dublin,,Dublin 3,D03,53.3645,-6.2378
21,County Dublin,,Dublin 4,D04,53.3334,-6.2335
22,County Dublin,,Dublin 5,D05,53.3842,-6.1921
23,County Dublin,,Dublin 6,D06,53.3088,-6.2631
24,County Dublin,,Dublin 7,D07,53.3615,-6.2918
25,County Dublin,,Dublin 8,D08,53.3346,-6.2733
26,County Dublin,,Dublin 9,D09,53.3818,-6.2465
27,County Dublin,,Dublin 10,D10,53.3409,-6.3545
28,County Dublin,,Dublin 11,D11,53.3899,-6.293
29,County Dublin,,Dublin 12,D12,53.322,-6.3165
30,County Dublin,,Dublin 13,D13,53.3946,-6.1495
31,County Dublin,,Dublin 14,D14,53.296,-6.2593
32,County Dublin,,Dublin 15,D15,53.3832,-6.4165
33,County Dublin,,Dublin 16,D16,53.3419,-6.279
34,County Dublin,,Dublin 17,D17,53.4006,-6.2058
35,County Dublin,,Dublin 18,D18,53.2469,-6.1774
36,County Dublin,,Dublin 20,D20,53.3518,-6.3693
37,County Dublin,,Dublin 22,D22,53.3275,-6.4006
38,County Dublin,,Dublin 24,D24,53.2851,-6.3713
39,County Dublin,,Dublin 6W,D6W,53.3087,-6.3012
40,County Tipperary,,Cahir,E21,52.3769,-7.9217
41,County Tipperary,,Cashel,E25,52.5158,-7.8856
42,County Tipperary,,Carrick on Suir,E32,52.3492,-7.4131
43,County Tipperary,,Tipperary,E34,52.4733,-8.1558
44,County Tipperary,,Thurles,E41,52.6819,-7.8022
45,County Tipperary,,Nenagh,E45,52.8619,-8.1967
46,County Tipperary,,Roscrea,E53,52.9511,-7.8017
47,County Tipperary,,Clonmel,E91,52.355,-7.7039
48,County Mayo,,Knock,F12,53.7939,-8.9196
49,County Mayo,,Castlebar,F23,53.85,-9.3
50,County Mayo,,Ballina,F26,54.1167,-9.1667
51,County Mayo,,Westport,F28,53.8,-9.5167
52,County Mayo,,Ballinrobe,F31,53.6333,-9.2333
53,County Mayo,,Ballyhaunis,F35,53.7667,-8.7667
54,County Roscommon,,Roscommon,F42,53.6333,-8.1833
55,County Roscommon,,Castlerea,F45,53.7667,-8.5
56,County Roscommon,,Boyle,F52,53.9667,-8.3
57,County Sligo,,Ballymote,F56,54.0833,-8.5167
58,County Sligo,,Sligo,F91,54.2697,-8.4694
59,County Donegal,,Letterkenny,F92,54.95,-7.7333
