,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
8,20008,AOVV,,,,,,,,,yes,,46.3226233,9.4001921
50,20050,Arcispedale Sant'Anna,,,,,,,,,yes,,44.8014753,11.7000088
58,20058,Associazione Pubblica Assistenza Castello di Serravalle Onlus,Via venticinque Aprile,,,,,0516704815,,,yes,,44.4408795,11.0648908
66,20066,Azienda Ospedaliera Mellino Mellini,Via delle Battaglie,,,,,,,,yes,,45.538988700000004,9.9336571
67,20067,Azienda Ospedaliera Ospedale di Circolo di Busto Arsizio,,,,,,,,,yes,,45.624518,8.8447564
68,20068,Azienda Ospedaliera Papardo,,,,,,,,,yes,,38.26536779999999,15.595552300000001
70,20070,Azienda Ospedaliera Sant'Antonio Abate - Gallarate,Via Eusebio Pastori,,,,,+39 0331 751111,,,yes,,45.657610299999995,8.791640600000001
74,20074,Azienda Ospedaliera Universitaria di Careggi,,,,,,,,,yes,,43.8121396,11.248345500000001
76,20076,Azienda Ospedaliera di Caserta Sant'Anna e San Sebastiano,,,,,,,,,yes,,41.0861206,14.331361900000001
77,20077,Azienda Ospedaliera di Padova,Via Nicolò Giustiniani,,,,,,,,yes,,45.4043283,11.887328
83,20083,Azienda Sanitaria Provinciale Catanzaro Polo Sanitario,,,,,,,,,yes,,38.681574299999994,16.4205712
87,20087,"Azienda Universitario-Ospedaliera ""Maggiore della Carità""",,,,,,,,,yes,,45.4416489,8.6201327
88,20088,Azienda ospedaliera Arcispedale Santa Maria Nuova,Viale Risorgimento,,,,,,,,yes,,44.6871708,10.6317061
89,20089,Azienda ospedaliera Sant'Elia,,,,,,,,,yes,,37.4914865,14.030393799999999
90,20090,Azienda ospedaliere Cannizzaro,,,,,,,,,yes,,37.5448561,15.113343599999999
93,20093,Bezirkskrankenhaus Schlanders - Ospedale di distretto Silandro,Krankenhausstraße,,,,,,,,yes,,46.62869620000001,10.7776997
109,20109,"Casa della Salute ""Finale Emilia""",Piazza Antonio Gramsci,,,,,,,,yes,,44.8332136,11.2973219
124,20124,Casa di Cura Dottor Pederzoli,Via Monte Baldo,,,,,+39 045 644 91 11,,,yes,,45.4435685,10.705620300000001
142,20142,Casa di Cura Sant'Anna,,,,,,,,,yes,,39.06193029999999,17.1301854
182,20182,Centro Cardiologico Monzino,,,,,,,,,yes,,45.4436829,9.262571000000001
187,20187,Centro Iperbarico,Via Augusto Torre,,,,,,,,yes,,44.410592799999996,12.164042199999999
227,20227,Clinica San Michele,,,,,,,,,yes,,41.039554100000004,14.3741242
240,20240,Complesso Ospedaliero di Noventa Vicentina,,,,,,,,,yes,,45.292203799999996,11.5355714
253,20253,Croce Rossa Italiana - Delegazione di Paesana,Via Erasca,,,,,,,,yes,,44.678467100000006,7.2739134000000005
255,20255,Croce Rossa Italiana - Medicina,,,,,,,,,yes,,44.474219700000006,11.635156
257,20257,Croce Rossa Italiana Comitato di Bardolino Baldo Garda,Via Gardesana dell'Acqua,,,,,+39 045 6212133,,,yes,,45.5534274,10.7196873
275,20275,Dono Svizzero,,,,,,,,,yes,,41.261677899999995,13.6182661
277,20277,Eliporto di Emergenza,Via Valle Pupina,,,,,,,,yes,,40.3453804,15.6552511
279,20279,"Ente Ecclesiastico Ospedale Generale regionale ""F. Miulli""",,,,,,,,,yes,,40.863651000000004,16.8025682
296,20296,Franz-Tappeiner-Krankenhaus - Ospedale Franz Tappeiner,,,,,,+39 0473 263333,,,yes,,46.676385499999995,11.1503578
299,20299,Gaetano Rummo,,,,,,,,,yes,,41.1200476,14.7934953
307,20307,Guardia Medica,,,,,,,,,yes,,37.037498299999996,14.6806071
314,20314,Guglielmo da Saliceto,,,,,,,,,yes,,45.0554897,9.679224900000001
320,20320,Humanitas Mater Domini,Via Gerenzano,,,,,+39 0331 476111,,,yes,,45.61025479999999,8.9072244
339,20339,Istituti Ospedalieri Carlo Poma,,,,,,,,,yes,,45.1491169,10.772739900000001
342,20342,Istituto Clinico Città Studi,,,,,,,,,yes,,45.485473299999995,9.224751800000002
343,20343,Istituto Clinico Città Studi,,,,,,,,,yes,,45.484918900000004,9.2256971
380,20380,Krankenhaus Brixen - Ospedale Bressanone,,,,,,,,,yes,,46.725677600000004,11.6464246
381,20381,Krankenhaus Bruneck - Ospedale Brunico,,,,,,,,,yes,,46.7995291,11.9343996
382,20382,Krankenhaus Sterzing - Ospedale Vipiteno,,,,,,,,,yes,,46.897898299999994,11.4252648
388,20388,Matteo Pagliari,,,,,,+39 099 8801512,,,yes,,40.583009499999996,17.121786
393,20393,Misericordia di Pisa,,,,,,,,,yes,,43.7098095,10.3728364
397,20397,Multimedica - Clinica Santa Maria,,,,,,,,,yes,,45.600623999999996,8.870832400000001
403,20403,Nuovo Ospedale Apuano,,,,,,,,,yes,,44.019520799999995,10.0977017
405,20405,Nuovo Ospedale San Giovanni di Dio,,,,,,,,,yes,,43.7587494,11.2027401
419,20419,"Ospedale ""Costanzo e Gaetano Mazzoni""",,,,,,,,,yes,,42.8504386,13.6182388
420,20420,"Ospedale ""Domenico Lentini""",,,,,,,,,yes,,40.052278,15.8381783
421,20421,"Ospedale ""Felice Lotti""",,,,,,,,,yes,,43.660295500000004,10.6336788
422,20422,"Ospedale ""Francesca Fallacara""",,,,,,,,,yes,,41.06600039999999,16.9273858
424,20424,"Ospedale ""G. Jazzolino""",Piazza Fleming,,,,,+39 0963 962111,,,yes,,38.680162,16.1035888
428,20428,"Ospedale ""Immacolata Concezione""",Via Unità d'Italia,,,,,,,,yes,,46.1733185,12.7128651
429,20429,"Ospedale ""Marcello Magalini""",Via Ospedale Marcello Magalini,,,,,+39 045 6338111,,,yes,,45.3489569,10.8392614
435,20435,"Ospedale ""San Giovanni dei Battuti""",Via Raffaello Sanzio,,,,,,,,yes,,46.1124706,12.892126699999999
436,20436,"Ospedale ""San Gregorio""",Via Ettoreo,,,,,,,,yes,,45.956525799999994,12.5007166
437,20437,"Ospedale ""Santa Maria dei Battuti""",Via Savorgnano,,,,,,,,yes,,45.9122532,12.856931800000002
438,20438,"Ospedale ""Santa Scolastica""",,,,,,+39 0776 39291,,,yes,,41.5033648,13.843865099999999
439,20439,"Ospedale ""Santo Spirito""",,,,,,,,,yes,,45.1216468,8.4447545
440,20440,"Ospedale ""Tiberio Evoli""",,,,,,,,,yes,,37.9170986,15.780563399999998
