,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
0,,,Akademija (Kaunas),57,,Akademija (Kaunas),2807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,Akmenė,61,,Akmenė,3026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Aleksotas,57,,Aleksotas,24270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,Alytus,56,,Alytus,70747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,Anykščiai,64,,Anykščiai,11958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,Ariogala,57,,Ariogala,3653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,Aukstadvaris,65,,Aukstadvaris,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,Baltoji Vokė,65,,Baltoji Vokė,1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,Birzai,60,,Birzai,14911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,Birštonas,57,,Birštonas,3181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,Būgai,62,,Būgai,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,Dainava (Kaunas),57,,Dainava (Kaunas),70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,Daugai,56,,Daugai,1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,Dotnuva,57,,Dotnuva,783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,Druskininkai,56,,Druskininkai,17791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,Dusetos,64,,Dusetos,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,Dūkštas,64,,Dūkštas,1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,Eiguliai,57,,Eiguliai,61700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,Eišiškės,65,,Eišiškės,3809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,Elektrėnai,65,,Elektrėnai,13721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,Ežerėlis,57,,Ežerėlis,2051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,Fabijoniškės,65,,Fabijoniškės,39759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,Gargždai,58,,Gargždai,16433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,Garliava,57,,Garliava,13809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,Gelgaudiškis,59,,Gelgaudiškis,1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,Grigiškės,65,,Grigiškės,11555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,Ignalina,64,,Ignalina,6421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,Jieznas,57,,Jieznas,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,Jonava,57,,Jonava,34993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,Joniškis,61,,Joniškis,11113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,Juodkrantė,58,,Juodkrantė,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,Juodupė,60,,Juodupė,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,Jurbarkas,62,,Jurbarkas,13102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,Justiniškės,65,,Justiniškės,27462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,Kaišiadorys,57,,Kaišiadorys,9867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,Kalvarija,59,,Kalvarija,4875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,Karmėlava,57,,Karmėlava,1395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,Kaunas,57,,Kaunas,374643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,Kavarskas,64,,Kavarskas,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,Kazlų Rūda,59,,Kazlų Rūda,7247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,Kačerginė,57,,Kačerginė,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,Kelmė,61,,Kelmė,10626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,Klaipėda,58,,Klaipėda,192307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,Kretinga,58,,Kretinga,22236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,Kudirkos Naumiestis,59,,Kudirkos Naumiestis,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,Kulautuva,57,,Kulautuva,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,Kupiskis,60,,Kupiskis,8263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,Kuršėnai,61,,Kuršėnai,13914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,Kybartai,59,,Kybartai,6355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,Kėdainiai,57,,Kėdainiai,31980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,Lavoriškės,00,,Lavoriškės,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,Lazdijai,56,,Lazdijai,4975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,Lazdynai,65,,Lazdynai,31097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,Lentvaris,65,,Lentvaris,11588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,Linksmakalnis,57,,Linksmakalnis,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,Linkuva,61,,Linkuva,1719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,Marijampolė,59,,Marijampolė,47613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,Mastaiciai,57,,Mastaiciai,1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,Mazeikiai,63,,Mazeikiai,41309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,Molėtai,64,,Molėtai,7243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,Naujamiestis,65,,Naujamiestis,23232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,Naujamiestis,60,,Naujamiestis,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,Naujoji Akmene,61,,Naujoji Akmene,11922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,Nemenčinė,65,,Nemenčinė,6062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,Neringa,58,,Neringa,2380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,Nida,58,,Nida,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,Noreikiškės,57,,Noreikiškės,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,Obeliai,60,,Obeliai,1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,Pabradė,65,,Pabradė,6375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,Pagėgiai,62,,Pagėgiai,2363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,Pakruojis,61,,Pakruojis,5964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,Palanga,58,,Palanga,17796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,Pandėlys,00,,Pandėlys,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,Panevėžys,60,,Panevėžys,117395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,Pasvalys,60,,Pasvalys,8510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,Pašilaičiai,65,,Pašilaičiai,33056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,Pilaitė,65,,Pilaitė,20320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,Plateliai,63,,Plateliai,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,Plunge,63,,Plunge,23381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,Priekulė,58,,Priekulė,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,Prienai,57,,Prienai,11352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,Radviliskis,61,,Radviliskis,20339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,Ramučiai,57,,Ramučiai,1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,Ramygala,60,,Ramygala,1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,Raseiniai,57,,Raseiniai,12523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,Rasos,65,,Rasos,10597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
