STATE,ST,TIMEZONE,TZ
Akmene,01,Eastern European Time,EET
Alytaus miestas,02,Eastern European Time,EET
Alytus,03,Eastern European Time,EET
Anykšciai,04,Eastern European Time,EET
Birštono,05,Eastern European Time,EET
Biržai,06,Eastern European Time,EET
Druskininkai,07,Eastern European Time,EET
Elektrénai,08,Eastern European Time,EET
Ignalina,09,Eastern European Time,EET
Jonava,10,Eastern European Time,EET
Joniškis,11,Eastern European Time,EET
Jurbarkas,12,Eastern European Time,EET
Kaišiadorys,13,Eastern European Time,EET
Kalvarijos,14,Eastern European Time,EET
Kauno miestas,15,Eastern European Time,EET
Kaunas,16,Eastern European Time,EET
Kazlu Rudos,17,Eastern European Time,EET
Kedainiai,18,Eastern European Time,EET
Kelme,19,Eastern European Time,EET
Klaipedos miestas,20,Eastern European Time,EET
Klaipeda,21,Eastern European Time,EET
Kretinga,22,Eastern European Time,EET
Kupiškis,23,Eastern European Time,EET
Lazdijai,24,Eastern European Time,EET
Marijampole,25,Eastern European Time,EET
Mažeikiai,26,Eastern European Time,EET
Moletai,27,Eastern European Time,EET
Neringa,28,Eastern European Time,EET
Pagégiai,29,Eastern European Time,EET
Pakruojis,30,Eastern European Time,EET
Palangos miestas,31,Eastern European Time,EET
Panevežio miestas,32,Eastern European Time,EET
Panevežys,33,Eastern European Time,EET
Pasvalys,34,Eastern European Time,EET
Plunge,35,Eastern European Time,EET
Prienai,36,Eastern European Time,EET
Radviliškis,37,Eastern European Time,EET
Raseiniai,38,Eastern European Time,EET
Rietavo,39,Eastern European Time,EET
Rokiškis,40,Eastern European Time,EET
Šakiai,41,Eastern European Time,EET
Šalcininkai,42,Eastern European Time,EET
Šiauliu miestas,43,Eastern European Time,EET
Šiauliai,44,Eastern European Time,EET
Šilale,45,Eastern European Time,EET
Šilute,46,Eastern European Time,EET
Širvintos,47,Eastern European Time,EET
Skuodas,48,Eastern European Time,EET
Švencionys,49,Eastern European Time,EET
Taurage,50,Eastern European Time,EET
Telšiai,51,Eastern European Time,EET
Trakai,52,Eastern European Time,EET
Ukmerge,53,Eastern European Time,EET
Utena,54,Eastern European Time,EET
Varena,55,Eastern European Time,EET
Vilkaviškis,56,Eastern European Time,EET
Vilniaus miestas,57,Eastern European Time,EET
Vilnius,58,Eastern European Time,EET
Visaginas,59,Eastern European Time,EET
Zarasai,60,Eastern European Time,EET
Alytaus Apskritis,AL,Eastern European Time,EET
Klaipedos apskritis,KL,Eastern European Time,EET
Kauno Apskritis,KU,Eastern European Time,EET
Marijampoles apskritis,MR,Eastern European Time,EET
Panevežio apskritis,PN,Eastern European Time,EET
Šiauliu Apskritis,SA,Eastern European Time,EET
Taurages apskritis,TA,Eastern European Time,EET
Telšiu Apskritis,TE,Eastern European Time,EET
Utenos Apskritis,UT,Eastern European Time,EET
Vilniaus Apskritis,VL,Eastern European Time,EET
