,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
112618,,,Aglona,35,,Aglona,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112617,,,Ainaži,C1,,Ainaži,1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112616,,,Aizkraukle,01,,Aizkraukle,8840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112615,,,Aizpute,37,,Aizpute,5634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112614,,,Aknīste,38,,Aknīste,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112613,,,Aloja,39,,Aloja,1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112612,,,Alsunga,40,,Alsunga,940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112611,,,Alūksne,02,,Alūksne,2264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112610,,,Ape,43,,Ape,1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112609,,,Auce,44,,Auce,3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112608,,,Baldone,46,,Baldone,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112620,,,Baloži,80,,Baloži,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112607,,,Baltinava,47,,Baltinava,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112606,,,Balvi,03,,Balvi,8409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112605,,,Bauska,04,,Bauska,10532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112604,,,Berģi,25,,Berģi,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112603,,,Bolderaja,25,,Bolderaja,14771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112602,,,Brocēni,51,,Brocēni,3486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112601,,,Carnikava,53,,Carnikava,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112599,,,Cesvaine,55,,Cesvaine,1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112589,,,Cibla,56,,Cibla,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112600,,,Cēsis,05,,Cēsis,18198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112598,,,Dagda,57,,Dagda,2740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112597,,,Daugavgrīva,25,,Daugavgrīva,9952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112596,,,Daugavpils,07,,Daugavpils,111564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112595,,,Dobele,08,,Dobele,11225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112594,,,Drabeši,42,,Drabeši,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112593,,,Dundaga,60,,Dundaga,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112591,,,Engure,29,,Engure,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112523,,,Garkalne,64,,Garkalne,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112588,,,Grobiņa,65,,Grobiņa,4203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112587,,,Gulbene,09,,Gulbene,9355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112586,,,Iecava,67,,Iecava,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112585,,,Ikšķile,68,,Ikšķile,3368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112584,,,Ilūkste,69,,Ilūkste,2898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112583,,,Inčukalns,70,,Inčukalns,2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112582,,,Jaunaglona,22,,Jaunaglona,1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112581,,,Jaunciems,25,,Jaunciems,2684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112580,,,Jaunjelgava,71,,Jaunjelgava,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112579,,,Jaunpiebalga,72,,Jaunpiebalga,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112578,,,Jaunpils,73,,Jaunpils,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112576,,,Jelgava,11,,Jelgava,61791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112575,,,Jumprava,21,,Jumprava,2177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112577,,,Jēkabpils,10,,Jēkabpils,27078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112574,,,Jūrmala,13,,Jūrmala,54088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112573,,,Kalngale,53,,Kalngale,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112572,,,Kandava,77,,Kandava,3592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112571,,,Karosta,16,,Karosta,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112567,,,Kocēni,81,,Kocēni,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112566,,,Koknese,82,,Koknese,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112564,,,Krustpils,10,,Krustpils,6680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112565,,,Krāslava,14,,Krāslava,11088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112563,,,Kuldīga,15,,Kuldīga,13289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112570,,,Kārsava,78,,Kārsava,2645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112561,,,Lielvārde,87,,Lielvārde,5114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112560,,,Liepāja,16,,Liepāja,85132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112562,,,Lieģi,61,,Lieģi,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112558,,,Limbaži,18,,Limbaži,8974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
