,USPS,ST,NAME,ZCTA5,LAT,LON
0,Aizkraukles nov.,01,Aizkraukles Stacija,LV-5101,56.6048,25.2553
1,Aizkraukles nov.,01,Aizkraukle,LV-5101,56.6448,25.2299
2,Alūksnes nov.,02,AizupīTes,LV-4301,57.4183,27.0006
3,Alūksnes nov.,02,AlsviķI,LV-4333,57.4443,26.9381
4,Alūksnes nov.,02,StrautiņI,LV-4333,57.4061,26.8908
5,Alūksnes nov.,02,Pullans,LV-4333,57.4252,26.9145
6,Alūksnes nov.,02,Anna,LV-4341,57.3333,27.0333
7,Alūksnes nov.,02,Jaunzemi,LV-4344,57.3726,26.6758
8,Alūksnes nov.,02,KolberģIs,LV-4350,57.4387,27.1158
9,Alūksnes nov.,02,Beja,LV-4350,57.4005,27.2064
10,Alūksnes nov.,02,Jaunanna,LV-4340,57.2838,27.0684
11,Alūksnes nov.,02,Jaunlaicene,LV-4336,57.5272,26.8704
12,Alūksnes nov.,02,Kalncempji,LV-4342,57.3234,26.8856
13,Alūksnes nov.,02,Liepna,LV-4354,57.3432,27.4716
14,Alūksnes nov.,02,Brenci,LV-4359,57.362,27.1639
15,Alūksnes nov.,02,Sofikalns,LV-4358,57.3267,27.3127
16,Alūksnes nov.,02,MāLupe,LV-4358,57.3383,27.2346
17,Alūksnes nov.,02,MāRkalne,LV-4351,57.4912,27.1944
18,Alūksnes nov.,02,Pededze,LV-4352,57.4762,27.4402
19,Alūksnes nov.,02,Korneti,LV-4335,57.5933,26.9445
20,Alūksnes nov.,02,ZeltiņI,LV-4345,57.359,26.7771
21,Alūksnes nov.,02,Ziemeri,LV-4332,57.5334,27.0614
22,Alūksnes nov.,02,MāRiņKalns,LV-4332,57.4875,26.9768
23,Balvu nov.,03,CentramuižA,LV-4501,57.1163,27.2589
24,Balvu nov.,03,ŽAugupe,LV-4501,57.1466,27.3787
25,Balvu nov.,03,VaņKi,LV-4501,57.1466,27.3787
26,Balvu nov.,03,VerpuļEva,LV-4501,57.1466,27.3787
27,Balvu nov.,03,Stepjugabali,LV-4501,57.1466,27.3787
28,Balvu nov.,03,LemešAva,LV-4501,57.1466,27.3787
29,Balvu nov.,03,SalmaņI,LV-4501,57.1466,27.3787
30,Balvu nov.,03,KāRklinieki,LV-4561,57.0791,27.2258
31,Balvu nov.,03,Silamala,LV-4561,57.0939,27.17
32,Balvu nov.,03,RečI,LV-4561,57.1016,27.1878
33,Balvu nov.,03,Ozolsala,LV-4561,57.062,27.3037
34,Balvu nov.,03,KeņI,LV-4561,57.0828,27.2188
35,Balvu nov.,03,PlīTinava,LV-4561,57.0766,27.2821
36,Balvu nov.,03,ĀžUdambis,LV-4561,57.0828,27.2188
37,Balvu nov.,03,Naudaskalns,LV-4561,57.0856,27.2355
38,Balvu nov.,03,LāčUgabali,LV-4561,57.0828,27.2188
39,Balvu nov.,03,DūRupe,LV-4561,57.0809,27.127
40,Balvu nov.,03,RāVusala,LV-4561,57.0828,27.2188
41,Balvu nov.,03,Pilskalns,LV-4561,57.0828,27.2188
42,Balvu nov.,03,MēķI,LV-4561,57.0828,27.2188
43,Balvu nov.,03,DzeņUlauza,LV-4561,57.0828,27.2188
44,Balvu nov.,03,Dobenieki,LV-4561,57.0828,27.2188
45,Balvu nov.,03,LāCupe,LV-4561,57.0828,27.2188
46,Balvu nov.,03,DubļAva,LV-4501,57.1222,27.3379
47,Balvu nov.,03,RežGaļI,LV-4501,57.1466,27.3787
48,Balvu nov.,03,Silakrogs,LV-4501,57.1291,27.4071
49,Balvu nov.,03,ŠūCene,LV-4501,57.1466,27.3787
50,Balvu nov.,03,VēJava,LV-4501,57.1466,27.3787
51,Balvu nov.,03,LemešAva,LV-4501,57.1466,27.3787
52,Balvu nov.,03,Lazdukalns,LV-4501,57.1466,27.3787
53,Balvu nov.,03,LielmežNieki,LV-4590,57.0972,27.3436
54,Balvu nov.,03,KāRnīTe,LV-4590,57.0929,27.3523
55,Balvu nov.,03,Ploskena,LV-4590,57.0631,27.3491
56,Balvu nov.,03,Krievkalns,LV-4590,57.0929,27.3523
57,Balvu nov.,03,BēRzkalne,LV-4590,57.1037,27.3495
58,Balvu nov.,03,BabāNi,LV-4590,57.0929,27.3523
59,Balvu nov.,03,Taureskalns,LV-4590,57.1077,27.367
60,Balvu nov.,03,UžGova,LV-4590,57.0929,27.3523
61,Balvu nov.,03,BrūKlāJi,LV-4590,57.0929,27.3523
62,Balvu nov.,03,Vistusala,LV-4591,57.157,27.4075
63,Balvu nov.,03,RubeņI,LV-4591,57.1594,27.3987
64,Balvu nov.,03,ElkšņEva,LV-4591,57.1712,27.4106
65,Balvu nov.,03,BriežEva,LV-4591,57.1389,27.3835
66,Balvu nov.,03,MoziņKi,LV-4591,57.1833,27.4177
67,Balvu nov.,03,AuzāJi,LV-4591,57.1712,27.4106
68,Balvu nov.,03,MežArija,LV-4591,57.1122,27.3857
69,Balvu nov.,03,Aizpurve,LV-4591,57.1712,27.4106
70,Balvu nov.,03,BurčEva,LV-4591,57.1712,27.4106
71,Balvu nov.,03,MūRava,LV-4591,57.1712,27.4106
72,Balvu nov.,03,GabrāNi,LV-4576,56.8141,27.1962
73,Balvu nov.,03,Vecpils,LV-4576,56.8398,27.079
74,Balvu nov.,03,BēRzpils,LV-4576,56.8496,27.084
