,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
114108,,,Attard,01,,Attard,9510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114107,,,Balzan,02,,Balzan,3240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114106,,,Birkirkara,04,,Birkirkara,21676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114105,,,Birżebbuġa,05,,Birżebbuġa,8668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114104,,,Cospicua,06,,Cospicua,6096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114103,,,Dingli,07,,Dingli,3009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114102,,,Fgura,08,,Fgura,11676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114092,,,Floriana,09,,Floriana,2516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114110,,,Fontana,10,,Fontana,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114095,,,Gudja,16,,Gudja,3023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114101,,,Għajnsielem,11,,Għajnsielem,3260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114100,,,Għammar,14,,Għammar,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114099,,,Għarb,12,,Għarb,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114097,,,Għasri,14,,Għasri,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114096,,,Għaxaq,15,,Għaxaq,4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114091,,,Gżira,17,,Gżira,7513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114098,,,Hal Gharghur,13,,Hal Gharghur,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114045,,,Haz-Zebbug,65,,Haz-Zebbug,11063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114080,,,Imdina,20,,Imdina,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114074,,,Imsida,23,,Imsida,6920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114073,,,Imtarfa,24,,Imtarfa,2430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114078,,,Imġarr,21,,Imġarr,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114089,,,Kalkara,26,,Kalkara,2982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114088,,,Kerċem,27,,Kerċem,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114087,,,Kirkop,28,,Kirkop,2137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114085,,,L-Iklin,19,,L-Iklin,3360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114086,,,Lija,29,,Lija,2471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114083,,,Luqa,30,,Luqa,5053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114082,,,Marsa,31,,Marsa,5116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114081,,,Marsaskala,32,,Marsaskala,10024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114041,,,Marsaxlokk,33,,Marsaxlokk,3026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114079,,,Mellieħa,34,,Mellieħa,5976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114076,,,Mosta,35,,Mosta,17789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114075,,,Mqabba,22,,Mqabba,2891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114072,,,Munxar,36,,Munxar,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114077,,,Mġarr,21,,Mġarr,2868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114071,,,Nadur,37,,Nadur,3933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114070,,,Naxxar,38,,Naxxar,10378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114063,,,Paola,39,,Paola,9257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114111,,,Pembroke,40,,Pembroke,3038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114069,,,Pietà,41,,Pietà,3846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114068,,,Qala,42,,Qala,1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114067,,,Qormi,43,,Qormi,18230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114066,,,Qrendi,44,,Qrendi,2493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114065,,,Rabat,45,,Rabat,7064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114062,,,Safi,47,,Safi,1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114109,,,Saint John,48,,Saint John,12346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114056,,,Saint Lucia,51,,Saint Lucia,3186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114060,,,San Lawrenz,50,,San Lawrenz,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114058,,,San Pawl il-Baħar,52,,San Pawl il-Baħar,14057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114061,,,San Ġiljan,49,,San Ġiljan,6799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114059,,,Sannat,54,,Sannat,1681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114057,,,Santa Luċija,51,,Santa Luċija,3760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114055,,,Santa Venera,53,,Santa Venera,6264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114084,,,Senglea,25,,Senglea,2964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114054,,,Siġġiewi,55,,Siġġiewi,7676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114053,,,Sliema,56,,Sliema,11318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114112,,,Sprachcaffe,40,,Sprachcaffe,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114090,,,Swieqi,57,,Swieqi,5973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114052,,,Tarxien,58,,Tarxien,7761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114051,,,Ta’ Xbiex,59,,Ta’ Xbiex,1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114050,,,Valletta,60,,Valletta,6794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114064,,,Victoria,46,,Victoria,6596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114093,,,Vittoriosa,03,,Vittoriosa,2936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114049,,,Xagħra,61,,Xagħra,3680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114048,,,Xewkija,62,,Xewkija,3303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114047,,,Xgħajra,63,,Xgħajra,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114094,,,Ħamrun,18,,Ħamrun,10680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114046,,,Żabbar,64,,Żabbar,15030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114044,,,Żebbuġ,66,,Żebbuġ,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114043,,,Żejtun,67,,Żejtun,11549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114042,,,Żurrieq,68,,Żurrieq,9149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
