STATE,ST,TIMEZONE,TZ
Attard,01,Central European Time,CET
Balzan,02,Central European Time,CET
Birgu,03,Central European Time,CET
Birkirkara,04,Central European Time,CET
Birzebbuga,05,Central European Time,CET
Bormla,06,Central European Time,CET
Dingli,07,Central European Time,CET
Fgura,08,Central European Time,CET
Floriana,09,Central European Time,CET
Fontana,10,Central European Time,CET
Gudja,11,Central European Time,CET
Gzira,12,Central European Time,CET
Ghajnsielem,13,Central European Time,CET
Gharb,14,Central European Time,CET
Gharghur,15,Central European Time,CET
Ghasri,16,Central European Time,CET
Ghaxaq,17,Central European Time,CET
Hamrun,18,Central European Time,CET
Iklin,19,Central European Time,CET
Isla,20,Central European Time,CET
Kalkara,21,Central European Time,CET
Kercem,22,Central European Time,CET
Kirkop,23,Central European Time,CET
Lija,24,Central European Time,CET
Luqa,25,Central European Time,CET
Marsa,26,Central European Time,CET
Marsaskala,27,Central European Time,CET
Marsaxlokk,28,Central European Time,CET
Mdina,29,Central European Time,CET
Mellieha,30,Central European Time,CET
Mgarr,31,Central European Time,CET
Mosta,32,Central European Time,CET
Mqabba,33,Central European Time,CET
Msida,34,Central European Time,CET
Mtarfa,35,Central European Time,CET
Munxar,36,Central European Time,CET
Nadur,37,Central European Time,CET
Naxxar,38,Central European Time,CET
Paola,39,Central European Time,CET
Pembroke,40,Central European Time,CET
Pietà,41,Central European Time,CET
Qala,42,Central European Time,CET
Qormi,43,Central European Time,CET
Qrendi,44,Central European Time,CET
Rabat Gozo,45,Central European Time,CET
Rabat Malta,46,Central European Time,CET
Safi,47,Central European Time,CET
Saint Julian's,48,Central European Time,CET
Saint John,49,Central European Time,CET
Saint Lawrence,50,Central European Time,CET
Saint Paul's Bay,51,Central European Time,CET
Sannat,52,Central European Time,CET
Saint Lucia's,53,Central European Time,CET
Santa Venera,54,Central European Time,CET
Siggiewi,55,Central European Time,CET
Sliema,56,Central European Time,CET
Swieqi,57,Central European Time,CET
Ta' Xbiex,58,Central European Time,CET
Tarxien,59,Central European Time,CET
Valletta,60,Central European Time,CET
Xaghra,61,Central European Time,CET
Xewkija,62,Central European Time,CET
Xghajra,63,Central European Time,CET
Zabbar,64,Central European Time,CET
Zebbug Gozo,65,Central European Time,CET
Zebbug Malta,66,Central European Time,CET
Zejtun,67,Central European Time,CET
Zurrieq,68,Central European Time,CET
