,USPS,ST,NAME,ZCTA5,LAT,LON
0,Drenthe,DR,Assen,9401,52.9938,6.5623
1,Drenthe,DR,Assen,9402,53.0043,6.5594
2,Drenthe,DR,Assen,9403,53.0145,6.5862
3,Drenthe,DR,Assen,9404,52.9868,6.5763
4,Drenthe,DR,Assen,9405,52.9863,6.5293
5,Drenthe,DR,Assen,9406,53.0022,6.5433
6,Drenthe,DR,Assen,9407,53.0177,6.5614
7,Drenthe,DR,Assen,9408,53.0031,6.5116
8,Drenthe,DR,Loon,9409,53.0131,6.6118
9,Drenthe,DR,Rhee,9486,53.0336,6.571
10,Drenthe,DR,Ter Aard,9487,53.0271,6.5446
11,Drenthe,DR,Zeijerveld,9488,53.0336,6.5193
12,Drenthe,DR,Zeijerveen,9489,53.0135,6.521
13,Drenthe,DR,Ubbena,9492,53.0494,6.5794
14,Drenthe,DR,Coevorden,7741,52.6665,6.7349
15,Drenthe,DR,Coevorden,7742,52.6587,6.7543
16,Drenthe,DR,Dalen,7751,52.6928,6.7573
17,Drenthe,DR,Dalerpeel,7753,52.6811,6.6613
18,Drenthe,DR,Wachtum,7754,52.725,6.748
19,Drenthe,DR,Dalerveen,7755,52.694,6.8086
20,Drenthe,DR,Stieltjeskanaal,7756,52.6747,6.8123
21,Drenthe,DR,Sleen,7841,52.7696,6.8016
22,Drenthe,DR,Diphoorn,7842,52.7706,6.8183
23,Drenthe,DR,Erm,7843,52.7484,6.8084
24,Drenthe,DR,Holsloot,7845,52.7225,6.8055
25,Drenthe,DR,Noord-Sleen,7846,52.7914,6.8021
26,Drenthe,DR,'t Haantje,7847,52.8143,6.8254
27,Drenthe,DR,Schoonoord,7848,52.8443,6.7566
28,Drenthe,DR,De Kiel,7849,52.8625,6.7444
29,Drenthe,DR,Zweeloo,7851,52.7975,6.7328
30,Drenthe,DR,Wezup,7852,52.8145,6.7187
31,Drenthe,DR,Wezuperbrug,7853,52.8406,6.7256
32,Drenthe,DR,Aalden,7854,52.7935,6.7139
33,Drenthe,DR,Meppen,7855,52.7822,6.6911
34,Drenthe,DR,Benneveld,7856,52.7754,6.7474
35,Drenthe,DR,Oosterhesselen,7861,52.7547,6.7221
36,Drenthe,DR,Gees,7863,52.7485,6.6893
37,Drenthe,DR,Zwinderen,7864,52.7235,6.6735
38,Drenthe,DR,Geesbrug,7917,52.7287,6.6277
39,Drenthe,DR,Nieuwlande Coevorden,7929,52.7003,6.6341
40,Drenthe,DR,Schoonebeek,7761,52.6646,6.8832
41,Drenthe,DR,Zandpol,7764,52.6939,6.8642
42,Drenthe,DR,Weiteveen,7765,52.6721,6.9897
43,Drenthe,DR,Nieuw-Schoonebeek,7766,52.6476,6.9892
44,Drenthe,DR,Emmen,7811,52.7829,6.8955
45,Drenthe,DR,Emmen,7812,52.7641,6.8863
46,Drenthe,DR,Emmen,7813,52.7565,6.8656
47,Drenthe,DR,Emmen,7814,52.8013,6.8984
48,Drenthe,DR,Emmen,7815,52.7981,6.8935
49,Drenthe,DR,Emmen,7821,52.7707,6.912
50,Drenthe,DR,Emmen,7822,52.7909,6.9045
51,Drenthe,DR,Emmen,7823,52.792,6.9385
52,Drenthe,DR,Emmen,7824,52.7808,6.9298
53,Drenthe,DR,Emmen,7825,52.7562,6.9349
54,Drenthe,DR,Emmen,7826,52.7714,6.9589
55,Drenthe,DR,Emmen,7827,52.7476,6.8901
56,Drenthe,DR,Emmen,7828,52.7329,6.9078
57,Drenthe,DR,Nieuw-Weerdinge,7831,52.8526,6.98
58,Drenthe,DR,Nieuw-Amsterdam,7833,52.7124,6.8599
59,Drenthe,DR,Veenoord,7844,52.711,6.8479
60,Drenthe,DR,Emmer-Compascuum,7881,52.8089,7.0344
61,Drenthe,DR,Klazienaveen,7881,52.7442,7.0086
62,Drenthe,DR,Barger-Compascuum,7884,52.7554,7.0441
63,Drenthe,DR,Nieuw-Dordrecht,7885,52.7461,6.9636
64,Drenthe,DR,Erica,7887,52.7117,6.925
65,Drenthe,DR,Klazienaveen-Noord,7889,52.7664,7.0021
66,Drenthe,DR,Klazienaveen,7891,52.7237,6.9883
67,Drenthe,DR,Klazienaveen,7892,52.7317,6.9704
68,Drenthe,DR,Zwartemeer,7894,52.719,7.0422
69,Drenthe,DR,Roswinkel,7895,52.8399,7.031
70,Drenthe,DR,Hoogeveen,7901,52.7262,6.4734
71,Drenthe,DR,Hoogeveen,7902,52.7254,6.4833
72,Drenthe,DR,Hoogeveen,7903,52.7333,6.5065
73,Drenthe,DR,Hoogeveen,7904,52.7242,6.5116
74,Drenthe,DR,Hoogeveen,7905,52.7168,6.5018
75,Drenthe,DR,Hoogeveen,7906,52.7158,6.4852
76,Drenthe,DR,Hoogeveen,7907,52.7165,6.472
77,Drenthe,DR,Hoogeveen,7908,52.716,6.4488
78,Drenthe,DR,Hoogeveen,7909,52.7227,6.4526
79,Drenthe,DR,Nieuweroord,7911,52.7208,6.5696
80,Drenthe,DR,Noordscheschut,7911,52.7279,6.5453
81,Drenthe,DR,Nieuweroord,7912,52.7292,6.5647
82,Drenthe,DR,Hollandscheveld,7913,52.7029,6.5407
83,Drenthe,DR,Hoogeveen,7913,52.7114,6.5175
84,Drenthe,DR,Nieuweroord,7913,52.7171,6.5717
85,Drenthe,DR,Noordscheschut,7914,52.7242,6.5347
86,Drenthe,DR,Alteveer gem Hoogeveen,7915,52.6816,6.501
87,Drenthe,DR,Hollandscheveld,7916,52.6711,6.5921
88,Drenthe,DR,Elim,7916,52.6811,6.5772
89,Drenthe,DR,Nieuwlande,7918,52.694,6.6126
90,Drenthe,DR,Fluitenberg,7931,52.7401,6.455
91,Drenthe,DR,Pesse,7933,52.7745,6.4562
92,Drenthe,DR,Stuifzand,7934,52.7518,6.5023
93,Drenthe,DR,Tiendeveen,7936,52.7491,6.5438
94,Drenthe,DR,Meppel,7941,52.6962,6.191
95,Drenthe,DR,Meppel,7942,52.705,6.1904
96,Drenthe,DR,Meppel,7943,52.6962,6.2188
97,Drenthe,DR,Meppel,7944,52.6848,6.1811
