,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,ADRZ,,,,,,+31 88 1250000,,,yes,,51.4844179,3.9076052000000003
1,10001,Advent Hospital,Groot Davelaarweg,,,,,+5999 737 0611,,,,,12.120244,-68.90406850000001
2,10002,"Albert Schweitzer Ziekenhuis, loc. Dordwijk",,,,,,(078) 654 11 11,,,yes,,51.7912601,4.6794905
3,10003,Alrijne Ziekenhuis,,,,,,,,,,,52.155349900000004,4.5408376
4,10004,Alrijne Ziekenhuis,,,,,,,,,,,52.173622200000004,4.480721099999999
5,10005,Amphia Ziekenhuis Locatie Molengracht,Molengracht,,,,,,,,,,51.5840617,4.7954843
6,10006,"Amphia Ziekenhuis, Locatie Langedijk",Langendijk,,,,,+76 595 5000,,,,,51.5753425,4.764085400000001
7,10007,"Amphia Ziekenhuis, Locatie Pasteurlaan",Pasteurlaan,,,,,,,,,,51.6476689,4.8711519999999995
8,10008,Amsterdam UMC - locatie VUMC,De Boelelaan,,,,,,,,,,52.3368182,4.858402
9,10009,Amsterdam UMC locatie AMC,Meibergdreef,,,,,,,,yes,,52.293864899999996,4.9497018
10,10010,Basalt Revalidatiecentrum,,,,,,,,,,,52.1697278,4.4691982
11,10011,Beatrixziekenhuis,,,,,,,,,,,51.840100299999996,4.955231700000001
12,10012,Bernhoven,,,,,,,,,,,51.67208660000001,5.6060862
13,10013,Bethesda,,,,,,,,,,,52.7273353,6.460551000000001
14,10014,BovenIJ Ziekenhuis,,,,,,,,,,,52.40501810000001,4.9208111
15,10015,Canisius-Wilhelmina Ziekenhuis,Weg door Jonkerbos,,,,,+31243657657,,,yes,,51.8186865,5.832653400000001
16,10016,Catharina Ziekenhuis,Michelangelolaan,,,,,,,,yes,,51.4644195,5.4694144
17,10017,Cruquiushoeve,,,,,,,,,no,,52.3302143,4.6482895
18,10018,Curaçao Medical Center,J. H. J. Hamelbergweg,,,,,+599 9 745 0000,,,yes,,12.110434,-68.9426995
19,10019,De Canha Physical Therapy,Dokter W. P. Maalweg,,,,,,,,,,12.1055343,-68.9041058
20,10020,Delta Ziekenhuis,,,,,,,,,,,51.8464042,4.3917481
21,10021,Deventer Ziekenhuis,Nico Bolkesteinlaan,,,,,+570 53 53 53,,,yes,,52.2627765,6.1893769999999995
22,10022,Dijklander Ziekenhuis,Maelsonstraat,,,,,,,,yes,,52.647181200000006,5.0552318
23,10023,Doornbos Fysio Groep,Abdijstraat,,,,,+31 76 572 00 57,,,no,,51.5987116,4.7956926
24,10024,Dr. Horacio Oduber Hospital,Dr Horacio Oduber Boulevard,,,,,+297 527 4000,,,yes,,12.5432798,-70.0602569
25,10025,EHBO building,,,,,,,,,,,51.873475299999996,4.2556009
26,10026,ETZ Elisabeth ziekenhuis,,,,,,,,,yes,,51.540021,5.101123
27,10027,ETZ TweeSteden ziekenhuis,Doctor Deelenlaan,,,,,,,,,,51.5789916,5.056798000000001
28,10028,Erasmus MC Daniel den Hoed,,,,,,,,,,,51.886109499999996,4.5034912
29,10029,Erasmus Medisch Centrum,Dokter Molewaterplein,,,,,+31 107040704,,,yes,,51.9121723,4.466856900000001
30,10030,Flevoziekenhuis,,,,,,,,,yes,,52.3681365,5.2228711
31,10031,Fundashon Mariadal,Kaya Soeur Bartola,,,,,,,,yes,,12.154662199999999,-68.2749353
32,10032,GGD Den Haag,Westeinde,,,,,14 070,,,,,52.07539129999999,4.3018915
33,10033,GGZ Centraal / Fornhese,Horsterweg,,,,,,,,no,,52.3058205,5.609114099999999
34,10034,GGZ Delfland,,,,,,,,,,,52.0202132,4.3608398
35,10035,GGZ Rivierduinen,,,,,,,,,,,52.1720971,4.458043099999999
36,10036,GGZ Rivierduinen,,,,,,,,,,,52.1753359,4.4664676
37,10037,"Gelre Apeldoorn, Lukas",Albert Schweitzerlaan,,,,,055 581 81 81,,,,,52.1816343,5.944470099999999
38,10038,Gelre Zutphen,,,,,,,,,,,52.1219588,6.216207499999999
39,10039,Gezondheidscentrum Het Noorderdok,,,,,,,,,,,52.3892951,5.175039099999999
40,10040,HMC Bronovo,Bronovolaan,,,,,070-3124141,,,yes,,52.101386299999994,4.318327200000001
41,10041,HMC Westeinde,Lijnbaan,,,,,,,,yes,,52.07451270000001,4.2986074
42,10042,HagaZiekenhuis locatie Leyweg,Els Borst-Eilersplein,,,,,070 210 0000,,,yes,,52.0568138,4.2620612
43,10043,Hearing Aid Screening,Wageningenstraat,,,,,,,,,,12.1005855,-68.91685340000001
44,10044,Huisartsenpost Reuver,,,,,,,,,,,51.283044200000006,6.0813748
45,10045,Huisartsenpost Zevenaar,,,,,,0900-1598,,,yes,,51.9430275,6.0696315
46,10046,IJsselland Ziekenhuis,,,,,,,,,,,51.939303100000004,4.564447400000001
47,10047,"IMSAN Dr, Rudy Engelbrecht Medical Center",,,,,,,,,,,12.4401075,-69.9161344
48,10048,Ikazia Ziekenhuis,,,,,,,,,,,51.8869302,4.4935193
