,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
0,,,Abramów,75,,Abramów,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,Adamowice,83,,Adamowice,909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Adamów,84,,Adamów,883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,Adamów,75,,Adamów,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,Adamówka,80,,Adamówka,1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,Albigowa,80,,Albigowa,2923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,Aleksandrowice,77,,Aleksandrowice,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,Aleksandrów,75,,Aleksandrów,3135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,Aleksandrów,74,,Aleksandrów,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,Aleksandrów Kujawski,73,,Aleksandrów Kujawski,12290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,Aleksandrów Łódzki,74,,Aleksandrów Łódzki,20292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,Alwernia,77,,Alwernia,3362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,Andrespol,74,,Andrespol,3773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,Andrychów,77,,Andrychów,21954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,Andrzejewo,78,,Andrzejewo,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,Annopol,75,,Annopol,2654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,Augustów,81,,Augustów,29752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,Babiak,86,,Babiak,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,Babica,80,,Babica,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,Babice,78,,Babice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,Babice,83,,Babice,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,Babice,77,,Babice,1369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,Babice,80,,Babice,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,Babice,75,,Babice,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,Babice,77,,Babice,1582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,Babimost,76,,Babimost,4182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,Baborów,79,,Baborów,3114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,Baboszewo,78,,Baboszewo,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,Bachowice,77,,Bachowice,2234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,Baczków,77,,Baczków,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,Baczyn,77,,Baczyn,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,Baczyna,76,,Baczyna,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,Bakałarzewo,81,,Bakałarzewo,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,Balice,77,,Balice,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,Baligród,80,,Baligród,1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,Balin,77,,Balin,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,Banie,87,,Banie,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,Banie Mazurskie,85,,Banie Mazurskie,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,Banino,82,,Banino,2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,Baniocha,78,,Baniocha,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,Baranowo,78,,Baranowo,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,Baranowo,85,,Baranowo,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,Baranowo,86,,Baranowo,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,Baranów,86,,Baranów,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,Baranów,75,,Baranów,1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,Baranów Sandomierski,80,,Baranów Sandomierski,1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,Baranówka,77,,Baranówka,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,Barciany,85,,Barciany,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,Barcin,73,,Barcin,7682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,Barcino,82,,Barcino,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,Barczewo,85,,Barczewo,7315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,Bardo,72,,Bardo,2763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,Bargłów Kościelny,81,,Bargłów Kościelny,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,Barlinek,87,,Barlinek,14385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,Bartniczka,73,,Bartniczka,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,Bartoszyce,85,,Bartoszyce,25660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,Baruchowo,73,,Baruchowo,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,Barwałd Dolny,77,,Barwałd Dolny,732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,Barwałd Górny,77,,Barwałd Górny,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,Barwałd Średni,77,,Barwałd Średni,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,Barwice,87,,Barwice,3756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,Batorz,75,,Batorz,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,Baćkowice,84,,Baćkowice,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,Bałtów,75,,Bałtów,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,Bałtów,84,,Bałtów,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,Bażanowice,83,,Bażanowice,1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,Bedlno,74,,Bedlno,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,Bejsce,84,,Bejsce,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,Belsk Duży,78,,Belsk Duży,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,Bemowo,78,,Bemowo,102393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,Besko,80,,Besko,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,Bestwina,83,,Bestwina,4409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,Bestwinka,83,,Bestwinka,1541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,Bełchatów,74,,Bełchatów,62896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,Bełk,83,,Bełk,3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,Bełsznica,83,,Bełsznica,1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,Bełżec,75,,Bełżec,2723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,Bełżyce,75,,Bełżyce,6958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,Biała,78,,Biała,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,Biała,79,,Biała,2605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,Biała Dolna,83,,Biała Dolna,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,Biała Piska,85,,Biała Piska,4027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,Biała Podlaska,75,,Biała Podlaska,57541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,Biała Rawska,74,,Biała Rawska,3231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,Białaczów,74,,Białaczów,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,Białe Błota,73,,Białe Błota,5989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,Białka,80,,Białka,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,Białka,77,,Białka,2542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,Białka Tatrzańska,77,,Białka Tatrzańska,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,Białobrzegi,80,,Białobrzegi,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,Białobrzegi,78,,Białobrzegi,7328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,Białobrzegi,78,,Białobrzegi,1208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,Białogard,87,,Białogard,24265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,Białopole,75,,Białopole,883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,Białowieża,81,,Białowieża,2670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,Białołeka,78,,Białołeka,89324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,Białośliwie,86,,Białośliwie,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,Biały Bór,87,,Biały Bór,2209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,Biały Dunajec,77,,Biały Dunajec,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,Białystok,81,,Białystok,291855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,Biecz,77,,Biecz,4564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,Bielany,78,,Bielany,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,Bielany,78,,Bielany,134854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,Bielany Wrocławskie,72,,Bielany Wrocławskie,3219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,Bielawa,72,,Bielawa,30824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,Bielawa,78,,Bielawa,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,Bielawy,76,,Bielawy,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,Bielawy,74,,Bielawy,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,Bielice,87,,Bielice,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,Bielin,87,,Bielin,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,Bieliny,80,,Bieliny,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,Bieliny,84,,Bieliny,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,Bielsk,78,,Bielsk,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,Bielsk Podlaski,81,,Bielsk Podlaski,26493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,Bielsko-Biala,83,,Bielsko-Biala,176515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,Bieniewice,78,,Bieniewice,1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,Bierawa,79,,Bierawa,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,Bierdzany,79,,Bierdzany,1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,Bierkowice,72,,Bierkowice,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,Biertowice,77,,Biertowice,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,Bierutów,72,,Bierutów,5065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,Bieruń,83,,Bieruń,19659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,Bierzwnik,87,,Bierzwnik,1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,Biesiekierz,87,,Biesiekierz,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,Bieńkówka,77,,Bieńkówka,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,Bieżuń,78,,Bieżuń,1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,Binarowa,77,,Binarowa,1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,Bircza,80,,Bircza,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,Biskupice,77,,Biskupice,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,Biskupice Radłowskie,77,,Biskupice Radłowskie,1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,Biskupiec,85,,Biskupiec,10340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,Biskupiec,85,,Biskupiec,1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,Biskupin,72,,Biskupin,11292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,Biszcza,75,,Biszcza,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
