STATE,ST,TIMEZONE,TZ
Dolnoslaskie,02,Central European Time,CET
Kujawsko-pomorskie,04,Central European Time,CET
Lubelskie,06,Central European Time,CET
Lubuskie,08,Central European Time,CET
Lódzkie,10,Central European Time,CET
Malopolskie,12,Central European Time,CET
Mazowieckie,14,Central European Time,CET
Opolskie,16,Central European Time,CET
Podkarpackie,18,Central European Time,CET
Podlaskie,20,Central European Time,CET
Pomorskie,22,Central European Time,CET
Slaskie,24,Central European Time,CET
Swietokrzyskie,26,Central European Time,CET
Warminsko-mazurskie,28,Central European Time,CET
Wielkopolskie,30,Central European Time,CET
Zachodniopomorskie,32,Central European Time,CET
