,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,"""KUTNOWSKI SZPITAL SAMORZĄDOWY"" SPÓŁKA Z O.O.",,,,,,,,,yes,,52.239295299999995,19.371924
1,10001,"""Teresa"" Uzdrowiskowy Szpital Kardiologiczny",Plac Zdrojowy,,,,,,,,,,50.728534,16.3453272
2,10002,10 Wojskowy Szpital Kliniczny z Polikliniką,Powstańców Warszawy,,,,,,,,,,53.1420664,18.011077
3,10003,105 Szpital Wojskowy,Żelazna,,,,,,,,,,51.6123209,15.3327485
4,10004,105 Szpital Wojskowy z Przychodnią SPZOZ,Bolesława Domańskiego,,,,,,,,yes,,51.6415875,15.1481984
5,10005,107 Szpital Wojskowy,,,,,,+48 67 258 24 42; +48 261 47 28 80,,,,,53.2838447,16.4616404
6,10006,108 Szpital Wojskowy,Tadeusza Kościuszki,,,,,+48876219803,,,yes,,53.8199983,22.363112100000002
7,10007,109 Szpital Wojskowy z przychodnią,,,,,,,,,,,53.4430984,14.542629999999999
8,10008,115 Szpital Wojskowy,Boczna,,,,,+48 58 690 42 60,,,,,54.612089299999994,18.7986812
9,10009,116 Szpital Wojskowy z Przychodnią,,,,,,,,,,,50.66053170000001,17.8966954
10,10010,21 Wojskowy Szpital Uzdrowisko-Rehabilitacyjny,Generała Feliksa Rzewuskiego,,,,,,,,,,50.4542961,20.7208577
11,10011,22 Wojskowy Szpital Uzrowiskowo-Rehabilitacyjny,Wojska Polskiego,,,,,,,,no,,52.878570700000004,18.8042155
12,10012,23. Wojskowy Szpital Uzdrowiskowo-Rehabilitacyjny,Jadwigi,,,,,,,,no,,50.3422994,16.8904087
13,10013,5 Wojskowy Szpital Kliniczny w Krakowie,Wrocławska,,,,,,,,yes,,50.0751372,19.9339294
14,10014,6 Szpital Wojskowy z Przychodnią,Szpitalna,,,,,261 518 530,,,,,51.5544396,21.856129100000004
15,10015,7 Szpital Marynarki Wojennej,,,,,,+48 58 552 63 18,,,,,54.391905,18.5650018
16,10016,Angelius,,,,,,,,,,,50.2166537,18.984034299999998
17,10017,Apteka,Książęca,,,,,,,,,,50.056987899999996,19.0966361
18,10018,Arion ZOZ,,,,,,,,,,,50.3605341,22.742756600000003
19,10019,Arion ZOZ,Doktora Stanisława Pojaska,,,,,,,,yes,,50.5300021,22.7126673
20,10020,Beskidzkie Centrum Medyczne,Młodzieżowa,,,,,+48 33 82 63 400,,,,,49.7852242,19.0311845
21,10021,Beskidzkie Centrum Onkologii im. Jana Pawła II,,,,,,+48 33 498 4001,,,,,49.8237033,19.056670699999998
22,10022,Białostockie Centrum Onkologii im. Marii Skłodowskiej - Curie,,,,,,,,,,,53.135441799999995,23.1677438
23,10023,Bieszczadzkie Wodne Ochotnicze Pogotowie Ratunkowe,,,,,,,,,yes,,49.382042,22.448331399999997
24,10024,Brzeskie Centrum Medyczne,Nysańska,,,,,,,,,,50.8523726,17.475681899999998
25,10025,Budynek Szpitalny,Ogrodowa,,,,,,,,,,53.0078034,17.729908399999996
26,10026,Bydgoskie Centrum Diabetologii i Endokrynologii,,,,,,,,,,,53.1056571,18.0592279
27,10027,Były Szpital w Górze,Ludwika Hirszfelda,,,,,,,,,,51.6653014,16.5402075
28,10028,CDT Medicus - Szpital,Leśna,,,,,,,,,,51.3833304,16.2033617
29,10029,CenterMed Sp. z o.o.,Feliksa Bocheńskiego,,,,,,,,,,50.2661648,18.9899633
30,10030,Centralny Szpital Kliniczny MON,Szaserów,,,,,,,,,,52.251816600000005,21.0936436
31,10031,Centralny Szpital Kliniczny MSWiA,Wołoska,,,,,,,,,,52.199416799999995,20.997354
32,10032,"Centrum Ginekologii, Położnictwa i Neonatologii w Opolu",Władysława Reymonta,,,,,+48 77 454 54 01,,,,,50.6668027,17.9276177
33,10033,"Centrum Ginekologii, Położnictwa i Neonatologii w Opolu",,,,,,,,,,,50.6672094,17.928732399999998
34,10034,Centrum Leczenia Chorób Płuc - oddział dziecięcy,,,,,,,,,,,51.8357575,19.4829462
35,10035,Centrum Leczenia Oparzeń,,,,,,,,,,,50.3051211,19.0285062
36,10036,Centrum Medyczne BCM,,,,,,,,,no,,52.3882716,20.1885503
37,10037,Centrum Medyczne Grupa Zdrowie - Zakład Opiekuńczo Leczniczy dla osób z zaburzeniami psychicznymi,,,,,,+48 22 749 10 70,,,,,52.818898499999996,20.0425421
38,10038,Centrum Medyczne Karpacz,,,,,,+48 883 358 135,,,,,50.781350399999994,15.740747500000001
