,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
0,,,A dos Cunhados,14,,A dos Cunhados,6594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,A dos Francos,13,,A dos Francos,1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Aboim da Nóbrega,04,,Aboim da Nóbrega,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,Abrantes,18,,Abrantes,13646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,Abraveses,22,,Abraveses,9319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,Abrigada,14,,Abrigada,3416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,Adaúfe,04,,Adaúfe,3850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,Aguada de Cima,02,,Aguada de Cima,4388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,Aguiar da Beira,11,,Aguiar da Beira,5473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,Aguçadoura,17,,Aguçadoura,4521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,Alagoa,16,,Alagoa,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,Alandroal,08,,Alandroal,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,Albergaria-a-Velha,02,,Albergaria-a-Velha,7974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,Albufeira,09,,Albufeira,15851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,Alcabideche,14,,Alcabideche,33315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,Alcains,11,,Alcains,5030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,Alcanede,18,,Alcanede,5020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,Alcanena,18,,Alcanena,4408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,Alcanhões,18,,Alcanhões,1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,Alcantarilha,09,,Alcantarilha,4972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,Alcobaça,13,,Alcobaça,15800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,Alcochete,19,,Alcochete,9705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,Alcoentre,14,,Alcoentre,3923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,Alcoutim,09,,Alcoutim,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,Alcácer do Sal,19,,Alcácer do Sal,9198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,Aldeia Nova de São Bento,03,,Aldeia Nova de São Bento,4040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,Aldeia de Joanes,06,,Aldeia de Joanes,1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,Aldeia de Paio Pires,19,,Aldeia de Paio Pires,12179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,Alegrete,16,,Alegrete,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,Alenquer,14,,Alenquer,9626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,Alfarelos,07,,Alfarelos,1439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,Alfeizerão,13,,Alfeizerão,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,Alfena,17,,Alfena,15211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,Alferrarede,18,,Alferrarede,3654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,Alfragide,14,,Alfragide,17044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,Alfândega da Fé,05,,Alfândega da Fé,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,Algoz,09,,Algoz,2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,Algueirão,14,,Algueirão,66250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,Algés,14,,Algés,19327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,Alhadas,07,,Alhadas,3768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,Alhandra,14,,Alhandra,7226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,Alhos Vedros,19,,Alhos Vedros,13384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,Alijó,21,,Alijó,11942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
