,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
0,,,1 Decembrie,43,,1 Decembrie,7817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,23 August,12,,23 August,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,23 August,14,,23 August,2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,Abram,05,,Abram,3291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,Abrud,01,,Abrud,6122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,Abrud-Sat,01,,Abrud-Sat,1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,Abrămuţ,05,,Abrămuţ,2962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,Acmariu,01,,Acmariu,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,Acriș,09,,Acriș,1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,Acâş,32,,Acâş,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,Acăţari,27,,Acăţari,4719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,Adam,18,,Adam,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,Adamclisi,14,,Adamclisi,2247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,Adea,02,,Adea,1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
