,USPS,ST,NAME,ZCTA5,LAT,LON
0,Alba,,Bărăbanţ,510001,46.0993,23.5849
1,Alba,,Miceşti,510002,46.1014,23.5557
2,Alba,,Alba Iulia,510002,46.0667,23.5833
3,Alba,,Oarda,510003,46.0333,23.5667
4,Alba,,Pâclişa,510004,46.05,23.5167
5,Alba,,Alba Iulia,510005,46.0667,23.5833
6,Alba,,Alba Iulia,510006,46.0667,23.5833
7,Alba,,Alba Iulia,510007,46.0667,23.5833
8,Alba,,Alba Iulia,510008,46.0667,23.5833
9,Alba,,Alba Iulia,510009,46.0667,23.5833
10,Alba,,Alba Iulia,510010,46.0667,23.5833
11,Alba,,Alba Iulia,510011,46.0667,23.5833
12,Alba,,Alba Iulia,510012,46.0667,23.5833
13,Alba,,Alba Iulia,510014,46.0667,23.5833
14,Alba,,Alba Iulia,510016,46.0667,23.5833
15,Alba,,Alba Iulia,510017,46.0667,23.5833
16,Alba,,Alba Iulia,510021,46.0667,23.5833
17,Alba,,Alba Iulia,510022,46.0667,23.5833
18,Alba,,Alba Iulia,510026,46.0667,23.5833
19,Alba,,Alba Iulia,510029,46.0667,23.5833
20,Alba,,Alba Iulia,510030,46.0667,23.5833
21,Alba,,Alba Iulia,510031,46.0667,23.5833
22,Alba,,Alba Iulia,510032,46.0667,23.5833
23,Alba,,Alba Iulia,510033,46.0667,23.5833
24,Alba,,Alba Iulia,510034,46.0667,23.5833
25,Alba,,Alba Iulia,510037,46.0667,23.5833
26,Alba,,Alba Iulia,510039,46.0667,23.5833
27,Alba,,Alba Iulia,510040,46.0667,23.5833
28,Alba,,Alba Iulia,510041,46.0667,23.5833
29,Alba,,Alba Iulia,510042,46.0667,23.5833
30,Alba,,Alba Iulia,510045,46.0667,23.5833
31,Alba,,Alba Iulia,510046,46.0667,23.5833
32,Alba,,Alba Iulia,510047,46.0667,23.5833
33,Alba,,Alba Iulia,510048,46.0667,23.5833
34,Alba,,Alba Iulia,510049,46.0667,23.5833
35,Alba,,Alba Iulia,510050,46.0667,23.5833
36,Alba,,Alba Iulia,510053,46.0667,23.5833
37,Alba,,Alba Iulia,510054,46.0667,23.5833
38,Alba,,Alba Iulia,510055,46.0667,23.5833
39,Alba,,Alba Iulia,510056,46.0667,23.5833
40,Alba,,Alba Iulia,510057,46.0667,23.5833
41,Alba,,Alba Iulia,510061,46.0667,23.5833
42,Alba,,Alba Iulia,510062,46.0667,23.5833
43,Alba,,Alba Iulia,510063,46.0667,23.5833
44,Alba,,Alba Iulia,510064,46.0667,23.5833
45,Alba,,Alba Iulia,510065,46.0667,23.5833
46,Alba,,Alba Iulia,510066,46.0667,23.5833
47,Alba,,Alba Iulia,510070,46.0667,23.5833
48,Alba,,Alba Iulia,510072,46.0667,23.5833
49,Alba,,Alba Iulia,510073,46.0667,23.5833
50,Alba,,Alba Iulia,510077,46.0667,23.5833
51,Alba,,Alba Iulia,510078,46.0667,23.5833
52,Alba,,Alba Iulia,510079,46.0667,23.5833
53,Alba,,Alba Iulia,510080,46.0667,23.5833
54,Alba,,Alba Iulia,510081,46.0667,23.5833
55,Alba,,Alba Iulia,510082,46.0667,23.5833
56,Alba,,Alba Iulia,510083,46.0667,23.5833
57,Alba,,Alba Iulia,510084,46.0667,23.5833
58,Alba,,Alba Iulia,510085,46.0667,23.5833
59,Alba,,Alba Iulia,510086,46.0667,23.5833
60,Alba,,Alba Iulia,510087,46.0667,23.5833
61,Alba,,Alba Iulia,510088,46.0667,23.5833
62,Alba,,Alba Iulia,510089,46.0667,23.5833
63,Alba,,Alba Iulia,510090,46.0667,23.5833
64,Alba,,Alba Iulia,510093,46.0667,23.5833
65,Alba,,Alba Iulia,510094,46.0667,23.5833
66,Alba,,Alba Iulia,510095,46.0667,23.5833
67,Alba,,Alba Iulia,510096,46.0667,23.5833
68,Alba,,Alba Iulia,510097,46.0667,23.5833
69,Alba,,Alba Iulia,510101,46.0667,23.5833
70,Alba,,Alba Iulia,510102,46.0667,23.5833
71,Alba,,Alba Iulia,510103,46.0667,23.5833
72,Alba,,Alba Iulia,510104,46.0667,23.5833
73,Alba,,Alba Iulia,510105,46.0667,23.5833
74,Alba,,Alba Iulia,510106,46.0667,23.5833
75,Alba,,Alba Iulia,510109,46.0667,23.5833
76,Alba,,Alba Iulia,510110,46.0667,23.5833
77,Alba,,Alba Iulia,510111,46.0667,23.5833
78,Alba,,Alba Iulia,510112,46.0667,23.5833
79,Alba,,Alba Iulia,510113,46.0667,23.5833
80,Alba,,Alba Iulia,510114,46.0667,23.5833
81,Alba,,Alba Iulia,510115,46.0667,23.5833
82,Alba,,Alba Iulia,510116,46.0667,23.5833
83,Alba,,Alba Iulia,510117,46.0667,23.5833
84,Alba,,Alba Iulia,510118,46.0667,23.5833
85,Alba,,Alba Iulia,510119,46.0667,23.5833
86,Alba,,Alba Iulia,510120,46.0667,23.5833
87,Alba,,Alba Iulia,510121,46.0667,23.5833
88,Alba,,Alba Iulia,510122,46.0667,23.5833
89,Alba,,Alba Iulia,510124,46.0667,23.5833
90,Alba,,Alba Iulia,510125,46.0667,23.5833
91,Alba,,Alba Iulia,510126,46.0667,23.5833
92,Alba,,Alba Iulia,510127,46.0667,23.5833
93,Alba,,Alba Iulia,510128,46.0667,23.5833
94,Alba,,Alba Iulia,510129,46.0667,23.5833
95,Alba,,Alba Iulia,510134,46.0667,23.5833
96,Alba,,Alba Iulia,510135,46.0667,23.5833
97,Alba,,Alba Iulia,510136,46.0667,23.5833
98,Alba,,Alba Iulia,510137,46.0667,23.5833
99,Alba,,Alba Iulia,510138,46.0667,23.5833
100,Alba,,Alba Iulia,510141,46.0667,23.5833
101,Alba,,Alba Iulia,510142,46.0667,23.5833
102,Alba,,Alba Iulia,510143,46.0667,23.5833
103,Alba,,Alba Iulia,510144,46.0667,23.5833
104,Alba,,Alba Iulia,510145,46.0667,23.5833
105,Alba,,Alba Iulia,510146,46.0667,23.5833
106,Alba,,Alba Iulia,510147,46.0667,23.5833
107,Alba,,Alba Iulia,510149,46.0667,23.5833
108,Alba,,Alba Iulia,510150,46.0667,23.5833
109,Alba,,Alba Iulia,510151,46.0667,23.5833
110,Alba,,Alba Iulia,510152,46.0667,23.5833
111,Alba,,Alba Iulia,510153,46.0667,23.5833
112,Alba,,Alba Iulia,510154,46.0667,23.5833
113,Alba,,Alba Iulia,510155,46.0667,23.5833
114,Alba,,Alba Iulia,510156,46.0667,23.5833
115,Alba,,Alba Iulia,510157,46.0667,23.5833
116,Alba,,Alba Iulia,510158,46.0667,23.5833
117,Alba,,Alba Iulia,510159,46.0667,23.5833
118,Alba,,Alba Iulia,510160,46.0667,23.5833
119,Alba,,Alba Iulia,510161,46.0667,23.5833
120,Alba,,Alba Iulia,510162,46.0667,23.5833
121,Alba,,Alba Iulia,510163,46.0667,23.5833
122,Alba,,Alba Iulia,510164,46.0667,23.5833
123,Alba,,Alba Iulia,510165,46.0667,23.5833
124,Alba,,Alba Iulia,510166,46.0667,23.5833
125,Alba,,Alba Iulia,510167,46.0667,23.5833
126,Alba,,Alba Iulia,510168,46.0667,23.5833
127,Alba,,Alba Iulia,510169,46.0667,23.5833
128,Alba,,Alba Iulia,510170,46.0667,23.5833
129,Alba,,Alba Iulia,510171,46.0667,23.5833
130,Alba,,Alba Iulia,510172,46.0667,23.5833
131,Alba,,Alba Iulia,510173,46.0667,23.5833
132,Alba,,Alba Iulia,510174,46.0667,23.5833
133,Alba,,Alba Iulia,510175,46.0667,23.5833
134,Alba,,Alba Iulia,510176,46.0667,23.5833
135,Alba,,Alba Iulia,510177,46.0667,23.5833
136,Alba,,Alba Iulia,510178,46.0667,23.5833
137,Alba,,Alba Iulia,510179,46.0667,23.5833
138,Alba,,Alba Iulia,510181,46.0667,23.5833
139,Alba,,Alba Iulia,510182,46.0667,23.5833
140,Alba,,Alba Iulia,510183,46.0667,23.5833
141,Alba,,Alba Iulia,510184,46.0667,23.5833
142,Alba,,Alba Iulia,510185,46.0667,23.5833
143,Alba,,Alba Iulia,510186,46.0667,23.5833
144,Alba,,Alba Iulia,510187,46.0667,23.5833
145,Alba,,Alba Iulia,510189,46.0667,23.5833
146,Alba,,Alba Iulia,510190,46.0667,23.5833
147,Alba,,Alba Iulia,510191,46.0667,23.5833
148,Alba,,Alba Iulia,510192,46.0667,23.5833
149,Alba,,Alba Iulia,510193,46.0667,23.5833
150,Alba,,Alba Iulia,510194,46.0667,23.5833
151,Alba,,Alba Iulia,510197,46.0667,23.5833
152,Alba,,Alba Iulia,510198,46.0667,23.5833
153,Alba,,Alba Iulia,510199,46.0667,23.5833
154,Alba,,Alba Iulia,510200,46.0667,23.5833
155,Alba,,Alba Iulia,510201,46.0667,23.5833
156,Alba,,Alba Iulia,510202,46.0667,23.5833
157,Alba,,Alba Iulia,510205,46.0667,23.5833
158,Alba,,Alba Iulia,510206,46.0667,23.5833
159,Alba,,Alba Iulia,510207,46.0667,23.5833
160,Alba,,Alba Iulia,510208,46.0667,23.5833
161,Alba,,Alba Iulia,510209,46.0667,23.5833
162,Alba,,Alba Iulia,510210,46.0667,23.5833
163,Alba,,Alba Iulia,510211,46.0667,23.5833
164,Alba,,Alba Iulia,510213,46.0667,23.5833
165,Alba,,Alba Iulia,510214,46.0667,23.5833
166,Alba,,Alba Iulia,510215,46.0667,23.5833
167,Alba,,Alba Iulia,510216,46.0667,23.5833
168,Alba,,Alba Iulia,510217,46.0667,23.5833
169,Alba,,Alba Iulia,510218,46.0667,23.5833
170,Alba,,Alba Iulia,510219,46.0667,23.5833
171,Alba,,Alba Iulia,510220,46.0667,23.5833
172,Alba,,Alba Iulia,510221,46.0667,23.5833
173,Alba,,Alba Iulia,510222,46.0667,23.5833
174,Alba,,Alba Iulia,510223,46.0667,23.5833
175,Alba,,Alba Iulia,510224,46.0667,23.5833
176,Alba,,Alba Iulia,510225,46.0667,23.5833
177,Alba,,Alba Iulia,510226,46.0667,23.5833
