,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
16,20016,Camera de Gardă - Spitalul Clinic de Psihiatrie “Prof. Dr. Alexandru Obregia”,,,,,,,,,yes,,44.3864853,26.1278255
17,20017,Camera de Gardă - Spitalul de Urgență Floreasca,,,,,,,,,yes,,44.453888899999995,26.100897500000002
48,20048,Clinica Medicală I,Strada Clinicilor,,,,,,,,yes,,46.765673799999995,23.582303
56,20056,Clinica de Chirurgie și Ortopedie Pediatrică Dr. Trestianu Viorel,,,,,,,,,yes,,45.7544314,21.2214259
60,20060,Clinica de Neurochirurgie,,,,,,,,,yes,,46.762083000000004,23.584948
61,20061,Clinica de Neurologie,,,,,,,,,yes,,46.762637899999994,23.5845725
62,20062,Clinica de Neurologie - Psihiatrie - Neurochirurgie,Strada Profesor Gheorghe Marinescu,,,,,,,,yes,,46.7632148,23.5845951
79,20079,Dentist Iasi,Strada Sfântul Andrei,,,,,,,,yes,,47.1553625,27.5838468
110,20110,Institutul de Boli Cardiovasculare,Strada Gheorghe Adam,,,,,,,,yes,,45.768742200000005,21.257820000000002
126,20126,Muntenia Hospital,Strada Pictor Nicolae Grigorescu,,,,,,,,yes,,44.8622335,24.870099800000002
127,20127,Nova Vita,Strada Liviu Rebreanu,,,,,"+40 265 266 112, +40 365 430 330",,,yes,,46.53673920000001,24.5536056
168,20168,Polimed,Strada Tudor Vladimirescu 94,,,,,0234 289 704,,,yes,,46.1999657,27.384254300000002
171,20171,Ponderas Regina Maria,Strada Nicolae G. Caramfil,,,,,,,,yes,,44.4835284,26.091073899999998
175,20175,SPITALUL DE PEDIATRIE PLOIEȘTI,Strada Mihai Eminescu,,,,,,,,yes,,44.9319507,26.0261625
176,20176,SPITALUL JUDEȚEAN DE URGENȚĂ PLOIEȘTI,,,,,,,,,yes,,44.9637639,26.0099119
177,20177,Salvamont,,,,,,,,,yes,,46.982001200000006,25.4067522
198,20198,Serviciul de urgență SMURD,,,,,,,,,yes,,46.5598487,24.583493700000002
