STATE,ST,TIMEZONE,TZ
Ajdovšcina,001,Central European Time,CET
Beltinci,002,Central European Time,CET
Bled,003,Central European Time,CET
Bohinj,004,Central European Time,CET
Borovnica,005,Central European Time,CET
Bovec,006,Central European Time,CET
Brda,007,Central European Time,CET
Brezovica,008,Central European Time,CET
Brežice,009,Central European Time,CET
Tišina,010,Central European Time,CET
Celje,011,Central European Time,CET
Cerklje na Gorenjskem,012,Central European Time,CET
Cerknica,013,Central European Time,CET
Cerkno,014,Central European Time,CET
Crenšovci,015,Central European Time,CET
Crna na Koroškem,016,Central European Time,CET
Crnomelj,017,Central European Time,CET
Destrnik,018,Central European Time,CET
Divaca,019,Central European Time,CET
Dobrepolje,020,Central European Time,CET
Dobrova-Polhov Gradec,021,Central European Time,CET
Dol pri Ljubljani,022,Central European Time,CET
Domžale,023,Central European Time,CET
Dornava,024,Central European Time,CET
Dravograd,025,Central European Time,CET
Duplek,026,Central European Time,CET
Gorenja vas-Poljane,027,Central European Time,CET
Gorišnica,028,Central European Time,CET
Gornja Radgona,029,Central European Time,CET
Gornji Grad,030,Central European Time,CET
Gornji Petrovci,031,Central European Time,CET
Grosuplje,032,Central European Time,CET
Šalovci,033,Central European Time,CET
Hrastnik,034,Central European Time,CET
Hrpelje-Kozina,035,Central European Time,CET
Idrija,036,Central European Time,CET
Ig,037,Central European Time,CET
Ilirska Bistrica,038,Central European Time,CET
Ivancna Gorica,039,Central European Time,CET
Izola,040,Central European Time,CET
Jesenice,041,Central European Time,CET
Juršinci,042,Central European Time,CET
Kamnik,043,Central European Time,CET
Kanal,044,Central European Time,CET
Kidricevo,045,Central European Time,CET
Kobarid,046,Central European Time,CET
Kobilje,047,Central European Time,CET
Kocevje,048,Central European Time,CET
Komen,049,Central European Time,CET
Koper,050,Central European Time,CET
Kozje,051,Central European Time,CET
Kranj,052,Central European Time,CET
Kranjska Gora,053,Central European Time,CET
Krško,054,Central European Time,CET
Kungota,055,Central European Time,CET
Kuzma,056,Central European Time,CET
Laško,057,Central European Time,CET
Lenart,058,Central European Time,CET
Lendava,059,Central European Time,CET
Litija,060,Central European Time,CET
Ljubljana,061,Central European Time,CET
Ljubno,062,Central European Time,CET
Ljutomer,063,Central European Time,CET
Logatec,064,Central European Time,CET
Loška dolina,065,Central European Time,CET
Loški Potok,066,Central European Time,CET
Luce,067,Central European Time,CET
Lukovica,068,Central European Time,CET
Majšperk,069,Central European Time,CET
Maribor,070,Central European Time,CET
Medvode,071,Central European Time,CET
Mengeš,072,Central European Time,CET
Metlika,073,Central European Time,CET
Mežica,074,Central European Time,CET
Miren-Kostanjevica,075,Central European Time,CET
Mislinja,076,Central European Time,CET
Moravce,077,Central European Time,CET
Moravske Toplice,078,Central European Time,CET
Mozirje,079,Central European Time,CET
Murska Sobota,080,Central European Time,CET
Muta,081,Central European Time,CET
Naklo,082,Central European Time,CET
Nazarje,083,Central European Time,CET
Nova Gorica,084,Central European Time,CET
Novo mesto,085,Central European Time,CET
Odranci,086,Central European Time,CET
Ormož,087,Central European Time,CET
Osilnica,088,Central European Time,CET
Pesnica,089,Central European Time,CET
Piran,090,Central European Time,CET
Pivka,091,Central European Time,CET
Podcetrtek,092,Central European Time,CET
Podvelka,093,Central European Time,CET
Postojna,094,Central European Time,CET
Preddvor,095,Central European Time,CET
Ptuj,096,Central European Time,CET
Puconci,097,Central European Time,CET
Race-Fram,098,Central European Time,CET
Radece,099,Central European Time,CET
Radenci,100,Central European Time,CET
Radlje ob Dravi,101,Central European Time,CET
Radovljica,102,Central European Time,CET
Ravne na Koroškem,103,Central European Time,CET
Ribnica,104,Central European Time,CET
Rogašovci,105,Central European Time,CET
Rogaška Slatina,106,Central European Time,CET
Rogatec,107,Central European Time,CET
Ruše,108,Central European Time,CET
Semic,109,Central European Time,CET
Sevnica,110,Central European Time,CET
Sežana,111,Central European Time,CET
Slovenj Gradec,112,Central European Time,CET
Slovenska Bistrica,113,Central European Time,CET
Slovenske Konjice,114,Central European Time,CET
Starše,115,Central European Time,CET
Sveti Jurij,116,Central European Time,CET
Šencur,117,Central European Time,CET
Šentilj,118,Central European Time,CET
Šentjernej,119,Central European Time,CET
Šentjur,120,Central European Time,CET
Škocjan,121,Central European Time,CET
Škofja Loka,122,Central European Time,CET
Škofljica,123,Central European Time,CET
Šmarje pri Jelšah,124,Central European Time,CET
Šmartno ob Paki,125,Central European Time,CET
Šoštanj,126,Central European Time,CET
Štore,127,Central European Time,CET
Tolmin,128,Central European Time,CET
Trbovlje,129,Central European Time,CET
Trebnje,130,Central European Time,CET
Tržic,131,Central European Time,CET
Turnišce,132,Central European Time,CET
Velenje,133,Central European Time,CET
Velike Lašce,134,Central European Time,CET
Videm,135,Central European Time,CET
Vipava,136,Central European Time,CET
Vitanje,137,Central European Time,CET
Vodice,138,Central European Time,CET
Vojnik,139,Central European Time,CET
Vrhnika,140,Central European Time,CET
Vuzenica,141,Central European Time,CET
Zagorje ob Savi,142,Central European Time,CET
Zavrc,143,Central European Time,CET
Zrece,144,Central European Time,CET
Železniki,146,Central European Time,CET
Žiri,147,Central European Time,CET
Benedikt,148,Central European Time,CET
Bistrica ob Sotli,149,Central European Time,CET
Bloke,150,Central European Time,CET
Braslovce,151,Central European Time,CET
Cankova,152,Central European Time,CET
Cerkvenjak,153,Central European Time,CET
Dobje,154,Central European Time,CET
Dobrna,155,Central European Time,CET
Dobrovnik,156,Central European Time,CET
Dolenjske Toplice,157,Central European Time,CET
Grad,158,Central European Time,CET
Hajdina,159,Central European Time,CET
Hoce-Slivnica,160,Central European Time,CET
Hodoš,161,Central European Time,CET
Horjul,162,Central European Time,CET
Jezersko,163,Central European Time,CET
Komenda,164,Central European Time,CET
Kostel,165,Central European Time,CET
Križevci,166,Central European Time,CET
Lovrenc na Pohorju,167,Central European Time,CET
Markovci,168,Central European Time,CET
Miklavž na Dravskem polju,169,Central European Time,CET
Mirna Pec,170,Central European Time,CET
Oplotnica,171,Central European Time,CET
Podlehnik,172,Central European Time,CET
Polzela,173,Central European Time,CET
Prebold,174,Central European Time,CET
Prevalje,175,Central European Time,CET
Razkrižje,176,Central European Time,CET
Ribnica na Pohorju,177,Central European Time,CET
Selnica ob Dravi,178,Central European Time,CET
Sodražica,179,Central European Time,CET
Solcava,180,Central European Time,CET
Sveta Ana,181,Central European Time,CET
Sveti Andraž v Slovenskih goricah,182,Central European Time,CET
Šempeter-Vrtojba,183,Central European Time,CET
Tabor,184,Central European Time,CET
Trnovska vas,185,Central European Time,CET
Trzin,186,Central European Time,CET
Velika Polana,187,Central European Time,CET
Veržej,188,Central European Time,CET
Vransko,189,Central European Time,CET
Žalec,190,Central European Time,CET
Žetale,191,Central European Time,CET
Žirovnica,192,Central European Time,CET
Žužemberk,193,Central European Time,CET
Šmartno pri Litiji,194,Central European Time,CET
Apace,195,Central European Time,CET
Cirkulane,196,Central European Time,CET
Kosanjevica na Krki,197,Central European Time,CET
Makole,198,Central European Time,CET
Mokronog-Trebelno,199,Central European Time,CET
Poljcane,200,Central European Time,CET
Renèe-Vogrsko,201,Central European Time,CET
Središce ob Dravi,202,Central European Time,CET
Straža,203,Central European Time,CET
"Sveta Trojica v Slovenskih
Goricah",204,Central European Time,CET
Sveti Tomaž,205,Central European Time,CET
Šmarješke Toplice,206,Central European Time,CET
Gorje,207,Central European Time,CET
Log-Dragomer,208,Central European Time,CET
Recica ob Savinji,209,Central European Time,CET
Sveti Jurij v Slovenskih Goricah,210,Central European Time,CET
Šentrupert,211,Central European Time,CET
Mirna,212,Central European Time,CET
Ankaran,213,Central European Time,CET
