,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
162796,,,Banská Bystrica,01,,Banská Bystrica,82336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162795,,,Banská Štiavnica,01,,Banská Štiavnica,10191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162681,,,Bardejov,05,,Bardejov,33060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162680,,,Betliar,03,,Betliar,938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162794,,,Bešeňová,08,,Bešeňová,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162679,,,Bijacovce,05,,Bijacovce,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162793,,,Bojnice,06,,Bojnice,4934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162792,,,Bratislava,02,,Bratislava,423737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162780,,,Bratislava - Vajnory,02,,Bratislava - Vajnory,5484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162791,,,Brezno,01,,Brezno,21331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162790,,,Brezová pod Bradlom,06,,Brezová pod Bradlom,5567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162789,,,Bytča,08,,Bytča,11279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162797,,,Bánovce nad Bebravou,06,,Bánovce nad Bebravou,18933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162678,,,Chlmec,05,,Chlmec,8031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162785,,,Detva,01,,Detva,15020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162798,,,Devínska Nová Ves,02,,Devínska Nová Ves,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162676,,,Dobšiná,03,,Dobšiná,4896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162784,,,Dolný Kubín,08,,Dolný Kubín,18995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162783,,,Dubnica nad Váhom,06,,Dubnica nad Váhom,26617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162782,,,Dudince,01,,Dudince,1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162801,,,Dunajská Lužná,02,,Dunajská Lužná,4482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162781,,,Dunajská Streda,07,,Dunajská Streda,23639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162779,,,Fiľakovo,01,,Fiľakovo,10198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162778,,,Gabčíkovo,07,,Gabčíkovo,5343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162777,,,Galanta,07,,Galanta,16365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162776,,,Gbely,07,,Gbely,5223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162675,,,Gelnica,03,,Gelnica,6404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162674,,,Giraltovce,05,,Giraltovce,4189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162775,,,Handlová,06,,Handlová,18018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162774,,,Hlohovec,07,,Hlohovec,23930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162773,,,Holíč,07,,Holíč,11416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162772,,,Hriňová,01,,Hriňová,8289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162771,,,"Hrochoť,Slovakia",01,,"Hrochoť,Slovakia",1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162673,,,Humenné,05,,Humenné,35367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162770,,,Hurbanovo,04,,Hurbanovo,8153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162769,,,Hybe,08,,Hybe,1548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162768,,,Ilava,06,,Ilava,5411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162767,,,Ivanka pri Dunaji,02,,Ivanka pri Dunaji,6245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162672,,,Kavečany,03,,Kavečany,1287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162671,,,Kežmarok,05,,Kežmarok,16381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162766,,,Kolárovo,04,,Kolárovo,10823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162765,,,Komárno,04,,Komárno,36279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162764,,,Komárno,04,,Komárno,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162763,,,Kováčová,01,,Kováčová,1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162670,,,Košice,03,,Košice,236563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162762,,,Krasňany,08,,Krasňany,1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162761,,,Kremnica,01,,Kremnica,5356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162669,,,Krompachy,03,,Krompachy,8812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
