,USPS,ST,NAME,ZCTA5,LAT,LON
0,Banskobystrický kraj,,Jakub,974 01,48.7681,19.1363
1,Banskobystrický kraj,,Horná Mičiná,974 01,48.6989,19.2144
2,Banskobystrický kraj,,Šalková,974 01,48.7378,19.2174
3,Banskobystrický kraj,,Prostredná Môlča,974 01,48.7157,19.2283
4,Banskobystrický kraj,,Horná Môlča,974 01,48.7075,19.2371
5,Banskobystrický kraj,,Majer,974 01,48.7351,19.1793
6,Banskobystrický kraj,,Kostiviarska,974 01,48.7572,19.1425
7,Banskobystrický kraj,,Uľanka,974 01,48.7844,19.1124
8,Banskobystrický kraj,,Bečov,974 01,48.6511,19.2414
9,Banskobystrický kraj,,Sebedín,974 01,48.6338,19.2407
10,Banskobystrický kraj,,Čačín,974 01,48.6668,19.255
11,Banskobystrický kraj,,Špania Dolina,974 01,48.8075,19.1341
12,Banskobystrický kraj,,Čerín,974 01,48.6607,19.2454
13,Banskobystrický kraj,,Podlavice,974 01,48.742,19.1058
14,Banskobystrický kraj,,Dolná Môlča,974 01,48.721,19.2229
15,Banskobystrický kraj,,Riečka,974 01,48.7562,19.0768
16,Banskobystrický kraj,,"Polkanová (č.d.1,2,3",974 01,48.7247,19.1846
17,Banskobystrický kraj,,Kynceľová,974 01,48.7499,19.1857
18,Banskobystrický kraj,,Skubín,974 01,48.7376,19.1045
19,Banskobystrický kraj,,Senica,974 01,48.7498,19.1895
20,Banskobystrický kraj,,Nemce,974 01,48.7622,19.1853
21,Banskobystrický kraj,,Môlča,974 01,48.7247,19.1846
22,Banskobystrický kraj,,Dolná Mičiná,974 01,48.6754,19.2223
23,Banskobystrický kraj,,Sebedín - Bečov,974 01,48.7247,19.1846
24,Banskobystrický kraj,,Horné Pršany,974 05,48.6996,19.0833
25,Banskobystrický kraj,,Radvaň,974 05,48.7224,19.1344
26,Banskobystrický kraj,,Kremnička,974 05,48.6967,19.1276
27,Banskobystrický kraj,,Malachov,974 05,48.7103,19.0897
28,Banskobystrický kraj,,Kráľová,974 05,48.7178,19.1336
29,Banskobystrický kraj,,Iliaš,974 05,48.7005,19.1435
30,Banskobystrický kraj,,Rakytovce,974 05,48.7079,19.1187
31,Banskobystrický kraj,,Rudlová,974 11,48.7536,19.162
32,Banskobystrický kraj,,Sásová,974 11,48.7546,19.157
33,Banskobystrický kraj,,Staré Hory,976 02,48.8391,19.1148
34,Banskobystrický kraj,,Jergaly,976 02,48.8391,19.1148
35,Banskobystrický kraj,,Dolný Jelenec,976 02,48.8391,19.1148
36,Banskobystrický kraj,,Horný Jelenec,976 02,48.8391,19.1148
37,Banskobystrický kraj,,Valentová,976 02,48.8391,19.1148
38,Banskobystrický kraj,,Turecká,976 02,48.8391,19.1148
39,Banskobystrický kraj,,Motyčky,976 02,48.8391,19.1148
40,Banskobystrický kraj,,Štubne,976 02,48.8391,19.1148
41,Banskobystrický kraj,,Polkanová (ostat.č.),976 02,48.8391,19.1148
42,Banskobystrický kraj,,Harmanec,976 03,48.8218,19.0333
43,Banskobystrický kraj,,Dolný Harmanec,976 03,48.8218,19.0333
44,Banskobystrický kraj,,Baláže,976 11,48.814,19.1957
45,Banskobystrický kraj,,Selce,976 11,48.7626,19.203
46,Banskobystrický kraj,,Priechod,976 11,48.7831,19.2354
47,Banskobystrický kraj,,Podkonice,976 13,48.7999,19.2575
48,Banskobystrický kraj,,Slovenská Ľupča,976 13,48.7653,19.2755
49,Banskobystrický kraj,,Moštenica,976 13,48.8084,19.2905
50,Banskobystrický kraj,,Hronsek,976 31,48.6525,19.1568
51,Banskobystrický kraj,,Vlkanová,976 31,48.6713,19.1461
52,Banskobystrický kraj,,Badín,976 32,48.6638,19.1232
53,Banskobystrický kraj,,Dúbravica,976 33,48.6796,19.2729
54,Banskobystrický kraj,,Poniky,976 33,48.7124,19.2927
55,Banskobystrický kraj,,Ponická Huta,976 33,48.6911,19.3034
56,Banskobystrický kraj,,Ponická Lehôtka,976 33,48.6919,19.2829
57,Banskobystrický kraj,,Oravce,976 33,48.6846,19.2627
58,Banskobystrický kraj,,Tajov,976 34,48.7457,19.0703
59,Banskobystrický kraj,,Králiky,976 34,48.7348,19.0371
60,Banskobystrický kraj,,Kordíky,976 34,48.7718,19.022
61,Banskobystrický kraj,,Jabriková,976 34,48.7457,19.0653
62,Banskobystrický kraj,,"Riečka, ulica Nevoľné",976 34,48.7495,19.0487
63,Banskobystrický kraj,,Hrochoť,976 37,48.6557,19.3128
64,Banskobystrický kraj,,Donovaly,976 39,48.7007,19.1721
65,Banskobystrický kraj,,Strelníky,976 55,48.7229,19.3922
66,Banskobystrický kraj,,Ľubietová,976 55,48.7453,19.361
67,Banskobystrický kraj,,Povrazník,976 55,48.7161,19.3644
68,Banskobystrický kraj,,Lučatín,976 61,48.7828,19.32
69,Banskobystrický kraj,,Hiadeľ,976 61,48.8105,19.3156
70,Banskobystrický kraj,,Brusno,976 62,48.7924,19.3822
71,Banskobystrický kraj,,Brusno - kúpele,976 62,48.796,19.3841
72,Banskobystrický kraj,,Ondrej nad Hronom,976 62,48.7996,19.3861
73,Banskobystrický kraj,,Pohronský Bukovec,976 62,48.796,19.3841
74,Banskobystrický kraj,,Štiavnička,976 81,48.8042,19.5511
75,Banskobystrický kraj,,Medzibrod,976 96,48.7943,19.3537
76,Banskobystrický kraj,,Banská Belá,966 15,48.4747,18.9337
77,Banskobystrický kraj,,Kozelník,966 15,48.5119,18.9974
78,Banskobystrický kraj,,Počúvadlo,969 01,48.366,18.8328
79,Banskobystrický kraj,,Klastava,969 01,48.3252,18.8701
80,Banskobystrický kraj,,Sitnianska,969 01,48.4362,18.8974
81,Banskobystrický kraj,,Dekýš,969 01,48.4,18.7667
82,Banskobystrický kraj,,Banky,969 01,48.4814,18.858
83,Banskobystrický kraj,,Banský Studenec,969 01,48.4489,18.9669
84,Banskobystrický kraj,,Ilija,969 01,48.4192,18.899
85,Banskobystrický kraj,,Beluj,969 01,48.3501,18.8962
86,Banskobystrický kraj,,Štefultov,969 01,48.4391,18.8965
87,Banskobystrický kraj,,Baďan,969 01,48.4078,18.8673
88,Banskobystrický kraj,,Vysoká,969 01,48.412,18.7895
89,Banskobystrický kraj,,Rychňava,969 01,48.4078,18.8673
90,Banskobystrický kraj,,Kysihýbel,969 01,48.4078,18.8673
91,Banskobystrický kraj,,Počúvadl.Jazero,969 01,48.4078,18.8673
92,Banskobystrický kraj,,Svätý Anton,969 72,48.4192,18.9401
93,Banskobystrický kraj,,Prenčov,969 73,48.3582,18.9247
94,Banskobystrický kraj,,Štiavnické Bane,969 81,48.4394,18.8555
95,Banskobystrický kraj,,Močiar,969 82,48.5419,18.9464
96,Banskobystrický kraj,,Podhorie,969 82,48.5202,18.9327
97,Banskobystrický kraj,,Teplá,969 82,48.4986,18.9191
98,Banskobystrický kraj,,Žakýl,969 82,48.5202,18.9327
99,Banskobystrický kraj,,Mýto pod Ďumbierom,976 44,48.7871,19.5587
100,Banskobystrický kraj,,Osrblie,976 45,48.7561,19.5247
101,Banskobystrický kraj,,Hronec,976 45,48.7976,19.5805
102,Banskobystrický kraj,,Valaská,976 46,48.8076,19.571
103,Banskobystrický kraj,,Bruchačka,976 51,48.7186,19.625
104,Banskobystrický kraj,,Vydrovo,976 52,48.741,19.6546
105,Banskobystrický kraj,,Komov,976 52,48.7419,19.6796
106,Banskobystrický kraj,,Jánošovka,976 52,48.7429,19.6712
107,Banskobystrický kraj,,Krám,976 52,48.7505,19.6291
108,Banskobystrický kraj,,Pusté,976 52,48.7347,19.6868
109,Banskobystrický kraj,,Fajtov,976 52,48.7444,19.6768
110,Banskobystrický kraj,,Čierny Balog,976 52,48.7472,19.6513
111,Banskobystrický kraj,,Dobroč,976 52,48.733,19.7007
112,Banskobystrický kraj,,Medveďovo,976 52,48.7419,19.6687
113,Banskobystrický kraj,,Biele Vody,976 53,48.6228,19.6313
114,Banskobystrický kraj,,Sihla,976 53,48.6572,19.6466
115,Banskobystrický kraj,,Lom nad Rimavicou,976 53,48.6415,19.6495
116,Banskobystrický kraj,,Drábsko,976 53,48.6493,19.6554
117,Banskobystrický kraj,,Javorina,976 53,48.6427,19.6457
118,Banskobystrický kraj,,Vrchslatina,976 53,48.6427,19.6457
119,Banskobystrický kraj,,Kysuca,976 53,48.6427,19.6457
120,Banskobystrický kraj,,Pohronská Polhora,976 56,48.7572,19.7932
121,Banskobystrický kraj,,Michalová,976 57,48.7679,19.7809
122,Banskobystrický kraj,,Predajná,976 63,48.8169,19.4609
123,Banskobystrický kraj,,Gašparovo,976 64,48.8259,19.7408
124,Banskobystrický kraj,,Bacúch,976 64,48.8591,19.8058
125,Banskobystrický kraj,,Podholie,976 64,48.8414,19.7508
126,Banskobystrický kraj,,Braväcovo,976 64,48.8354,19.7584
127,Banskobystrický kraj,,Filipovo,976 64,48.8216,19.7328
128,Banskobystrický kraj,,Beňuš,976 64,48.8288,19.7616
129,Banskobystrický kraj,,Pôbišovo,976 64,48.8354,19.7584
130,Banskobystrický kraj,,Polomka,976 66,48.8523,19.8525
131,Banskobystrický kraj,,Hámor,976 66,48.55,19.85
132,Banskobystrický kraj,,Závadka nad Hronom,976 67,48.8505,19.9115
133,Banskobystrický kraj,,Heľpa,976 68,48.861,19.9692
134,Banskobystrický kraj,,Pohorelská Maša,976 69,48.8459,20.0336
135,Banskobystrický kraj,,Nová Maša,976 69,48.8347,20.0506
136,Banskobystrický kraj,,Švábolka,976 69,48.7791,19.9976
137,Banskobystrický kraj,,Zlatno,976 69,48.5185,19.8191
138,Banskobystrický kraj,,Vaľkovňa,976 69,48.8346,20.0684
139,Banskobystrický kraj,,Pohorelá,976 69,48.8618,20.0162
140,Banskobystrický kraj,,Červená Skala,976 71,48.8206,20.1365
141,Banskobystrický kraj,,Šumiac,976 71,48.8401,20.1297
142,Banskobystrický kraj,,Telgárt,976 73,48.8516,20.1885
143,Banskobystrický kraj,,Jasenie,976 75,48.8388,19.4597
144,Banskobystrický kraj,,Piesok,976 81,48.8,19.5667
145,Banskobystrický kraj,,Podbrezová,976 81,48.8093,19.526
146,Banskobystrický kraj,,Horná Lehota,976 81,48.8333,19.55
147,Banskobystrický kraj,,Skalica,976 81,48.8117,19.5484
148,Banskobystrický kraj,,Chvatimech,976 81,48.8117,19.5484
149,Banskobystrický kraj,,Ráztoka,976 97,48.8203,19.4014
150,Banskobystrický kraj,,Dubová,976 97,48.8156,19.4282
151,Banskobystrický kraj,,Zámostie,976 97,48.8149,19.4406
152,Banskobystrický kraj,,Nemecká,976 97,48.8125,19.4148
153,Banskobystrický kraj,,Lopej,976 98,48.8176,19.4953
154,Banskobystrický kraj,,Dolná Lehota,976 98,48.8335,19.5052
155,Banskobystrický kraj,,Vajsková,976 98,48.8246,19.5033
156,Banskobystrický kraj,,Bujakovo,977 01,48.8206,19.6822
157,Banskobystrický kraj,,Bystrá,977 01,48.85,19.6
158,Banskobystrický kraj,,Jarabá,977 01,48.8892,19.689
159,Banskobystrický kraj,,Predné Halny,977 01,48.8533,19.6571
160,Banskobystrický kraj,,Zadné Halny,977 01,48.8533,19.6571
161,Banskobystrický kraj,,Mazorníkovo,977 03,48.8533,19.6571
162,Banskobystrický kraj,,Vígľaš,962 02,48.5632,19.3029
163,Banskobystrický kraj,,Korytárky,962 04,48.5282,19.4483
164,Banskobystrický kraj,,Kriváň,962 04,48.5282,19.4483
165,Banskobystrický kraj,,Žabica,962 05,48.5833,19.6167
166,Banskobystrický kraj,,Bratkovica,962 05,48.5933,19.6154
167,Banskobystrický kraj,,Slanec,962 05,48.5669,19.5177
168,Banskobystrický kraj,,Snohy,962 05,48.6294,19.549
169,Banskobystrický kraj,,Detvianska Huta,962 05,48.5695,19.5916
170,Banskobystrický kraj,,Komárno,962 05,48.5784,19.5963
171,Banskobystrický kraj,,Štoliansko,962 05,48.5695,19.5667
172,Banskobystrický kraj,,Hriňová,962 05,48.5779,19.5257
173,Banskobystrický kraj,,Vrchdobroč,962 05,48.5835,19.5724
174,Banskobystrický kraj,,Horná Hriňová,962 05,48.5835,19.5724
175,Banskobystrický kraj,,Krivec I,962 05,48.5835,19.5724
176,Banskobystrický kraj,,Krivec II,962 05,48.5835,19.5724
177,Banskobystrický kraj,,Mangútovo,962 05,48.5835,19.5724
178,Banskobystrický kraj,,Jasenovo,962 05,48.5835,19.5724
179,Banskobystrický kraj,,Stožok,962 12,48.5292,19.358
180,Banskobystrický kraj,,Iviny,962 12,48.6115,19.3986
181,Banskobystrický kraj,,Pstruša,962 12,48.5454,19.3198
182,Banskobystrický kraj,,Dúbravy,962 12,48.5868,19.3687
183,Banskobystrický kraj,,Detva - sídlisko,962 12,48.5697,19.3864
184,Banskobystrický kraj,,Detva,962 12,48.5608,19.4195
185,Banskobystrický kraj,,Zapriechody,962 12,48.5697,19.3864
186,Banskobystrický kraj,,Skliarovo,962 12,48.5843,19.454
187,Banskobystrický kraj,,Želobudza,962 12,48.5697,19.3864
188,Banskobystrický kraj,,Kostolná,962 12,48.5697,19.3864
189,Banskobystrický kraj,,Krné,962 12,48.5697,19.3864
190,Banskobystrický kraj,,Piešť II,962 12,48.5697,19.3864
191,Banskobystrický kraj,,Piešť I (časť),962 12,48.5697,19.3864
192,Banskobystrický kraj,,Kalinka,962 25,48.4916,19.2942
193,Banskobystrický kraj,,Vígľašská Huta,962 25,48.4901,19.2757
194,Banskobystrický kraj,,Stará Huta,962 25,48.4749,19.3485
195,Banskobystrický kraj,,Klokoč,962 25,48.5021,19.339
196,Banskobystrický kraj,,Sliačska Podpoľana,962 25,48.4915,19.3132
197,Banskobystrický kraj,,Slatinské Lazy,962 25,48.499,19.3084
198,Banskobystrický kraj,,Jašov Vrch,962 25,48.4915,19.3132
199,Banskobystrický kraj,,Dolný Tisovník,962 75,48.3888,19.3775
200,Banskobystrický kraj,,Horný Tisovník,962 75,48.4171,19.363
201,Banskobystrický kraj,,Čechánky,985 45,48.5493,19.5916
202,Banskobystrický kraj,,Polianky,985 45,48.6123,19.6903
